"","lambda","MSE"
"1",0.01,0.000117699847818399
"2",0.06,0.000115237349972147
"3",0.11,0.000111984572764416
"4",0.16,0.000108695073163317
"5",0.21,0.000105450249500142
"6",0.26,0.000102250295704894
"7",0.31,0.0000990889050666014
"8",0.36,0.0000960656846370099
"9",0.41,0.0000941853845289732
"10",0.46,0.0000945721551579238
"11",0.51,0.0000946226568447299
"12",0.56,0.0000945692796365297
"13",0.61,0.0000945159162292166
"14",0.66,0.0000944466021074574
"15",0.71,0.0000939440302161466
"16",0.76,0.0000934426876430447
"17",0.81,0.0000929425752587731
"18",0.86,0.0000924436939343999
"19",0.91,0.0000919460445414601
"20",0.96,0.0000914496279519465
"21",1.01,0.0000909544450383209
"22",1.06,0.0000904604966734893
"23",1.11,0.0000899677837308324
"24",1.16,0.000089476307084182
"25",1.21,0.0000889860676078366
"26",1.26,0.0000884970661765623
"27",1.31,0.0000880093036655634
"28",1.36,0.0000875227809505345
"29",1.41,0.0000870374989076143
"30",1.46,0.0000865534584134118
"31",1.51,0.0000860706603449921
"32",1.56,0.0000855891055798862
"33",1.61,0.0000851087949960889
"34",1.66,0.0000846297294720587
"35",1.71,0.0000841519098867119
"36",1.76,0.0000836753371194373
"37",1.81,0.0000832000120500732
"38",1.86,0.0000827259355589413
"39",1.91,0.0000822531085268128
"40",1.96,0.0000817815318349256
"41",3,0.0000722577369959118
"42",4,0.0000654051399481719
"43",5,0.0000632378029351773
"44",6,0.0000600624349427323
"45",7,0.0000569636293501496
"46",8,0.000053941798299981
"47",9,0.0000509973556037386
"48",10,0.000048130716748071
"49",11,0.0000453422989009344
"50",12,0.0000426325209177919
"51",13,0.0000400018033478535
"52",14,0.000037450568440311
"53",15,0.0000349792401506084
"54",16,0.0000325882441467316
"55",17,0.0000302780078155356
"56",18,0.0000280489602690698
"57",19,0.0000259015323509286
"58",20,0.0000238361566426533
"59",21,0.0000218532674701208
"60",22,0.0000199533009099816
"61",23,0.0000181366947960868
"62",24,0.0000164038887259985
"63",25,0.0000147553240674387
"64",26,0.0000131914439648543
"65",27,0.0000117126933459206
"66",28,0.0000103195189281294
"67",29,0.00000901236922536398
"68",30,0.00000779169455452304
"69",31,0.00000665794704214036
"70",32,0.00000561158063105087
"71",33,0.00000465305108707663
"72",34,0.00000378281600572912
"73",35,0.00000300133481893165
"74",36,0.00000230906880178266
"75",37,0.00000170648107932629
"76",38,0.00000119403663335705
"77",39,0.000000772202309241373
"78",40,0.00000044144682277335
"79",41,0.000000202240767038834
"80",42,0.0000000550566193242112
"81",43,0.000000012815752492521
"82",44,0.00000000000982878588380573
"83",45,0.0000000114559992487583
"84",46,0.0000000472178894399145
"85",47,0.000000107359254723012
"86",48,0.000000191943980511147
"87",49,0.000000301036082507117
"88",50,0.000000434699706952249
"89",51,0.000000592999130868037
"90",52,0.000000775998762302101
"91",53,0.000000983763140568941
"92",54,0.00000121635693650672
"93",55,0.00000156091279498776
"94",56,0.00000194907846298596
"95",57,0.00000238082481714031
"96",58,0.00000285630157322603
"97",59,0.00000337565884903783
"98",60,0.00000393904716538421
"99",61,0.00000454661744708437
"100",62,0.00000519852102395759
"101",63,0.00000589490963182988
"102",64,0.00000663593541353659
"103",65,0.000007421750919914
"104",66,0.00000825250911082592
"105",67,0.00000912836335617179
"106",68,0.0000100494674368669
"107",69,0.0000110159755458952
"108",70,0.0000120280422893079
"109",71,0.0000130858226872449
"110",72,0.0000141894721749652
"111",73,0.0000153391466038301
"112",74,0.0000165350022423987
"113",75,0.0000177771957774015
"114",76,0.0000190658843147684
"115",77,0.0000204012253807392
"116",78,0.0000217833769227766
"117",79,0.0000220967887265093
"118",80,0.0000221135844942666
"119",81,0.0000221303868723975
"120",82,0.0000221471958611568
"121",83,0.0000221640114608224
"122",84,0.0000221808336716402
"123",85,0.0000221976624938974
"124",86,0.0000222144979278525
"125",87,0.0000222313399737567
"126",88,0.0000222481886318918
"127",89,0.0000222650439025087
"128",90,0.0000222819057858885
"129",91,0.0000222987742822806
"130",92,0.0000223156493919553
"131",93,0.0000223325311151762
"132",94,0.0000223494194521989
"133",95,0.0000188002088585419
"134",96,0.0000153886765992643
"135",97,0.000012327602836547
"136",98,0.00000961372871543488
"137",99,0.00000614513132161523
"138",100,0.0000028197443646819
"139",101,0.000000782264450547215
"140",102,0.00000000895856414794833
"141",103,0.000000476436358648232
"142",104,0.000002161645604368
"143",105,0.00000504186769603767
"144",106,0.00000909471321764254
"145",107,0.0000142981175641378
"146",108,0.0000206303366192805
"147",109,0.0000280699424889504
"148",110,0.0000365958192891639
"149",111,0.0000461871589881594
"150",112,0.000056823457301836
"151",113,0.0000588853824807207
"152",114,0.0000588853824807207
"153",115,0.0000588853824807207
"154",116,0.0000588853824807207
"155",117,0.0000588853824807207
"156",118,0.0000588853824807207
"157",119,0.0000588853824807207
"158",120,0.0000588853824807207
"159",121,0.0000588853824807207
"160",122,0.0000588853824807207
"161",123,0.0000588853824807207
"162",124,0.0000588853824807207
"163",125,0.0000588853824807207
"164",126,0.0000588853824807207
"165",127,0.0000588853824807207
"166",128,0.0000588853824807207
"167",129,0.0000588853824807207
"168",130,0.0000588853824807207
"169",131,0.0000588853824807207
"170",132,0.0000588853824807207
"171",133,0.0000588853824807207
"172",134,0.0000588853824807207
"173",135,0.0000588853824807207
"174",136,0.0000588853824807207
"175",137,0.0000588853824807207
"176",138,0.0000588853824807207
"177",139,0.0000588853824807207
"178",140,0.0000588853824807207
"179",141,0.0000588853824807207
"180",142,0.0000588853824807207
"181",143,0.0000588853824807207
"182",144,0.0000588853824807207
"183",145,0.0000588853824807207
"184",146,0.0000588853824807207
"185",147,0.0000588853824807207
"186",148,0.0000588853824807207
"187",149,0.0000588853824807207
"188",150,0.0000588853824807207
"189",151,0.0000588853824807207
"190",152,0.0000588853824807207
"191",153,0.0000588853824807207
"192",154,0.0000588853824807207
"193",155,0.0000588853824807207
"194",156,0.0000588853824807207
"195",157,0.0000588853824807207
"196",158,0.0000588853824807207
"197",159,0.0000588853824807207
"198",160,0.0000588853824807207
"199",161,0.0000588853824807207
"200",162,0.0000588853824807207
"201",163,0.0000588853824807207
"202",164,0.0000588853824807207
"203",165,0.0000588853824807207
"204",166,0.0000588853824807207
"205",167,0.0000588853824807207
"206",168,0.0000588853824807207
"207",169,0.0000588853824807207
"208",170,0.0000588853824807207
"209",171,0.0000588853824807207
"210",172,0.0000588853824807207
"211",173,0.0000588853824807207
"212",174,0.0000588853824807207
"213",175,0.0000588853824807207
"214",176,0.0000588853824807207
"215",177,0.0000588853824807207
"216",178,0.0000588853824807207
"217",179,0.0000588853824807207
"218",180,0.0000588853824807207
"219",181,0.0000588853824807207
"220",182,0.0000588853824807207
"221",183,0.0000588853824807207
"222",184,0.0000588853824807207
"223",185,0.0000588853824807207
"224",186,0.0000588853824807207
"225",187,0.0000588853824807207
"226",188,0.0000588853824807207
"227",189,0.0000588853824807207
"228",190,0.0000588853824807207
"229",191,0.0000588853824807207
"230",192,0.0000588853824807207
"231",193,0.0000588853824807207
"232",194,0.0000588853824807207
"233",195,0.0000588853824807207
"234",196,0.0000588853824807207
"235",197,0.0000588853824807207
"236",198,0.0000588853824807207
"237",199,0.0000588853824807207
"238",200,0.0000588853824807207
"239",201,0.0000588853824807207
"240",202,0.0000588853824807207
"241",203,0.0000588853824807207
"242",204,0.0000588853824807207
"243",205,0.0000588853824807207
"244",206,0.0000588853824807207
"245",207,0.0000588853824807207
"246",208,0.0000588853824807207
"247",209,0.0000588853824807207
"248",210,0.0000588853824807207
"249",211,0.0000588853824807207
"250",212,0.0000588853824807207
"251",213,0.0000588853824807207
"252",214,0.0000588853824807207
"253",215,0.0000588853824807207
"254",216,0.0000588853824807207
"255",217,0.0000588853824807207
"256",218,0.0000588853824807207
"257",219,0.0000588853824807207
"258",220,0.0000588853824807207
"259",221,0.0000588853824807207
"260",222,0.0000588853824807207
"261",223,0.0000588853824807207
