"","lambda","MSE"
"1",0.01,0.00338967003184169
"2",0.06,0.00341905093997941
"3",0.11,0.00344895282977797
"4",0.16,0.00349534874626088
"5",0.21,0.00354511540991902
"6",0.26,0.00359047490681043
"7",0.31,0.00362488023712154
"8",0.36,0.00365065590062339
"9",0.41,0.00366126538849741
"10",0.46,0.00366285294964681
"11",0.51,0.0036642520341534
"12",0.56,0.00366565125401035
"13",0.61,0.00366705060915464
"14",0.66,0.00365523047235384
"15",0.71,0.00363981222244585
"16",0.76,0.00362441058140675
"17",0.81,0.00360902563439891
"18",0.86,0.00359444111127117
"19",0.91,0.00358067521763946
"20",0.96,0.0035669229407309
"21",1.01,0.0035531843425631
"22",1.06,0.00353945948530353
"23",1.11,0.00352574843126966
"24",1.16,0.00351154363706575
"25",1.21,0.00349735187858924
"26",1.26,0.00348317517712822
"27",1.31,0.00346901360291022
"28",1.36,0.00345486722633839
"29",1.41,0.00344053126256635
"30",1.46,0.00342494982488138
"31",1.51,0.00340880727149354
"32",1.56,0.00339600516119777
"33",1.61,0.00338725871360871
"34",1.66,0.00337851829824025
"35",1.71,0.00336978393228721
"36",1.76,0.00336105563297102
"37",1.81,0.00335233341753981
"38",1.86,0.0033436173032684
"39",1.91,0.00333490730745839
"40",1.96,0.00332620344743814
"41",3,0.00321378457276221
"42",4,0.00314389921244066
"43",5,0.00310719345468217
"44",6,0.00307995596499785
"45",7,0.00307991722323633
"46",8,0.00307987848161262
"47",9,0.0030798397401267
"48",10,0.00307980099877861
"49",11,0.00307976225756832
"50",12,0.00307534899115264
"51",13,0.00306976666711027
"52",14,0.0030641872174236
"53",15,0.003058610647225
"54",16,0.00305303696165195
"55",17,0.00304746616584705
"56",18,0.00304189826495822
"57",19,0.00303633326413844
"58",20,0.00303077116854597
"59",21,0.00302521198334429
"60",22,0.00301643516966514
"61",23,0.00299607757633044
"62",24,0.00297575960887346
"63",25,0.00295750365681996
"64",26,0.00294366761439065
"65",27,0.00292985038551742
"66",28,0.00291605205304701
"67",29,0.00290227270003503
"68",30,0.0028885124097467
"69",31,0.00288136559980583
"70",32,0.00288330841604209
"71",33,0.00288525161559305
"72",34,0.00288719519822236
"73",35,0.00288913916369375
"74",36,0.00289108351139509
"75",37,0.00289302824260282
"76",38,0.00289680776477001
"77",39,0.00290373154612733
"78",40,0.00291066014682628
"79",41,0.00291759355627148
"80",42,0.00292453176388051
"81",43,0.00293147475908463
"82",44,0.0029384225313285
"83",45,0.00294537507007014
"84",46,0.00295233236478065
"85",47,0.00295929440494476
"86",48,0.00296583155143242
"87",49,0.00296972914700125
"88",50,0.00297362821820824
"89",51,0.00297752876322237
"90",52,0.00298143078021399
"91",53,0.00298533426735455
"92",54,0.00298923922281728
"93",55,0.00299314564477618
"94",56,0.00299705353140688
"95",57,0.00300096288047549
"96",58,0.0030048736909329
"97",59,0.0030087859606056
"98",60,0.00301269968765537
"99",61,0.00303330187345544
"100",62,0.0030590530494305
"101",63,0.0030848659020078
"102",64,0.00311073992412613
"103",65,0.00313667461108308
"104",66,0.00314640882558185
"105",67,0.00315583283826675
"106",68,0.00316769068253687
"107",69,0.00317956089502259
"108",70,0.00319144342861811
"109",71,0.0032033382363179
"110",72,0.0032152452712164
"111",73,0.00322716448650791
"112",74,0.0032390958354864
"113",75,0.00325103927154528
"114",76,0.0032629947481773
"115",77,0.00327496221897428
"116",78,0.00328694163762697
"117",79,0.00329893295792485
"118",80,0.00331093613375599
"119",81,0.00332295111910683
"120",82,0.00333497786806197
"121",83,0.00334701633480408
"122",84,0.00335906647361363
"123",85,0.00337112823886876
"124",86,0.00338320158504508
"125",87,0.00339528646671548
"126",88,0.00340738283854999
"127",89,0.00341949065531557
"128",90,0.00343160987187593
"129",91,0.00344374044319136
"130",92,0.00345588232431854
"131",93,0.00346803547041041
"132",94,0.00348019983671591
"133",95,0.00349237537857987
"134",96,0.00350456205144282
"135",97,0.00351675981084077
"136",98,0.00351947194366535
"137",99,0.00351947194366535
"138",100,0.00351947194366535
