"","lambda","MSE"
"1",0.01,0.00191559555691799
"2",0.06,0.00194506870982965
"3",0.11,0.00196841144257053
"4",0.16,0.00198874278630971
"5",0.21,0.00201136509106999
"6",0.26,0.00203407162923527
"7",0.31,0.00205802261525303
"8",0.36,0.00208199699562104
"9",0.41,0.00210537613724221
"10",0.46,0.00213234757829486
"11",0.51,0.00216727276347545
"12",0.56,0.00220289585312524
"13",0.61,0.00223870368836891
"14",0.66,0.00226148327151289
"15",0.71,0.00228004506441762
"16",0.76,0.0022986545395811
"17",0.81,0.0023106437311743
"18",0.86,0.00231947915265415
"19",0.91,0.00232675362620511
"20",0.96,0.00233008967657156
"21",1.01,0.00233342721757564
"22",1.06,0.00233676624752968
"23",1.11,0.0023401067669842
"24",1.16,0.00234344876754279
"25",1.21,0.0023457229949633
"26",1.26,0.00234712703103083
"27",1.31,0.00234853133337432
"28",1.36,0.00234993588681185
"29",1.41,0.00234983863383467
"30",1.46,0.0023494774111782
"31",1.51,0.00235169624645248
"32",1.56,0.0023542018776812
"33",1.61,0.00235670833752492
"34",1.66,0.00235921562527895
"35",1.71,0.00236172374023899
"36",1.76,0.00236423268170103
"37",1.81,0.00236674244896148
"38",1.86,0.00236925304131709
"39",1.91,0.00237074069626798
"40",1.96,0.00237188386013373
"41",3,0.00239570025292591
"42",4,0.00241866969104657
"43",5,0.00244170630246193
"44",6,0.00246480956363138
"45",7,0.00248797895344101
"46",8,0.00250320581255709
"47",9,0.00251714101649361
"48",10,0.00253109952783303
"49",11,0.00254188306687276
"50",12,0.00254307014555199
"51",13,0.00254795654903715
"52",14,0.00255284576473002
"53",15,0.00256265327439635
"54",16,0.00257730347032776
"55",17,0.00259197855016258
"56",18,0.00260718556643337
"57",19,0.00262799895475676
"58",20,0.00264873918982175
"59",21,0.00265644718608986
"60",22,0.00266416176266626
"61",23,0.00267188290224017
"62",24,0.00267961058752734
"63",25,0.00269235901401478
"64",26,0.00270332764785014
"65",27,0.00270970457924735
"66",28,0.0027160858814988
"67",29,0.00272247154507321
"68",30,0.00272833673052984
"69",31,0.00273374321759076
"70",32,0.00273915280438238
"71",33,0.00274456548516827
"72",34,0.00274998125421831
"73",35,0.00275540010580811
"74",36,0.0027608220342196
"75",37,0.0027662470337405
"76",38,0.00277167509866491
"77",39,0.00277710622329288
"78",40,0.00278254040193049
"79",41,0.00278797762888965
"80",42,0.0027980847761617
"81",43,0.00280838519665524
"82",44,0.00281107616089112
"83",45,0.00281085456659149
"84",46,0.0028438740788495
"85",47,0.00288567867324885
"86",48,0.002927654424405
"87",49,0.00296979887002125
"88",50,0.00301210956774561
"89",51,0.00305458409503059
"90",52,0.00306613403641684
"91",53,0.00307728643360236
"92",54,0.00308844979648801
"93",55,0.00309962408242971
"94",56,0.00311080924887444
"95",57,0.00312200525336002
"96",58,0.003133212053515
"97",59,0.00314442960705842
"98",60,0.00315565787179973
"99",61,0.00316689680563856
"100",62,0.00317814636656457
"101",63,0.00318940651265729
"102",64,0.00320067720208595
"103",65,0.00321195839310933
"104",66,0.00322325004407555
"105",67,0.00323455211342198
"106",68,0.00324586455967497
"107",69,0.00325718734144981
"108",70,0.00326852041745046
"109",71,0.00327986374646945
"110",72,0.00329121728738769
"111",73,0.00330258099917428
"112",74,0.00331395484088644
"113",75,0.00332533877166924
"114",76,0.0033367327507555
"115",77,0.00334813673746559
"116",78,0.00335955069120733
"117",79,0.00337097457147576
"118",80,0.00338240833785302
"119",81,0.00339385195000816
"120",82,0.00340530536769699
"121",83,0.00341676855076197
"122",84,0.00342014738305029
"123",85,0.00342014738305029
"124",86,0.00342014738305029
"125",87,0.00342014738305029
"126",88,0.00342014738305029
"127",89,0.00342014738305029
"128",90,0.00342014738305029
"129",91,0.00342014738305029
"130",92,0.00342014738305029
"131",93,0.00342014738305029
"132",94,0.00342014738305029
"133",95,0.00342014738305029
"134",96,0.00342014738305029
"135",97,0.00342014738305029
"136",98,0.00342014738305029
"137",99,0.00342014738305029
"138",100,0.00342014738305029
