"","lambda","MSE"
"1",4.53999297624849e-05,0.00144918008046503
"2",4.7727633936802e-05,0.00144918011995522
"3",5.01746820561753e-05,0.00144918016147011
"4",5.27471930155139e-05,0.00144918020511352
"5",5.54515994321769e-05,0.00144918025099457
"6",5.82946637308688e-05,0.001449180299228
"7",6.12834950532221e-05,0.00144918034993441
"8",6.44255670343554e-05,0.00144918040324059
"9",6.77287364908539e-05,0.00144918045927983
"10",7.12012630669027e-05,0.00144918051819228
"11",7.48518298877006e-05,0.00144918058012522
"12",7.86895652717947e-05,0.00144918064523354
"13",8.27240655566322e-05,0.00144918071368004
"14",8.69654190944029e-05,0.00144918078563587
"15",9.14242314781733e-05,0.00144918086128095
"16",9.61116520613947e-05,0.00144918094080443
"17",0.000101039401837093,0.00144918102440518
"18",0.000106219802746459,0.00144918111229223
"19",0.000111665808490115,0.00144918120468534
"20",0.000117391036919118,0.00144918130181557
"21",0.00012340980408668,0.00144918140392576
"22",0.000129737160045754,0.00144918151127125
"23",0.000136388926482011,0.00144918162412048
"24",0.000143381736276293,0.00144918174275561
"25",0.000150733075095477,0.00144918186747329
"26",0.000158461325115751,0.0014491819985854
"27",0.000166585810987634,0.00144918213641977
"28",0.000175126848157658,0.00144918228132106
"29",0.000184105793667579,0.00144918243365161
"30",0.000193545099558094,0.00144918259379232
"31",0.000203468369010644,0.00144918276214363
"32",0.000213900415367661,0.0014491829391265
"33",0.000224867324178848,0.0014491831251835
"34",0.000236396518428641,0.00144918332077983
"35",0.000248516827107952,0.00144918352640463
"36",0.000261258557301668,0.00144918374257205
"37",0.000274653569972143,0.00144918396982262
"38",0.000288735359628203,0.00144918420872459
"39",0.000303539138078867,0.00144918445987534
"40",0.000319101922481203,0.00144918472390289
"41",0.000335462627902512,0.00144918500146745
"42",0.000352662164628256,0.00144918529326305
"43",0.000370743540459088,0.00144918560001937
"44",0.000389751968252755,0.00144918592250344
"45",0.000409734978979787,0.00144918626152167
"46",0.000430742540575688,0.00144918661792176
"47",0.000452827182886797,0.00144918699259491
"48",0.000476044129022269,0.00144918738647801
"49",0.000500451433440611,0.00144918780055597
"50",0.000526110127116064,0.00144918823586422
"51",0.000553084370147834,0.00144918869349125
"52",0.000581441612193756,0.00144918917458138
"53",0.000611252761129572,0.0014491896803376
"54",0.000642592360355558,0.00144919021202457
"55",0.000675538775193844,0.0014491907709718
"56",0.000710174388842549,0.00144919135857696
"57",0.00074658580837668,0.00144919197630939
"58",0.000784864081310932,0.00144919262571373
"59",0.000825104923265905,0.00144919330841389
"60",0.000867408957307003,0.00144919402611697
"61",0.000911881965554516,0.00144919478061762
"62",0.000958635153694021,0.00144919557380252
"63",0.00100778542904851,0.00144919640765506
"64",0.00105945569290761,0.00144919728426034
"65",0.0011137751478448,0.00144919820581038
"66",0.00117087962079117,0.00144919917460953
"67",0.00123091190267348,0.00144920019308036
"68",0.00129402210546585,0.00144920126376962
"69",0.00136036803754789,0.00144920238935462
"70",0.00143011559830787,0.00144920357264999
"71",0.00150343919297757,0.00144920481661462
"72",0.00158052216873622,0.00144920612435914
"73",0.00166155727317393,0.00144920749915366
"74",0.00174674713626112,0.00144920894443596
"75",0.00183630477702891,0.0014492104638201
"76",0.00193045413622771,0.00144921206110539
"77",0.00202943063629574,0.00144921374028603
"78",0.00213348177003771,0.00144921550556094
"79",0.0022428677194858,0.00144921736134435
"80",0.00235786200649023,0.00144921931227682
"81",0.00247875217666636,0.00144922136323687
"82",0.0026058405184085,0.00144922351935314
