"","lambda","MSE"
"1",4.53999297624849e-05,0.000179710447069107
"2",4.7727633936802e-05,0.000179710329600852
"3",5.01746820561753e-05,0.000179710206109916
"4",5.27471930155139e-05,0.000179710076287512
"5",5.54515994321769e-05,0.000179709939809025
"6",5.82946637308688e-05,0.000179709796333195
"7",6.12834950532221e-05,0.000179709645501272
"8",6.44255670343554e-05,0.000179709486936099
"9",6.77287364908539e-05,0.000179709320241196
"10",7.12012630669027e-05,0.000179709144999751
"11",7.48518298877006e-05,0.000179708960773583
"12",7.86895652717947e-05,0.000179708767102048
"13",8.27240655566322e-05,0.000179708563500882
"14",8.69654190944029e-05,0.00017970834946099
"15",9.14242314781733e-05,0.000179708124447184
"16",9.61116520613947e-05,0.000179707887896835
"17",0.000101039401837093,0.000179707639218472
"18",0.000106219802746459,0.000179707377790291
"19",0.000111665808490115,0.000179707102958618
"20",0.000117391036919118,0.000179706814036266
"21",0.00012340980408668,0.000179706510300816
"22",0.000129737160045754,0.000179706190992808
"23",0.000136388926482011,0.000179705855313854
"24",0.000143381736276293,0.000179705502424633
"25",0.000150733075095477,0.000179705131442791
"26",0.000158461325115751,0.000179704741440743
"27",0.000166585810987634,0.000179704331443347
"28",0.000175126848157658,0.000179703900425472
"29",0.000184105793667579,0.000179703447309432
"30",0.000193545099558094,0.000179702970962287
"31",0.000203468369010644,0.000179702470193027
"32",0.000213900415367661,0.000179701943749579
"33",0.000224867324178848,0.00017970139031568
"34",0.000236396518428641,0.000179700808507597
"35",0.000248516827107952,0.000179700196870657
"36",0.000261258557301668,0.000179699553875613
"37",0.000274653569972143,0.000179698877914826
"38",0.000288735359628203,0.000179698167298247
"39",0.000303539138078867,0.000179697420249188
"40",0.000319101922481203,0.000179696634899882
"41",0.000335462627902512,0.000179695809286828
"42",0.000352662164628256,0.000179694941345858
"43",0.000370743540459088,0.000179694028907011
"44",0.000389751968252755,0.000179693069689078
"45",0.000409734978979787,0.000179692061293923
"46",0.000430742540575688,0.000179691001200489
"47",0.000452827182886797,0.000179689886758487
"48",0.000476044129022269,0.000179688715181785
"49",0.000500451433440611,0.000179687483541439
"50",0.000526110127116064,0.000179686188758382
"51",0.000553084370147834,0.000179684827595723
"52",0.000581441612193756,0.00017968339665068
"53",0.000611252761129572,0.000179681892346044
"54",0.000642592360355558,0.000179680310921282
"55",0.000675538775193844,0.000179678648423115
"56",0.000710174388842549,0.000179676900695665
"57",0.00074658580837668,0.000179675063370059
"58",0.000784864081310932,0.000179673131853523
"59",0.000825104923265905,0.00017967110131792
"60",0.000867408957307003,0.000179668966687687
"61",0.000911881965554516,0.000179666722627159
"62",0.000958635153694021,0.000179664363527256
"63",0.00100778542904851,0.000179661883491472
"64",0.00105945569290761,0.000179659276321158
"65",0.0011137751478448,0.000179656535500052
"66",0.00117087962079117,0.000179653654178016
"67",0.00123091190267348,0.000179650625153931
"68",0.00129402210546585,0.000179647440857737
"69",0.00136036803754789,0.000179644093331542
"70",0.00143011559830787,0.000179640574209765
"71",0.00150343919297757,0.000179636874698281
"72",0.00158052216873622,0.000179632985552461
"73",0.00166155727317393,0.00017962889705414
"74",0.00174674713626112,0.000179624598987372
"75",0.00183630477702891,0.000179620080612967
"76",0.00193045413622771,0.000179615330641706
"77",0.00202943063629574,0.000179610337206222
"78",0.00213348177003771,0.000179605087831406
"79",0.0022428677194858,0.000179599569403342
"80",0.00235786200649023,0.000179593768136619
"81",0.00247875217666636,0.000179587669540016
"82",0.0026058405184085,0.000179581258380398
"83",0.00273944481876837,0.000179574518644806
"84",0.00287989915808824,0.000179567433500584
"85",0.00302755474537582,0.000179559985253504
"86",0.00318278079650967,0.00017955215530374
"87",0.00334596545747127,0.000179543924099601
"88",0.00351751677491213,0.000179535271088919
"89",0.00369786371648293,0.000179526174667957
"90",0.00388745724347613,0.000179516612127734
