"","lambda","MSE"
"1",4.53999297624849e-05,1.57968376636544e-05
"2",4.7727633936802e-05,1.57968319622808e-05
"3",5.01746820561753e-05,1.57968259685935e-05
"4",5.27471930155139e-05,1.57968196676046e-05
"5",5.54515994321769e-05,1.57968130435581e-05
"6",5.82946637308688e-05,1.57968060798908e-05
"7",6.12834950532221e-05,1.57967987591908e-05
"8",6.44255670343554e-05,1.57967910631525e-05
"9",6.77287364908539e-05,1.57967829725316e-05
"10",7.12012630669027e-05,1.57967744670986e-05
"11",7.48518298877006e-05,1.5796765525584e-05
"12",7.86895652717947e-05,1.57967561256315e-05
"13",8.27240655566322e-05,1.57967462437368e-05
"14",8.69654190944029e-05,1.57967358551894e-05
"15",9.14242314781733e-05,1.57967249340135e-05
"16",9.61116520613947e-05,1.57967134529012e-05
"17",0.000101039401837093,1.57967013831441e-05
"18",0.000106219802746459,1.57966886945623e-05
"19",0.000111665808490115,1.57966753554287e-05
"20",0.000117391036919118,1.57966613323896e-05
"21",0.00012340980408668,1.57966465903805e-05
"22",0.000129737160045754,1.57966310925395e-05
"23",0.000136388926482011,1.57966148001165e-05
"24",0.000143381736276293,1.57965976723718e-05
"25",0.000150733075095477,1.5796579666479e-05
"26",0.000158461325115751,1.57965607374156e-05
"27",0.000166585810987634,1.57965408378509e-05
"28",0.000175126848157658,1.57965199180279e-05
"29",0.000184105793667579,1.57964979256367e-05
"30",0.000193545099558094,1.57964748056887e-05
"31",0.000203468369010644,1.57964505003751e-05
"32",0.000213900415367661,1.57964249489211e-05
"33",0.000224867324178848,1.57963980874383e-05
"34",0.000236396518428641,1.57963698487639e-05
"35",0.000248516827107952,1.5796340162289e-05
"36",0.000261258557301668,1.5796308953787e-05
"37",0.000274653569972143,1.57962761452235e-05
"38",0.000288735359628203,1.57962416545672e-05
"39",0.000303539138078867,1.57962053955791e-05
"40",0.000319101922481203,1.57961672775976e-05
"41",0.000335462627902512,1.57961272053157e-05
"42",0.000352662164628256,1.57960850785405e-05
"43",0.000370743540459088,1.57960407919405e-05
"44",0.000389751968252755,1.57959942347859e-05
"45",0.000409734978979787,1.5795945290671e-05
"46",0.000430742540575688,1.57958938372201e-05
"47",0.000452827182886797,1.5795839745787e-05
"48",0.000476044129022269,1.57957828811279e-05
"49",0.000500451433440611,1.57957231010674e-05
"50",0.000526110127116064,1.57956602561428e-05
"51",0.000553084370147834,1.57955941892258e-05
"52",0.000581441612193756,1.57955247351382e-05
"53",0.000611252761129572,1.57954517202308e-05
"54",0.000642592360355558,1.57953749619542e-05
"55",0.000675538775193844,1.57952942684005e-05
"56",0.000710174388842549,1.57952094378268e-05
"57",0.00074658580837668,1.57951202581465e-05
"58",0.000784864081310932,1.5795026506402e-05
"59",0.000825104923265905,1.57949279482083e-05
"60",0.000867408957307003,1.57948243371657e-05
"61",0.000911881965554516,1.57947154142439e-05
"62",0.000958635153694021,1.57946009071362e-05
"63",0.00100778542904851,1.5794480529579e-05
"64",0.00105945569290761,1.57943539806358e-05
"65",0.0011137751478448,1.57942209439463e-05
"66",0.00117087962079117,1.57940810869339e-05
"67",0.00123091190267348,1.57939340599792e-05
"68",0.00129402210546585,1.57937794955418e-05
"69",0.00136036803754789,1.57936170072461e-05
"70",0.00143011559830787,1.57934461889143e-05
"71",0.00150343919297757,1.57932666135532e-05
"72",0.00158052216873622,1.5793077832287e-05
"73",0.00166155727317393,1.57928793732352e-05
"74",0.00174674713626112,1.5792670740339e-05
"75",0.00183630477702891,1.57924514121172e-05
"76",0.00193045413622771,1.57922208403682e-05
"77",0.00202943063629574,1.57919784487995e-05
"78",0.00213348177003771,1.57917236315906e-05
"79",0.0022428677194858,1.57914557518798e-05
"80",0.00235786200649023,1.57911741401749e-05
"81",0.00247875217666636,1.57908780926844e-05
"82",0.0026058405184085,1.57905668695595e-05
"83",0.00273944481876837,1.57902396930488e-05
"84",0.00287989915808824,1.5789895745558e-05
"85",0.00302755474537582,1.57895341676131e-05
"86",0.00318278079650967,1.57891540557125e-05
"87",0.00334596545747127,1.57887544600783e-05
"88",0.00351751677491213,1.5788334382286e-05
"89",0.00369786371648293,1.57878927727756e-05
"90",0.00388745724347613,1.57874285282382e-05
"91",0.00408677143846407,1.57869404888639e-05
"92",0.00429630469075234,1.57864274354519e-05
"93",0.00451658094261267,1.57858880863758e-05
"94",0.00474815099941148,1.57853210943912e-05
"95",0.00499159390691022,1.57847250432769e-05
"96",0.00524751839918138,1.57840984443165e-05
"97",0.00551656442076078,1.57834397325864e-05
"98",0.00579940472684215,1.57827472630645e-05
"99",0.00609674656551564,1.57820193065381e-05
"100",0.00640933344625638,1.57812540453017e-05
"101",0.00673794699908547,1.57804495686407e-05
"102",0.00708340892905213,1.57796038680767e-05
"103",0.00744658307092434,1.57787148323815e-05
"104",0.00782837754922577,1.57777802423315e-05
"105",0.00822974704902003,1.57767977651935e-05
"106",0.00865169520312063,1.57757649489378e-05
"107",0.00909527710169582,1.57746792161532e-05
"108",0.00956160193054351,1.57735378576526e-05
"109",0.0100518357446336,1.57723380257549e-05
"110",0.0105672043838527,1.57710767272291e-05
"111",0.0111089965382423,1.57697508158819e-05
"112",0.0116785669703955,1.57683569847599e-05
"113",0.0122773399030684,1.57668917579751e-05
"114",0.0129068125804799,1.57653514821009e-05
"115",0.0135685590122009,1.57637323171437e-05
"116",0.0142642339089993,1.57620302270548e-05
"117",0.0149955768204777,1.57602409697678e-05
"118",0.0157644164848545,1.57583600867268e-05
"119",0.0165726754017613,1.57563828918992e-05
"120",0.0174223746394935,1.57543044602245e-05
"121",0.0183156388887342,1.57521196154916e-05
"122",0.0192547017753869,1.57498229176055e-05
"123",0.0202419114458044,1.57474086492139e-05
"124",0.0212797364383772,1.57448708016688e-05
"125",0.0223707718561656,1.57422030602835e-05
"126",0.0235177458560091,1.57393987888567e-05
"127",0.0247235264703394,1.57364510134221e-05
"128",0.0259911287787554,1.57333524051947e-05
"129",0.0273237224472926,1.57300952626648e-05
"130",0.0287246396542394,1.57266714928072e-05
"131",0.0301973834223185,1.57230725913609e-05
"132",0.031745636378068,1.57192896221333e-05
"133",0.0333732699603261,1.57153131952853e-05
"134",0.035084354100845,1.57111334445469e-05
"135",0.03688316740124,1.57067400033156e-05
"136",0.038774207831722,1.57021219795862e-05
"137",0.0407622039783662,1.56972679296528e-05
"138",0.0428521268670402,1.56921658305312e-05
"139",0.0450492023935578,1.56868030510448e-05
"140",0.0473589243911409,1.56811663215062e-05
"141",0.0497870683678639,1.56752417019378e-05
"142",0.0523397059484324,1.56690145487651e-05
"143",0.0550232200564073,1.56624694799079e-05
"144",0.0578443208748385,1.56555903382116e-05
"145",0.060810062625218,1.56483601531332e-05
"146",0.0639278612067076,1.56407611006214e-05
"147",0.0672055127397498,1.56327744610928e-05
"148",0.0706512130604296,1.56243805754508e-05
"149",0.0742735782143339,1.56155587990425e-05
"150",0.0780816660011532,1.56062874534815e-05
"151",0.0820849986238988,1.55965437762486e-05
"152",0.0862935864993706,1.55863038679849e-05
"153",0.0907179532894126,1.55755426373759e-05
