"","lambda","MSE"
"1",0.01,0.0030955237029873
"2",0.02,0.00300733278108708
"3",0.03,0.00297094732460806
"4",0.04,0.00351632737869984
"5",0.05,0.00351689396383721
"6",0.06,0.00351746057277697
"7",0.07,0.00351802720551472
"8",0.08,0.00351859386204601
"9",0.09,0.00351916054236641
"10",0.1,0.00351972724647149
"11",0.11,0.00352029397435683
"12",0.12,0.00352086072601796
"13",0.13,0.00352142750145047
"14",0.14,0.00352199430064994
"15",0.15,0.0035225611236119
"16",0.16,0.00352312797033195
"17",0.17,0.00424424052973632
"18",0.18,0.00424328350646393
"19",0.19,0.00424232653158548
"20",0.2,0.0042413696051174
"21",0.21,0.00424041272707611
"22",0.22,0.00423945589747808
"23",0.23,0.00423849911633969
"24",0.24,0.00423754238367748
"25",0.25,0.00423658569950784
"26",0.26,0.00423562906384723
"27",0.27,0.0042346724767121
"28",0.28,0.00423371593811892
"29",0.29,0.00423275944808416
"30",0.3,0.00423180300662427
"31",0.31,0.0042308466137557
"32",0.32,0.00422989026949493
"33",0.33,0.00422893397385843
"34",0.34,0.0042279777268627
"35",0.35,0.00422702152852419
"36",0.36,0.00422606537885937
"37",0.37,0.00422510927788474
"38",0.38,0.00422415322561678
"39",0.39,0.00422319722207196
"40",0.4,0.0042222412672668
"41",0.41,0.00422128536121776
"42",0.42,0.00422032950394138
"43",0.43,0.00421937369545411
"44",0.44,0.00421841793577248
"45",0.45,0.00421746222491297
"46",0.46,0.00421650656289212
"47",0.47,0.00421555094972641
"48",0.48,0.00421459538543235
"49",0.49,0.00421363987002648
"50",0.5,0.0042126844035253
"51",0.51,0.00421172898594532
"52",0.52,0.00421077361730306
"53",0.53,0.00420981829761509
"54",0.54,0.00420886302689789
"55",0.55,0.004207907805168
"56",0.56,0.00420695263244194
"57",0.57,0.00420599750873629
"58",0.58,0.00420504243406757
"59",0.59,0.00420408740845229
"60",0.6,0.00420313243190704
"61",0.61,0.00420217750444833
"62",0.62,0.00420122262609272
"63",0.63,0.00420026779685678
"64",0.64,0.00419931301675703
"65",0.65,0.00419835828581004
"66",0.66,0.0041974036040324
"67",0.67,0.00419644897144064
"68",0.68,0.00419549438805133
"69",0.69,0.00419453985388106
"70",0.7,0.00419358536894637
"71",0.71,0.00419263093326384
"72",0.72,0.00419167654685007
"73",0.73,0.00419072220972163
"74",0.74,0.00418976792189507
"75",0.75,0.00418881368338701
"76",0.76,0.00418785949421403
"77",0.77,0.0041869053543927
"78",0.78,0.00418595126393965
"79",0.79,0.00418499722287145
"80",0.8,0.0041840432312047
"81",0.81,0.00418308928895601
"82",0.82,0.00418213539614194
"83",0.83,0.00418118155277917
"84",0.84,0.00418022775888427
"85",0.85,0.00417927401447383
"86",0.86,0.00417832031956452
"87",0.87,0.0041773666741729
"88",0.88,0.00417641307831564
"89",0.89,0.0041754595320093
"90",0.9,0.00417450603527056
"91",0.91,0.00417355258811602
"92",0.92,0.00417259919056233
"93",0.93,0.00417164584262612
"94",0.94,0.004170692544324
"95",0.95,0.00416973929567265
"96",0.96,0.00416878609668867
"97",0.97,0.00416783294738875
"98",0.98,0.0041668798477895
"99",0.99,0.00416592679790756
"100",1,0.00416497379775963
"101",1.01,0.00416402084736232
"102",1.02,0.00416306794673231
"103",1.03,0.00416211509588628
"104",1.04,0.00416116229484085
"105",1.05,0.0041602095436127
"106",1.06,0.00415925684221852
"107",1.07,0.00415830419067495
"108",1.08,0.0041573515889987
"109",1.09,0.00415639903720641
"110",1.1,0.00415544653531479
"111",1.11,0.00415449408334051
"112",1.12,0.00415354168130026
"113",1.13,0.00415258932921069
"114",1.14,0.00415163702708853
"115",1.15,0.00415068477495049
"116",1.16,0.00414973257281324
"117",1.17,0.00414878042069348
"118",1.18,0.00414782831860789
"119",1.19,0.00414687626657322
"120",1.2,0.00414592426460616
"121",1.21,0.00414497231272339
"122",1.22,0.00414402041094166
"123",1.23,0.00414306855927767
"124",1.24,0.00414211675774814
"125",1.25,0.00414116500636977
"126",1.26,0.00414021330515933
"127",1.27,0.00413926165413348
"128",1.28,0.00413831005330902
"129",1.29,0.00413735850270265
"130",1.3,0.00413640700233109
"131",1.31,0.00413545555221109
"132",1.32,0.0041345041523594
"133",1.33,0.00413355280279274
"134",1.34,0.00413260150352788
"135",1.35,0.00413165025458155
"136",1.36,0.00413069905597051
"137",1.37,0.0041297479077115
"138",1.38,0.0041287968098213
"139",1.39,0.00412784576231664
"140",1.4,0.0041268947652143
"141",1.41,0.00412594381853104
"142",1.42,0.00412499292228363
