"","lambda","MSE"
"1",0.0000453999297624849,0.000596000555519
"2",0.000047727633936802,0.000596000432629168
"3",0.0000501746820561753,0.000596000303438658
"4",0.0000527471930155139,0.000596000167624422
"5",0.0000554515994321769,0.000596000024846865
"6",0.0000582946637308688,0.000595999874748962
"7",0.0000612834950532221,0.000595999716955405
"8",0.0000644255670343554,0.000595999551071625
"9",0.0000677287364908539,0.000595999376682826
"10",0.0000712012630669027,0.000595999193352956
"11",0.0000748518298877006,0.000595999000623596
"12",0.0000786895652717947,0.000595998798012832
"13",0.0000827240655566322,0.000595998585014036
"14",0.0000869654190944029,0.000595998361094599
"15",0.0000914242314781733,0.000595998125694628
"16",0.0000961116520613947,0.000595997878225502
"17",0.000101039401837093,0.00059599761806842
"18",0.000106219802746459,0.000595997344572873
"19",0.000111665808490115,0.000595997057054987
"20",0.000117391036919118,0.000595996754795834
"21",0.00012340980408668,0.000595996437039618
"22",0.000129737160045754,0.000595996102991798
"23",0.000136388926482011,0.000595995751817095
"24",0.000143381736276293,0.00059599538263741
"25",0.000150733075095477,0.000595994994529624
"26",0.000158461325115751,0.000595994586523285
"27",0.000166585810987634,0.000595994157598185
"28",0.000175126848157658,0.000595993706681818
"29",0.000184105793667579,0.000595993232646693
"30",0.000193545099558094,0.000595992734307501
"31",0.000203468369010644,0.000595992210418172
"32",0.000213900415367661,0.000595991659668754
"33",0.000224867324178848,0.000595991080682126
"34",0.000236396518428641,0.000595990472010573
"35",0.000248516827107952,0.000595989832132151
"36",0.000261258557301668,0.00059598915944689
"37",0.000274653569972143,0.000595988452272796
"38",0.000288735359628203,0.000595987708841637
"39",0.000303539138078867,0.000595986927294522
"40",0.000319101922481203,0.000595986105677283
"41",0.000335462627902512,0.000595985241935528
"42",0.000352662164628256,0.000595984333909574
"43",0.000370743540459088,0.000595983379329
"44",0.000389751968252755,0.000595982375806992
"45",0.000409734978979787,0.000595981320834369
"46",0.000430742540575688,0.000595980211773313
"47",0.000452827182886797,0.000595979045850771
"48",0.000476044129022269,0.000595977820151534
"49",0.000500451433440611,0.000595976531610929
"50",0.000526110127116064,0.000595975177007187
"51",0.000553084370147834,0.00059597375295335
"52",0.000581441612193756,0.000595972255888846
"53",0.000611252761129572,0.00059597068207056
"54",0.000642592360355558,0.000595969027563493
"55",0.000675538775193844,0.000595967288230902
"56",0.000710174388842549,0.000595965459724012
"57",0.00074658580837668,0.000595963537471078
"58",0.000784864081310932,0.000595961516666014
"59",0.000825104923265905,0.000595959392256356
"60",0.000867408957307003,0.000595957158930629
"61",0.000911881965554516,0.000595954811105086
"62",0.000958635153694021,0.00059595234290975
"63",0.00100778542904851,0.000595949748173742
"64",0.00105945569290761,0.000595947020409848
"65",0.0011137751478448,0.000595944152798331
"66",0.00117087962079117,0.000595941138169879
"67",0.00123091190267348,0.000595937968987669
"68",0.00129402210546585,0.000595934637328577
"69",0.00136036803754789,0.000595931134863338
"70",0.00143011559830787,0.000595927452835767
"71",0.00150343919297757,0.00059592358204086
"72",0.00158052216873622,0.00059591951280181
"73",0.00166155727317393,0.000595915234945818
"74",0.00174674713626112,0.000595910737778702
"75",0.00183630477702891,0.000595906010058164
"76",0.00193045413622771,0.000595901039965711
"77",0.00202943063629574,0.000595895815077141
"78",0.00213348177003771,0.000595890322331514
"79",0.0022428677194858,0.000595884547998519
"80",0.00235786200649023,0.000595878477644197
"81",0.00247875217666636,0.0005958720960949
"82",0.0026058405184085,0.000595865387399402
"83",0.00273944481876837,0.00059585833478905
"84",0.00287989915808824,0.000595850920635941
"85",0.00302755474537582,0.000595843126408872
"86",0.00318278079650967,0.000595834932627119
"87",0.00334596545747127,0.000595826318811795
"88",0.00351751677491213,0.00059581726343474
"89",0.00369786371648293,0.000595807743864803
"90",0.00388745724347613,0.000595797736311384
"91",0.00408677143846407,0.000595787215765046
"92",0.00429630469075234,0.000595776155935164
"93",0.00451658094261267,0.000595764529184321
"94",0.00474815099941148,0.000595752306459379
"95",0.00499159390691022,0.000595739457219049
"96",0.00524751839918138,0.000595725949357721
"97",0.00551656442076078,0.000595711749125443
"98",0.00579940472684215,0.000595696821043771
"99",0.00609674656551564,0.000595681127817374
"100",0.00640933344625638,0.000595664630241096
"101",0.00673794699908547,0.000595647287102274
"102",0.00708340892905213,0.000595629055078093
"103",0.00744658307092434,0.000595609888627712
"104",0.00782837754922577,0.000595589739878833
"105",0.00822974704902003,0.000595568558508583
"106",0.00865169520312063,0.000595546291618231
"107",0.00909527710169582,0.00059552288360162
"108",0.00956160193054351,0.000595498276006799
"109",0.0100518357446336,0.00059547240739071
"110",0.0105672043838527,0.000595445213166396
"111",0.0111089965382423,0.000595416625442518
"112",0.0116785669703955,0.000595386572854654
"113",0.0122773399030684,0.000595354980388046
"114",0.0129068125804799,0.000595321769191371
"115",0.0135685590122009,0.000595286856381009
"116",0.0142642339089993,0.000595250154835432
"117",0.0149955768204777,0.000595211572979116
"118",0.0157644164848545,0.00059517101455555
"119",0.0165726754017613,0.000595128378388724
"120",0.0174223746394935,0.000439361022606016
"121",0.0183156388887342,0.000439339136610762
"122",0.0192547017753869,0.000439316129168098
"123",0.0202419114458044,0.000439291942850797
"124",0.0212797364383772,0.00043926651729471
"125",0.0223707718561656,0.000439239789048966
"126",0.0235177458560091,0.000439211691418549
"127",0.0247235264703394,0.000439182154298959
"128",0.0259911287787554,0.000439151104002438
"129",0.0273237224472926,0.000439118463075399
"130",0.0287246396542394,0.000439084150106674
"131",0.0301973834223185,0.000439048079525991
"132",0.031745636378068,0.000439010161392325
"133",0.0333732699603261,0.000438970301171541
"134",0.035084354100845,0.000438928399502801
"135",0.03688316740124,0.000438884351953261
"136",0.038774207831722,0.000438838048760292
"137",0.0407622039783662,0.000438789374560881
"138",0.0428521268670402,0.000438738208107319
"139",0.0450492023935578,0.00043868442196865
"140",0.0473589243911409,0.000438627882217168
"141",0.0497870683678639,0.000438568448099157
"142",0.0523397059484324,0.0004385059716892
"143",0.0550232200564073,0.000438440297527194
"144",0.0578443208748385,0.000438371262237267
"145",0.060810062625218,0.00043829869412764
"146",0.0639278612067076,0.000438222412770703
"147",0.0672055127397498,0.000438142228562089
"148",0.0706512130604296,0.000438057942257993
"149",0.0742735782143339,0.00043796934448951
"150",0.0780816660011532,0.000437876215253031
"151",0.0820849986238988,0.000437778323375439
"152",0.0862935864993706,0.000437675425953089
"153",0.0907179532894126,0.000437567267763139
"154",0.0953691622155497,0.000437453580646108
"155",0.100258843722804,0.000437334082858213
"156",0.105399224561864,0.000437208478392217
"157",0.110803158362334,0.000437076456265207
"158",0.116484157773497,0.000436937689771854
"159",0.122456428252982,0.000436791835701667
"160",0.128734903587804,0.000436638533518497
"161",0.135335283236613,0.000436477404500702
"162",0.142274071586514,0.000436308050840239
"163",0.149568619222635,0.0004361300546988
"164",0.157237166313628,0.000435942977219299
"165",0.165298888221587,0.000435746357490565
"166",0.173773943450445,0.000435539711463592
"167",0.182683524052735,0.000435322530816926
"168",0.192049908620754,0.000435094281769494
"169",0.201896517994655,0.000434854403838448
"170",0.212247973826743,0.000434602308540003
"171",0.22313016014843,0.000434337378030951
"172",0.234570288093798,0.000434058963688636
"173",0.246596963941606,0.000433766384627055
"174",0.259240260645892,0.000433458926146673
"175",0.272531793034013,0.000433135838115761
"176",0.28650479686019,0.000432796333280681
"177",0.301194211912202,0.000432439585502859
"178",0.316636769379053,0.000432064727920065
"179",0.33287108369808,0.000431670851029539
"180",0.349937749111156,0.00043125700069084
"181",0.367879441171442,0.000430822176045945
"182",0.386741023454502,0.000430365327354609
"183",0.406569659740599,0.000429885353742799
"184",0.427414931948727,0.000429381100862225
"185",0.449328964117222,0.000428851358459349
"186",0.472366552741015,0.000428294857852023
"187",0.49658530379141,0.000427710269312651
"188",0.522045776761016,0.000427096199356588
"189",0.548811636094027,0.000426451187935138
"190",0.576949810380487,0.000425773705532717
"191",0.606530659712633,0.000425062150168294
"192",0.637628151621774,0.000424314844301663
"193",0.67032004603564,0.000423530031645729
"194",0.704688089718714,0.000422705873886682
"195",0.740818220681719,0.000421840447314705
"196",0.778800783071405,0.000420931739368717
"197",0.818730753077982,0.000419977645099704
"198",0.860707976425059,0.000418975963558298
"199",0.90483741803596,0.000417924394113645
"200",0.951229424500715,0.000416820532711835
"201",1,0.000415661868084212
"202",1.01,0.000415424520514638
"203",1.02,0.000415187250159818
"204",1.03,0.000414950057011303
"205",1.04,0.000414712941060621
"206",1.05,0.000414475902299326
"207",1.06,0.000414238940718956
"208",1.07,0.000414002056311057
"209",1.08,0.000413765249067181
"210",1.09,0.000413528518978865
"211",1.1,0.000413291866037659
"212",1.11,0.000413055290235115
"213",1.12,0.000412818791562779
"214",1.13,0.000412582370012197
"215",1.14,0.000412346025574917
"216",1.15,0.0004121097582425
"217",1.16,0.000411873568006492
"218",1.17,0.000411637454858444
"219",1.18,0.000411401418789908
"220",1.19,0.000411165459792435
"221",1.2,0.000410929577857592
"222",1.21,0.000410693772976927
"223",1.22,0.000410458045141991
"224",1.23,0.000410222394344354
"225",1.24,0.000409986820575556
"226",1.25,0.00040975132382717
"227",1.26,0.000409515904090753
"228",1.27,0.000409280561357858
"229",1.28,0.00040904529562005
"230",1.29,0.000408810106868894
"231",1.3,0.000408574995095942
"232",1.31,0.000408339960292766
"233",1.32,0.000408105002450931
"234",1.33,0.000407870121561996
"235",1.34,0.000407635317617528
"236",1.35,0.000407400590609096
"237",1.36,0.000407165940528262
"238",1.37,0.000406931367366596
"239",1.38,0.000406696871115668
"240",1.39,0.000406462451767044
"241",1.4,0.000406228109312296
"242",1.41,0.00040599384374299
"243",1.42,0.000405759655050706
"244",1.43,0.000405525543227004
"245",1.44,0.000405291508263466
"246",1.45,0.000405057550151672
"247",1.46,0.000404823668883182
"248",1.47,0.00040458986444958
"249",1.48,0.00040435613684244
"250",1.49,0.000404122486053335
"251",1.5,0.00040388891207385
"252",1.51,0.000403655414895556
"253",1.52,0.000403421994510033
"254",1.53,0.000403188650908864
"255",1.54,0.000402955384083633
"256",1.55,0.000402722194025912
"257",1.56,0.00040248908072729
"258",1.57,0.000402256044179347
"259",1.58,0.000402023084373664
"260",1.59,0.000401790201301831
"261",1.6,0.000401557394955436
"262",1.61,0.000401324665326056
"263",1.62,0.000401092012405275
"264",1.63,0.000400859436184691
"265",1.64,0.000400626936655889
"266",1.65,0.000400394513810454
"267",1.66,0.000400162167639983
"268",1.67,0.000399929898136055
"269",1.68,0.000399697705290267
"270",1.69,0.000399465589094217
"271",1.7,0.000399233549539492
"272",1.71,0.000399001586617679
"273",1.72,0.000398769700320394
"274",1.73,0.000398537890639209
"275",1.74,0.000398306157565724
"276",1.75,0.000398074501091544
"277",1.76,0.000397842921208267
"278",1.77,0.000397611417907474
"279",1.78,0.000397379991180784
"280",1.79,0.000397148641019784
"281",1.8,0.000396917367416076
"282",1.81,0.000396686170361272
"283",1.82,0.000396455049846962
"284",1.83,0.000396224005864748
"285",1.84,0.000395993038406243
"286",1.85,0.000395762147463043
"287",1.86,0.000395531333026755
"288",1.87,0.000395300595088983
"289",1.88,0.000395069933641341
"290",1.89,0.000394839348675426
"291",1.9,0.000394608840182855
"292",1.91,0.000394378408155228
"293",1.92,0.000394148052584159
"294",1.93,0.000393917773461262
"295",1.94,0.000393687570778139
"296",1.95,0.000393457444526404
"297",1.96,0.000393227394697672
"298",1.97,0.000392997421283564
"299",1.98,0.000392767524275682
"300",1.99,0.000392537703665641
"301",2,0.000392307959445067
"302",3,0.000369717867890917
"303",4,0.000347883247819512
"304",5,0.000326795828832307
"305",6,0.00030644741510278
"306",7,0.000290214777291676
"307",8,0.000285304140009584
"308",9,0.000280440307483023
"309",10,0.000275623147592728
"310",11,0.000270852528932656
"311",12,0.000266128319993281
"312",13,0.000261450389866287
"313",14,0.000256818607735246
"314",15,0.000252232843049234
"315",16,0.000247692966048145
"316",17,0.00024319884660668
"317",18,0.000238750355313644
"318",19,0.00023434736296846
"319",20,0.000229989740519072
"320",21,0.000225677359455679
"321",22,0.000221410091497037
"322",23,0.000217187808503044
"323",24,0.000213010382646536
"324",25,0.000208877686620279
"325",26,0.000204789593401127
"326",27,0.000200745975874041
"327",28,0.000196746707666137
"328",29,0.000192791662381868
"329",30,0.000188880714073505
"330",31,0.000185013737087187
"331",32,0.00018119060626225
"332",33,0.000177411196015915
"333",34,0.000173675381973122
"334",35,0.000169983039194409
"335",36,0.000166334043778942
"336",37,0.000162728271834515
"337",38,0.000159165599257451
"338",39,0.00015564590322384
"339",40,0.000152169060228336
"340",41,0.000148734947576537
"341",42,0.00014534344308606
"342",43,0.000141994424089306
"343",44,0.000138687768851054
"344",45,0.000135423355504902
"345",46,0.000132201062967316
"346",47,0.000129020770169853
"347",48,0.000125882355674681
"348",49,0.000122785699695824
"349",50,0.000119730681655898
"350",51,0.000116717181658502
"351",52,0.000113745079659898
"352",53,0.000110814256648625
"353",54,0.000107924593459829
"354",55,0.000105075970919218
"355",56,0.000102268270713092
"356",57,0.0000995013742986157
"357",58,0.0000967751639925544
"358",59,0.0000940895219145798
"359",60,0.0000914443302458464
"360",61,0.0000888394720505261
"361",62,0.0000862748304304761
"362",63,0.0000837502885305024
"363",64,0.0000812657300070818
"364",65,0.0000788210387558925
"365",66,0.0000764160990039037
"366",67,0.0000740507951339385
"367",68,0.0000717250114687393
"368",69,0.0000694386336313484
"369",70,0.0000671915462370942
"370",71,0.0000649836351558061
"371",72,0.0000628147858443998
"372",73,0.000060684884454162
"373",74,0.0000585938173429579
"374",75,0.0000565414709114961
"375",76,0.0000545277321356864
"376",77,0.0000525524880501474
"377",78,0.0000506156258661929
"378",79,0.0000487170333428996
"379",80,0.0000468565983578216
"380",81,0.0000450342088272869
"381",82,0.000043249753440847
"382",83,0.0000415031205822403
"383",84,0.0000397941992418249
"384",85,0.0000381228787260487
"385",86,0.0000364890483995968
"386",87,0.0000348925977897921
"387",88,0.0000333334169103975
"388",89,0.0000318113961883723
"389",90,0.00003032642593645
"390",91,0.0000288783968069963
"391",92,0.0000274671997646195
"392",93,0.00002609272609774
"393",94,0.0000247548674140795
"394",95,0.0000234535152090249
"395",96,0.0000221885615584171
"396",97,0.00002095989881116
"397",98,0.0000197674193865203
"398",99,0.000018611015923319
"399",100,0.0000174905816313954
"400",101,0.000016406009708898
"401",102,0.0000153571934701273
"402",103,0.0000143440268562957
"403",104,0.0000133664038559832
"404",105,0.0000124242185589264
"405",106,0.0000115173657013507
"406",107,0.0000106457398471403
"407",108,0.00000980923607937741
"408",109,0.00000900774963368488
"409",110,0.00000824117584532796
"410",111,0.00000750941053999855
"411",112,0.00000681234971942628
"412",113,0.00000614988967339163
"413",114,0.00000552192665337306
"414",115,0.00000492835755370969
"415",116,0.00000436907926475869
"416",117,0.00000384398893704819
"417",118,0.00000335298397287391
"418",119,0.00000289596224710514
"419",120,0.00000247282143653693
"420",121,0.00000208345978960289
"421",122,0.00000172777570450356
"422",123,0.00000140566781644956
"423",124,0.00000111703495363149
"424",125,0.000000861776342554065
"425",126,0.000000639791185605576
"426",127,0.000000450979135994706
"427",128,0.000000295240010746614
"428",129,0.000000172473850165634
"429",130,0.0000000825809646950622
"430",131,0.0000000254618796216702
"431",132,0.00000000101734160030917
"432",133,0.00000000914835664567892
"433",134,0.0000000497561629410485
"434",135,0.000000122742204134045
"435",136,0.000000228008191471537
"436",137,0.000000365456044127775
"437",138,0.000000534987886406985
"438",139,0.000000736506192902822
"439",140,0.000000969913519346907
"440",141,0.00000123511273286449
"441",142,0.00000153200687108045
"442",143,0.00000186049932861191
"443",144,0.00000222049351023883
"444",145,0.00000261189336714923
"445",146,0.00000303460270590198
"446",147,0.00000348852590620381
"447",148,0.00000397356718757075
"448",149,0.00000448963150944305
"449",150,0.00000503662353742022
"450",151,0.00000561444862268612
"451",152,0.0000062230118883126
"452",153,0.00000686221896843136
"453",154,0.00000753197560282483
"454",155,0.00000823218815294086
"455",156,0.00000896276220816866
"456",157,0.00000972360498133995
"457",158,0.0000105146225949455
"458",159,0.0000113357221918842
"459",160,0.0000121868107879445
"460",161,0.0000130677959689952
"461",162,0.0000139785851070973
"462",163,0.0000149190856670604
"463",164,0.0000158892064722456
"464",165,0.0000162000738897557
"465",166,0.0000164792880403578
"466",167,0.0000167608077286295
"467",168,0.0000170446311513271
"468",169,0.0000173307559060903
"469",170,0.0000176191805551825
"470",171,0.000017909902770748
"471",172,0.0000182029206551999
"472",173,0.0000184982320358526
"473",174,0.0000187958351549781
"474",175,0.0000190957278956675
"475",176,0.0000193979082533093
"476",177,0.0000197023744203058
"477",178,0.0000200091241849533
"478",179,0.0000203181554983835
"479",180,0.0000206294666489435
"480",181,0.0000209723194040998
"481",182,0.0000213607330118749
"482",183,0.0000217525734441711
"483",184,0.0000221478371990167
"484",185,0.0000225465206077065
"485",186,0.0000229486201750324
"486",187,0.0000233541320886374
"487",188,0.000023763052648014
"488",189,0.0000241753782478537
"489",190,0.0000245911053000414
"490",191,0.0000250102301508683
"491",192,0.0000254327492854852
"492",193,0.0000258586585288413
"493",194,0.0000262879548495703
"494",195,0.000026720634342219
"495",196,0.0000271566932948969
"496",197,0.0000275961282525326
"497",198,0.0000280389357879987
"498",199,0.0000284851118081754
"499",200,0.0000289346528519255
"500",201,0.0000293875555342799
"501",202,0.0000298438159768053
"502",203,0.0000303034308052297
"503",204,0.0000307663961660172
"504",205,0.0000312327086319371
"505",206,0.0000317023645696781
"506",207,0.0000321753603219687
"507",208,0.0000326516923852289
"508",209,0.0000331313570337788
"509",210,0.0000336143505465164
"510",211,0.0000341006697541365
"511",212,0.0000345903108903255
"512",213,0.0000350832704837112
"513",214,0.0000355795445954682
"514",215,0.0000360791299747767
"515",216,0.0000365820228933485
"516",217,0.0000370882201373549
"517",218,0.0000375977172799543
"518",219,0.0000381105116456099
"519",220,0.0000386265995091264
"520",221,0.0000391459768811313
"521",222,0.0000396686405255847
"522",223,0.0000401945870392589
"523",224,0.0000407238125874582
"524",225,0.0000412563135769267
"525",226,0.0000417920868724622
"526",227,0.000042331128494625
"527",228,0.0000428734354693375
"528",229,0.0000434190032993019
"529",230,0.0000439678290592164
"530",231,0.0000445199095189158
"531",232,0.0000450752408607606
"532",233,0.0000456338194699746
"533",234,0.0000461956417137535
"534",235,0.0000467607045687192
"535",236,0.0000473290039108012
"536",237,0.0000479005365332858
"537",238,0.0000484752989502317
"538",239,0.0000490532878620685
"539",240,0.0000496344995114649
"540",241,0.0000502189303241221
"541",242,0.0000508065768069335
"542",243,0.0000513974356155229
"543",244,0.0000519915031377067
"544",245,0.0000525887762422505
"545",246,0.0000531892506668327
"546",247,0.0000537929238314518
"547",248,0.0000543997917983655
"548",249,0.0000550098509465897
"549",250,0.000055623098108184
"550",251,0.0000562395297454737
"551",252,0.0000568591422869089
"552",253,0.0000574819324483215
"553",254,0.000058107896319675
"554",255,0.0000587370310024309
"555",256,0.0000593693328565289
"556",257,0.0000594892196129173
"557",258,0.0000594892198192485
"558",259,0.0000594892198195606
"559",260,0.0000594892195836718
"560",261,0.0000594892196302965
"561",262,0.000059489219803014
"562",263,0.0000594892194983387
"563",264,0.0000594892194986509
"564",265,0.0000594892194989645
"565",266,0.0000594892194992766
"566",267,0.0000594892194995896
"567",268,0.0000594892194999017
"568",269,0.0000594892195002147
"569",270,0.0000594892195005277
"570",271,0.0000594892195008404
"571",272,0.0000594892195011526
"572",273,0.0000594892195014655
"573",274,0.0000594892195017785
"574",275,0.0000594892195020915
"575",276,0.0000594892195024036
"576",277,0.0000594892195027164
"577",278,0.0000594892195030285
"578",279,0.0000594892195033415
"579",280,0.0000594892195036545
"580",281,0.0000594892195039674
"581",282,0.0000594892195042796
"582",283,0.0000594892195045925
"583",284,0.0000594892195049053
"584",285,0.0000594892195052174
"585",286,0.0000594892195055304
"586",287,0.0000594892195058434
"587",288,0.0000594892195061555
"588",289,0.0000594892195064685
"589",290,0.0000594892195067806
"590",291,0.0000594892195070942
"591",292,0.0000594892195074064
"592",293,0.0000594892195077194
"593",294,0.0000594892195080323
"594",295,0.0000594892195083445
"595",296,0.0000594892195086572
"596",297,0.0000594892195089702
"597",298,0.0000594892195092823
"598",299,0.0000594892195095953
"599",300,0.0000594892195099083
"600",301,0.0000594892195102204
"601",302,0.0000594892195105334
"602",303,0.0000594892195108462
"603",304,0.0000594892195111583
"604",305,0.0000594892195114713
"605",306,0.0000594892195117842
"606",307,0.0000594892195120964
"607",308,0.0000594892195124093
"608",309,0.0000594892195127221
"609",310,0.0000594892195130342
"610",311,0.0000594892195133472
"611",312,0.0000594892195136602
"612",313,0.0000594892195139732
"613",314,0.0000594892195142853
"614",315,0.0000594892195145981
"615",316,0.0000594892195149102
"616",317,0.000059489219515224
"617",318,0.0000594892195155362
"618",319,0.0000594892195158491
"619",320,0.0000594892195161613
"620",321,0.0000594892195164742
"621",322,0.000059489219516787
"622",323,0.0000594892195170991
"623",324,0.0000594892195174121
"624",325,0.0000594892195177251
"625",326,0.0000594892195180372
"626",327,0.0000594892195183502
"627",328,0.000059489219518663
"628",329,0.0000594892195189759
"629",330,0.0000594892195192881
"630",331,0.000059489219519601
"631",332,0.0000594892195199132
"632",333,0.0000594892195202261
"633",334,0.0000594892195205391
"634",335,0.0000594892195208513
"635",336,0.000059489219521164
"636",337,0.000059489219521477
"637",338,0.00005948921952179
"638",339,0.000059489219522103
"639",340,0.0000594892195224157
"640",341,0.0000594892195227278
"641",342,0.0000594892195230408
"642",343,0.0000594892195233529
"643",344,0.0000594892195236659
"644",345,0.0000594892195239789
"645",346,0.000059489219524291
"646",347,0.0000594892195246038
"647",348,0.0000594892195249159
"648",349,0.0000594892195252289
"649",350,0.0000594892195255427
"650",351,0.0000594892195258549
"651",352,0.000059489219526167
"652",353,0.00005948921952648
"653",354,0.0000594892195267921
"654",355,0.0000594892195271057
"655",356,0.0000594892195274187
"656",357,0.0000594892195277308
"657",358,0.0000594892195280429
"658",359,0.0000594892195283559
"659",360,0.0000594892195286687
"660",361,0.0000594892195289817
"661",362,0.0000594892195292946
"662",363,0.0000594892195296068
"663",364,0.0000594892195299189
"664",365,0.0000594892195302319
"665",366,0.0000594892195305449
"666",367,0.0000594892195308576
"667",368,0.0000594892195311706
"668",369,0.0000594892195314827
"669",370,0.0000594892195317957
"670",371,0.0000594892195321087
"671",372,0.0000594892195324208
"672",373,0.0000594892195327329
"673",374,0.0000594892195330466
"674",375,0.0000594892195333587
"675",376,0.0000594892195336717
"676",377,0.0000594892195339838
"677",378,0.0000594892195342974
"678",379,0.0000594892195346095
"679",380,0.0000594892195349225
"680",381,0.0000594892195352346
"681",382,0.0000594892195355476
"682",383,0.0000594892195358597
"683",384,0.0000594892195361727
"684",385,0.0000594892195364848
"685",386,0.0000594892195367978
"686",387,0.0000594892195371106
"687",388,0.0000594892195374236
"688",389,0.0000594892195377365
"689",390,0.0000594892195380487
"690",391,0.0000594892195383617
"691",392,0.0000594892195386744
"692",393,0.0000594892195389874
"693",394,0.0000594892195392995
"694",395,0.0000594892195396116
"695",396,0.0000594892195399255
"696",397,0.0000594892195402376
"697",398,0.0000594892195405497
"698",399,0.0000594892195408627
"699",400,0.0000594892195411755
