"","lambda","MSE"
"1",0.0000453999297624849,0.0000157968376636544
"2",0.000047727633936802,0.0000157968319622808
"3",0.0000501746820561753,0.0000157968259685935
"4",0.0000527471930155139,0.0000157968196676046
"5",0.0000554515994321769,0.0000157968130435581
"6",0.0000582946637308688,0.0000157968060798908
"7",0.0000612834950532221,0.0000157967987591908
"8",0.0000644255670343554,0.0000157967910631525
"9",0.0000677287364908539,0.0000157967829725316
"10",0.0000712012630669027,0.0000157967744670986
"11",0.0000748518298877006,0.000015796765525584
"12",0.0000786895652717947,0.0000157967561256315
"13",0.0000827240655566322,0.0000157967462437368
"14",0.0000869654190944029,0.0000157967358551894
"15",0.0000914242314781733,0.0000157967249340135
"16",0.0000961116520613947,0.0000157967134529012
"17",0.000101039401837093,0.0000157967013831441
"18",0.000106219802746459,0.0000157966886945623
"19",0.000111665808490115,0.0000157966753554287
"20",0.000117391036919118,0.0000157966613323896
"21",0.00012340980408668,0.0000157966465903805
"22",0.000129737160045754,0.0000157966310925395
"23",0.000136388926482011,0.0000157966148001165
"24",0.000143381736276293,0.0000157965976723718
"25",0.000150733075095477,0.000015796579666479
"26",0.000158461325115751,0.0000157965607374156
"27",0.000166585810987634,0.0000157965408378509
"28",0.000175126848157658,0.0000157965199180279
"29",0.000184105793667579,0.0000157964979256367
"30",0.000193545099558094,0.0000157964748056887
"31",0.000203468369010644,0.0000157964505003751
"32",0.000213900415367661,0.0000157964249489211
"33",0.000224867324178848,0.0000157963980874383
"34",0.000236396518428641,0.0000157963698487639
"35",0.000248516827107952,0.000015796340162289
"36",0.000261258557301668,0.000015796308953787
"37",0.000274653569972143,0.0000157962761452235
"38",0.000288735359628203,0.0000157962416545672
"39",0.000303539138078867,0.0000157962053955791
"40",0.000319101922481203,0.0000157961672775976
"41",0.000335462627902512,0.0000157961272053157
"42",0.000352662164628256,0.0000157960850785405
"43",0.000370743540459088,0.0000157960407919405
"44",0.000389751968252755,0.0000157959942347859
"45",0.000409734978979787,0.000015795945290671
"46",0.000430742540575688,0.0000157958938372201
"47",0.000452827182886797,0.000015795839745787
"48",0.000476044129022269,0.0000157957828811279
"49",0.000500451433440611,0.0000157957231010674
"50",0.000526110127116064,0.0000157956602561428
"51",0.000553084370147834,0.0000157955941892258
"52",0.000581441612193756,0.0000157955247351382
"53",0.000611252761129572,0.0000157954517202308
"54",0.000642592360355558,0.0000157953749619542
"55",0.000675538775193844,0.0000157952942684005
"56",0.000710174388842549,0.0000157952094378268
"57",0.00074658580837668,0.0000157951202581465
"58",0.000784864081310932,0.000015795026506402
"59",0.000825104923265905,0.0000157949279482083
"60",0.000867408957307003,0.0000157948243371657
"61",0.000911881965554516,0.0000157947154142439
"62",0.000958635153694021,0.0000157946009071362
"63",0.00100778542904851,0.000015794480529579
"64",0.00105945569290761,0.0000157943539806358
"65",0.0011137751478448,0.0000157942209439463
"66",0.00117087962079117,0.0000157940810869339
"67",0.00123091190267348,0.0000157939340599792
"68",0.00129402210546585,0.0000157937794955418
"69",0.00136036803754789,0.0000157936170072461
"70",0.00143011559830787,0.0000157934461889143
"71",0.00150343919297757,0.0000157932666135532
"72",0.00158052216873622,0.000015793077832287
"73",0.00166155727317393,0.0000157928793732352
"74",0.00174674713626112,0.000015792670740339
"75",0.00183630477702891,0.0000157924514121172
"76",0.00193045413622771,0.0000157922208403682
"77",0.00202943063629574,0.0000157919784487995
"78",0.00213348177003771,0.0000157917236315906
"79",0.0022428677194858,0.0000157914557518798
"80",0.00235786200649023,0.0000157911741401749
"81",0.00247875217666636,0.0000157908780926844
"82",0.0026058405184085,0.0000157905668695595
"83",0.00273944481876837,0.0000157902396930488
"84",0.00287989915808824,0.000015789895745558
"85",0.00302755474537582,0.0000157895341676131
"86",0.00318278079650967,0.0000157891540557125
"87",0.00334596545747127,0.0000157887544600783
"88",0.00351751677491213,0.000015788334382286
