"","lambda","MSE"
"1",0.0000453999297624849,0.00264901529930802
"2",0.000047727633936802,0.00264901580450819
"3",0.0000501746820561753,0.00264901633561055
"4",0.0000527471930155139,0.00264901689394314
"5",0.0000554515994321769,0.00264901748090208
"6",0.0000582946637308688,0.00264901809795512
"7",0.0000612834950532221,0.00264901874664516
"8",0.0000644255670343554,0.00264901942859431
"9",0.0000677287364908539,0.0026490201455078
"10",0.0000712012630669027,0.00264902089917829
"11",0.0000748518298877006,0.00264902169149037
"12",0.0000786895652717947,0.00264902252442523
"13",0.0000827240655566322,0.00264902340006564
"14",0.0000869654190944029,0.0026490243206012
"15",0.0000914242314781733,0.00264902528833373
"16",0.0000961116520613947,0.00264902630568309
"17",0.000101039401837093,0.00264902737519317
"18",0.000106219802746459,0.00264902849953835
"19",0.000111665808490115,0.0026490296815301
"20",0.000117391036919118,0.00264903092412401
"21",0.00012340980408668,0.00264903223042727
"22",0.000129737160045754,0.00264903360370634
"23",0.000136388926482011,0.00264903504739516
"24",0.000143381736276293,0.00264903656510373
"25",0.000150733075095477,0.00264903816062715
"26",0.000158461325115751,0.00264903983795512
"27",0.000166585810987634,0.00264904160128187
"28",0.000175126848157658,0.00264904345501669
"29",0.000184105793667579,0.00264904540379494
"30",0.000193545099558094,0.00264904745248965
"31",0.000203468369010644,0.00264904960622367
"32",0.000213900415367661,0.00264905187038254
"33",0.000224867324178848,0.00264905425062797
"34",0.000236396518428641,0.00264905675291184
"35",0.000248516827107952,0.00264905938349132
"36",0.000261258557301668,0.0026490621489443
"37",0.000274653569972143,0.00264906505618602
"38",0.000288735359628203,0.00264906811248622
"39",0.000303539138078867,0.00264907132548739
"40",0.000319101922481203,0.0026490747032239
"41",0.000335462627902512,0.00264907825414203
"42",0.000352662164628256,0.00264908198712114
"43",0.000370743540459088,0.00264908591149585
"44",0.000389751968252755,0.00264909003707939
"45",0.000409734978979787,0.00264909437418817
"46",0.000430742540575688,0.00264909893366752
"47",0.000452827182886797,0.00264910372691887
"48",0.000476044129022269,0.00264910876592822
"49",0.000500451433440611,0.00264911406329616
"50",0.000526110127116064,0.0026491196322693
"51",0.000553084370147834,0.00264912548677354
"52",0.000581441612193756,0.00264913164144872
"53",0.000611252761129572,0.00264913811168538
"54",0.000642592360355558,0.00264914491366319
"55",0.000675538775193844,0.00264915206439142
"56",0.000710174388842549,0.00264915958175142
"57",0.00074658580837668,0.0026491674845415
"58",0.000784864081310932,0.00264917579252378
"59",0.000825104923265905,0.00264918452647368
"60",0.000867408957307003,0.00264919370823191
"61",0.000911881965554516,0.00264920336075905
"62",0.000958635153694021,0.00264921350819299
"63",0.00100778542904851,0.00264922417590934
"64",0.00105945569290761,0.00264923539058483
"65",0.0011137751478448,0.0026492471802641
"66",0.00117087962079117,0.00264925957442983
"67",0.00123091190267348,0.00264927260407638
"68",0.00129402210546585,0.00264928630178756
"69",0.00136036803754789,0.00264930070181788
"70",0.00143011559830787,0.00264931584017838
"71",0.00150343919297757,0.00264933175472669
"72",0.00158052216873622,0.00264934848526167
"73",0.00166155727317393,0.00264936607362306
"74",0.00174674713626112,0.00264938456379607
"75",0.00183630477702891,0.00264940400202148
"76",0.00193045413622771,0.00264942443691129
"77",0.00202943063629574,0.00264944591957032
"78",0.00213348177003771,0.00264946850372412
"79",0.0022428677194858,0.00264949224585333
"80",0.00235786200649023,0.00264951720533507
"81",0.00247875217666636,0.00264954344459142
"82",0.0026058405184085,0.00264957102924567
"83",0.00273944481876837,0.00264960002828654
"84",0.00287989915808824,0.00264963051424075
"85",0.00302755474537582,0.00264966256335458
"86",0.00318278079650967,0.00264969625578465
"87",0.00334596545747127,0.00264973167579849
"88",0.00351751677491213,0.00264976891198554
"89",0.00369786371648293,0.0026498080574788
"90",0.00388745724347613,0.00264984921018792
"91",0.00408677143846407,0.00281672080729813
"92",0.00429630469075234,0.00281675424105024
"93",0.00451658094261267,0.00281678938910952
"94",0.00474815099941148,0.00281682633938319
"95",0.00499159390691022,0.00281686518428697
"96",0.00524751839918138,0.00281690602097627
"97",0.00551656442076078,0.00281694895158945
"98",0.00579940472684215,0.00281699408350343
"99",0.00609674656551564,0.00281704152960247
"100",0.00640933344625638,0.00281709140856075
"101",0.00673794699908547,0.00281714384513947
"102",0.00708340892905213,0.00281719897049919
"103",0.00744658307092434,0.00281725692252823
"104",0.00782837754922577,0.00281731784618789
"105",0.00822974704902003,0.00281738189387547
"106",0.00865169520312063,0.00281744922580589
"107",0.00909527710169582,0.00281752001041298
"108",0.00956160193054351,0.00281759442477127
"109",0.0100518357446336,0.00281767265503956
"110",0.0105672043838527,0.00281775489692729
"111",0.0111089965382423,0.0028178413561848
"112",0.0116785669703955,0.00281793224911885
"113",0.0122773399030684,0.00281802780313464
"114",0.0129068125804799,0.00281812825730573
"115",0.0135685590122009,0.00281823386297317
"116",0.0142642339089993,0.00281834488437554
"117",0.0149955768204777,0.00281846159931144
"118",0.0157644164848545,0.00281858429983589
"119",0.0165726754017613,0.00281871329299279
"120",0.0174223746394935,0.00281884890158492
"121",0.0183156388887342,0.00281899146498364
"122",0.0192547017753869,0.00281914133998032
"123",0.0202419114458044,0.00281929890168155
"124",0.0212797364383772,0.00281946454445054
"125",0.0223707718561656,0.00281963868289697
"126",0.0235177458560091,0.00281982175291792
"127",0.0247235264703394,0.00282001421279242
"128",0.0259911287787554,0.00282021654433245
"129",0.0273237224472926,0.00282042925409339
"130",0.0287246396542394,0.00282065287464675
"131",0.0301973834223185,0.00282088796591894
"132",0.031745636378068,0.00282113511659873
"133",0.0333732699603261,0.00282139494561778
"134",0.035084354100845,0.00282166810370745
"135",0.03688316740124,0.0028219552750363
"136",0.038774207831722,0.002822257178932
"137",0.0407622039783662,0.00282257457169262
"138",0.0428521268670402,0.00282290824849144
"139",0.0450492023935578,0.00282325904538061
"140",0.0473589243911409,0.00282362784139845
"141",0.0497870683678639,0.00282401556078615
"142",0.0523397059484324,0.0028244231753193
"143",0.0550232200564073,0.00282485170676055
"144",0.0578443208748385,0.00282530222943961
"145",0.060810062625218,0.00282577587296721
"146",0.0639278612067076,0.00282627382509039
"147",0.0672055127397498,0.00282679733469618
"148",0.0706512130604296,0.00282734771497175
"149",0.0742735782143339,0.00282792634672929
"150",0.0780816660011532,0.00282853468190423
"151",0.0820849986238988,0.00212768927440261
"152",0.0862935864993706,0.00212775375270496
"153",0.0907179532894126,0.00212782153756158
"154",0.0953691622155497,0.00212789279857474
"155",0.100258843722804,0.00212796771404994
"156",0.105399224561864,0.00212804647144289
"157",0.110803158362334,0.00212812926782959
"158",0.116484157773497,0.00212821631040048
"159",0.122456428252982,0.00212830781698011
"160",0.128734903587804,0.00212840401657355
"161",0.135335283236613,0.00212850514994092
"162",0.142274071586514,0.00212861147020152
"163",0.149568619222635,0.00212872324346911
"164",0.157237166313628,0.00276739239317019
"165",0.165298888221587,0.00276739858064411
"166",0.173773943450445,0.00276740508536091
"167",0.182683524052735,0.00276741192358641
"168",0.192049908620754,0.00276741911242048
"169",0.201896517994655,0.00276742666983975
"170",0.212247973826743,0.0027674346147426
"171",0.22313016014843,0.00267684437273121
"172",0.234570288093798,0.002677354490572
"173",0.246596963941606,0.0023701623335438
"174",0.259240260645892,0.00263108194717734
"175",0.272531793034013,0.00237354914942986
"176",0.28650479686019,0.00237537449722637
"177",0.301194211912202,0.00237729390070734
"178",0.316636769379053,0.00237931223110427
"179",0.33287108369808,0.00238143461448975
"180",0.349937749111156,0.0023836664453698
"181",0.367879441171442,0.00238601340102695
"182",0.386741023454502,0.00238848145665823
"183",0.406569659740599,0.00263396974866533
"184",0.427414931948727,0.00239380635497082
"185",0.449328964117222,0.00239667678594196
"186",0.472366552741015,0.00239969553009674
"187",0.49658530379141,0.0024028703105341
"188",0.522045776761016,0.00240620925862294
"189",0.548811636094027,0.00240972093619439
"190",0.576949810380487,0.00241341435899905
"191",0.606530659712633,0.00241729902150656
"192",0.637628151621774,0.00242138492312989
"193",0.67032004603564,0.00242568259596255
"194",0.704688089718714,0.00243020313412249
"195",0.740818220681719,0.00256109031616798
"196",0.778800783071405,0.00256685904439954
"197",0.818730753077982,0.00256870964697938
"198",0.860707976425059,0.00257065556157098
"199",0.90483741803596,0.00257270171979109
"200",0.951229424500715,0.00206747062520651
"201",1,0.00208799360548849
"202",1.01,0.00208322574834835
"203",1.02,0.00233156831300253
"204",1.03,0.00233188121771444
"205",1.04,0.00233219413552066
"206",1.05,0.00233250706641981
"207",1.06,0.00233282001041049
"208",1.07,0.0023331329674913
"209",1.08,0.00233344593766088
"210",1.09,0.00233375892091782
"211",1.1,0.00233407191726073
"212",1.11,0.00233438492668823
"213",1.12,0.00233469794919894
"214",1.13,0.00233501098479143
"215",1.14,0.00233532403346434
"216",1.15,0.00233563709521626
"217",1.16,0.00233595017004582
"218",1.17,0.00233626325795164
"219",1.18,0.00233657635893231
"220",1.19,0.00233688947298645
"221",1.2,0.00208872339035802
"222",1.21,0.00208901287057783
"223",1.22,0.00208930236385267
"224",1.23,0.00208959187018124
"225",1.24,0.00208988138956227
"226",1.25,0.00209017092199448
"227",1.26,0.00209046046747655
"228",1.27,0.00209075002600724
"229",1.28,0.00209103959758523
"230",1.29,0.00209132918220925
"231",1.3,0.00209161877987802
"232",1.31,0.00209190839059023
"233",1.32,0.00209219801434461
"234",1.33,0.00209248765113988
"235",1.34,0.00209277730097476
"236",1.35,0.00209306696384794
"237",1.36,0.00209335663975815
"238",1.37,0.00209364632870411
"239",1.38,0.00209393603068451
"240",1.39,0.0020942257456981
"241",1.4,0.00209451547374358
"242",1.41,0.00209480521481966
"243",1.42,0.00209509496892506
"244",1.43,0.00209538473605849
"245",1.44,0.00209567451621867
"246",1.45,0.00209596430940432
"247",1.46,0.00209625411561415
"248",1.47,0.00209654393484688
"249",1.48,0.0020968337671012
"250",1.49,0.00209712361237588
"251",1.5,0.00209741347066957
"252",1.51,0.00209770334198105
"253",1.52,0.002097993226309
"254",1.53,0.00209828312365213
"255",1.54,0.00209857303400917
"256",1.55,0.00209886295737885
"257",1.56,0.00209915289375985
"258",1.57,0.00209944284315093
"259",1.58,0.00209973280555078
"260",1.59,0.0021000227809581
"261",1.6,0.00210031276937163
"262",1.61,0.00210060277079011
"263",1.62,0.00210089278521222
"264",1.63,0.00210118281263668
"265",1.64,0.00210147285306221
"266",1.65,0.00210176290648755
"267",1.66,0.00210205297291138
"268",1.67,0.00210234305233244
"269",1.68,0.00210263314474946
"270",1.69,0.00210292325016113
"271",1.7,0.00210321336856617
"272",1.71,0.00210350349996332
"273",1.72,0.00210379364435128
"274",1.73,0.00210408380172876
"275",1.74,0.0021043739720945
"276",1.75,0.00210466415544722
"277",1.76,0.0021049543517856
"278",1.77,0.0021087393585065
"279",1.78,0.00210900922169179
"280",1.79,0.00210927909607618
"281",1.8,0.00210954898165863
"282",1.81,0.00210981887843809
"283",1.82,0.00211008878641357
"284",1.83,0.00211035870558402
"285",1.84,0.00211062863594842
"286",1.85,0.00211089857750573
"287",1.86,0.00211116853025495
"288",1.87,0.00229849230532473
"289",1.88,0.0022988434111857
"290",1.89,0.00229919453386891
"291",1.9,0.00229954567337235
"292",1.91,0.0021107304899891
"293",1.92,0.00211086850808857
"294",1.93,0.00211100652911376
"295",1.94,0.0023009503995484
"296",1.95,0.00230130162312295
"297",1.96,0.00236103840503731
"298",1.97,0.0023613525345482
"299",1.98,0.00211169667812104
"300",1.99,0.0021118347166978
"301",2,0.00211192295628033
"302",3,0.00291013992780938
"303",4,0.00306965540410675
"304",5,0.00306990577734725
"305",6,0.0030701561561307
"306",7,0.00307040654042203
"307",8,0.0030706569303262
"308",9,0.00307090732562851
"309",10,0.00307115772636965
"310",11,0.00307140813304779
"311",12,0.00307165854493663
"312",13,0.00307190896263548
"313",14,0.00307215938547649
"314",15,0.00307240981413074
"315",16,0.00307266024844923
"316",17,0.00307291068804669
"317",18,0.00307316113313572
"318",19,0.00307341158388659
"319",20,0.00307366204012068
"320",21,0.00307391250242817
"321",22,0.00307416296994711
"322",23,0.00307441344261266
"323",24,0.00307466392084624
"324",25,0.00307491440520616
"325",26,0.00307516489442377
"326",27,0.00307541538908091
"327",28,0.00307566588949972
"328",29,0.00307591639621573
"329",30,0.00307616690748911
"330",31,0.00307641742532758
"331",32,0.00307666794796471
"332",33,0.00307691847555992
"333",34,0.00307716900945564
"334",35,0.0030774195488339
"335",36,0.00307767009375959
"336",37,0.00307792064364316
"337",38,0.00307817120021627
"338",39,0.00307842176140774
"339",40,0.00307867232867771
"340",41,0.00307892290080475
"341",42,0.0030791734785931
