"","lambda","MSE"
"1",0.0000453999297624849,0.000572376312321919
"2",0.000047727633936802,0.00057237629872601
"3",0.0000501746820561753,0.000572376284433019
"4",0.0000527471930155139,0.000572376269407213
"5",0.0000554515994321769,0.000572376253611025
"6",0.0000582946637308688,0.000572376237004946
"7",0.0000612834950532221,0.00057237621954745
"8",0.0000644255670343554,0.000572376201194894
"9",0.0000677287364908539,0.000572376181901379
"10",0.0000712012630669027,0.000572376161618664
"11",0.0000748518298877006,0.000572376140296039
"12",0.0000786895652717947,0.000572376117880175
"13",0.0000827240655566322,0.000572376094315025
"14",0.0000869654190944029,0.000572376069541661
"15",0.0000914242314781733,0.000572376043498153
"16",0.0000961116520613947,0.000572376016119357
"17",0.000101039401837093,0.00057237598733682
"18",0.000106219802746459,0.000572375957078567
"19",0.000111665808490115,0.000572375925268953
"20",0.000117391036919118,0.000572375891828422
"21",0.00012340980408668,0.000572375856673357
"22",0.000129737160045754,0.000572375819715857
"23",0.000136388926482011,0.000572375780863502
"24",0.000143381736276293,0.000572375740019146
"25",0.000150733075095477,0.000572375697080663
"26",0.000158461325115751,0.000572375651940672
"27",0.000166585810987634,0.000572375604486308
"28",0.000175126848157658,0.000572375554598911
"29",0.000184105793667579,0.000572375502153724
"30",0.000193545099558094,0.000572375447019628
"31",0.000203468369010644,0.000572375389058747
"32",0.000213900415367661,0.000572375328126147
"33",0.000224867324178848,0.00057237526406947
"34",0.000236396518428641,0.000572375196728543
"35",0.000248516827107952,0.000572375125934975
"36",0.000261258557301668,0.00057237505151175
"37",0.000274653569972143,0.000572374973272764
"38",0.000288735359628203,0.000572374891022385
"39",0.000303539138078867,0.000572374804554947
"40",0.000319101922481203,0.000572374713654233
"41",0.000335462627902512,0.000572374618092949
"42",0.000352662164628256,0.000572374517632141
"43",0.000370743540459088,0.000572374412020602
"44",0.000389751968252755,0.000572374300994252
"45",0.000409734978979787,0.000572374184275473
"46",0.000430742540575688,0.000572374061572404
"47",0.000452827182886797,0.000572373932578226
"48",0.000476044129022269,0.000572373796970385
"49",0.000500451433440611,0.000572373654409801
"50",0.000526110127116064,0.000572373504539995
"51",0.000553084370147834,0.000572373346986216
"52",0.000581441612193756,0.000572373181354503
"53",0.000611252761129572,0.000572373007230695
"54",0.000642592360355558,0.000572372824179396
"55",0.000675538775193844,0.000572372631742874
"56",0.000710174388842549,0.00057237242943996
"57",0.00074658580837668,0.000572372216764777
"58",0.000784864081310932,0.000572371993185549
"59",0.000825104923265905,0.000572371758143206
"60",0.000867408957307003,0.000572371511050035
"61",0.000911881965554516,0.000572371251288168
"62",0.000958635153694021,0.000572370978208084
"63",0.00100778542904851,0.000572370691126949
"64",0.00105945569290761,0.000572370389326911
"65",0.0011137751478448,0.000572370072053331
"66",0.00117087962079117,0.000572369738512864
"67",0.00123091190267348,0.000572369387871504
"68",0.00129402210546585,0.000572369019252482
"69",0.00136036803754789,0.000572368631734063
"70",0.00143011559830787,0.000572368224347271
"71",0.00150343919297757,0.000572367796073448
"72",0.00158052216873622,0.000572367345841713
"73",0.00166155727317393,0.00057236687252626
"74",0.00174674713626112,0.000572366374943588
"75",0.00183630477702891,0.000572365851849508
"76",0.00193045413622771,0.000572365301936044
"77",0.00202943063629574,0.000572364723828163
"78",0.00213348177003771,0.000572364116080324
"79",0.0022428677194858,0.000572363477172889
"80",0.00235786200649023,0.000572362805508298
"81",0.00247875217666636,0.000572362099407097
"82",0.0026058405184085,0.000572361357103711
"83",0.00273944481876837,0.000572360576742071
