"","lambda","MSE"
"1",0.0000453999297624849,0.00334737161549111
"2",0.000047727633936802,0.00334737267139459
"3",0.0000501746820561753,0.00334737378143547
"4",0.0000527471930155139,0.00334737494838959
"5",0.0000554515994321769,0.0033473761751748
"6",0.0000582946637308688,0.0033473774648588
"7",0.0000612834950532221,0.0033473788206665
"8",0.0000644255670343554,0.00334738024598813
"9",0.0000677287364908539,0.00334738174438781
"10",0.0000712012630669027,0.00334738331961227
"11",0.0000748518298877006,0.00334738497560051
"12",0.0000786895652717947,0.00334738671649339
"13",0.0000827240655566322,0.00334738854664406
"14",0.0000869654190944029,0.0033473904706289
"15",0.0000914242314781733,0.00334739249325895
"16",0.0000961116520613947,0.00334739461959187
"17",0.000101039401837093,0.00334739685494473
"18",0.000106219802746459,0.0033473992049071
"19",0.000111665808490115,0.00334740167535521
"20",0.000117391036919118,0.0033474042724665
"21",0.00012340980408668,0.00334740700273529
"22",0.000129737160045754,0.00334740987298873
"23",0.000136388926482011,0.0033474128904041
"24",0.000143381736276293,0.00334741606252665
"25",0.000150733075095477,0.0033474193972884
"26",0.000158461325115751,0.00334742290302821
"27",0.000166585810987634,0.00334742658851252
"28",0.000175126848157658,0.00334743046295703
"29",0.000184105793667579,0.00334743453605014
"30",0.000193545099558094,0.00334743881797699
"31",0.000203468369010644,0.00334744331944483
"32",0.000213900415367661,0.00334744805171002
"33",0.000224867324178848,0.00334745302660601
"34",0.000236396518428641,0.003347458256573
"35",0.000248516827107952,0.003347463754689
"36",0.000261258557301668,0.00334746953470263
"37",0.000274653569972143,0.00334747561106742
"38",0.000288735359628203,0.00334748199897802
"39",0.000303539138078867,0.00334748871440812
"40",0.000319101922481203,0.00334749577415042
"41",0.000335462627902512,0.00334750319585874
"42",0.000352662164628256,0.00334751099809198
"43",0.000370743540459088,0.00334751920036076
"44",0.000389751968252755,0.00334752782317591
"45",0.000409734978979787,0.00334753688810015
"46",0.000430742540575688,0.00334754641780166
"47",0.000452827182886797,0.00334755643611102
"48",0.000476044129022269,0.00334756696808068
"49",0.000500451433440611,0.00334757804004773
"50",0.000526110127116064,0.0033475896796996
"51",0.000553084370147834,0.0033476019161435
"52",0.000581441612193756,0.00334761477997915
"53",0.000611252761129572,0.00334762830337525
"54",0.000642592360355558,0.00334764252015005
"55",0.000675538775193844,0.0033476574658558
"56",0.000710174388842549,0.00334767317786789
"57",0.00074658580837668,0.0033476896954782
