"","lambda","MSE"
"1",0.0000453999297624849,0.00309282659768699
"2",0.000047727633936802,0.00309282722827904
"3",0.0000501746820561753,0.00309282789120224
"4",0.0000527471930155139,0.00309282858811431
"5",0.0000554515994321769,0.00309282932075788
"6",0.0000582946637308688,0.00309283009096494
"7",0.0000612834950532221,0.00309283090066139
"8",0.0000644255670343554,0.00309283175187197
"9",0.0000677287364908539,0.00309283264672511
"10",0.0000712012630669027,0.00309283358745841
"11",0.0000748518298877006,0.00309283457642424
"12",0.0000786895652717947,0.00309283561609551
"13",0.0000827240655566322,0.00309283670907199
"14",0.0000869654190944029,0.0030928378580867
"15",0.0000914242314781733,0.00309283906601275
"16",0.0000961116520613947,0.00309284033587067
"17",0.000101039401837093,0.00309284167083575
"18",0.000106219802746459,0.00309284307424611
"19",0.000111665808490115,0.00309284454961107
"20",0.000117391036919118,0.00309284610061982
"21",0.00012340980408668,0.00309284773115072
"22",0.000129737160045754,0.00309284944528099
"23",0.000136388926482011,0.00309285124729688
"24",0.000143381736276293,0.00309285314170445
"25",0.000150733075095477,0.00309285513324069
"26",0.000158461325115751,0.00309285722688559
"27",0.000166585810987634,0.00309285942787438
"28",0.000175126848157658,0.00309286174171074
"29",0.000184105793667579,0.00309286417418057
"30",0.000193545099558094,0.00309286673136639
"31",0.000203468369010644,0.00309286941966255
"32",0.000213900415367661,0.00309287224579133
"33",0.000224867324178848,0.00309287521681962
"34",0.000236396518428641,0.00309287834017663
"35",0.000248516827107952,0.00309288162367255
"36",0.000261258557301668,0.00309288507551797
"37",0.000274653569972143,0.00309288870434447
"38",0.000288735359628203,0.00309289251922616
"39",0.000303539138078867,0.00309289652970246
"40",0.000319101922481203,0.00309290074580185
"41",0.000335462627902512,0.00309290517806704
"42",0.000352662164628256,0.00309290983758125
"43",0.000370743540459088,0.00309291473599599
"44",0.000389751968252755,0.00309291988556021
"45",0.000409734978979787,0.0030929252991508
"46",0.000430742540575688,0.00309293099030502
"47",0.000452827182886797,0.00309293697325415
"48",0.000476044129022269,0.00309294326295915
"49",0.000500451433440611,0.00309294987514812
"50",0.000526110127116064,0.00309295682635557
"51",0.000553084370147834,0.00309296413396379
"52",0.000581441612193756,0.00309297181624634
"53",0.000611252761129572,0.00309297989241378
"54",0.000642592360355558,0.00309298838266155
"55",0.000675538775193844,0.00309299730822076
"56",0.000710174388842549,0.00309300669141098
"57",0.00074658580837668,0.00309301655569631
"58",0.000784864081310932,0.00309302692574396
"59",0.000825104923265905,0.00309303782748588
"60",0.000867408957307003,0.00309304928818375
"61",0.000911881965554516,0.00309306133649707
"62",0.000958635153694021,0.00309307400255491
"63",0.00100778542904851,0.0030930873180312
"64",0.00105945569290761,0.00309310131622402
"65",0.0011137751478448,0.00309311603213876
"66",0.00117087962079117,0.0030931315025759
"67",0.00123091190267348,0.00309314776622284
"68",0.00129402210546585,0.00309316486375083
"69",0.00136036803754789,0.00309318283791653
"70",0.00143011559830787,0.00309320173366922
"71",0.00150343919297757,0.00309322159826296
"72",0.00158052216873622,0.00309324248137502
"73",0.00166155727317393,0.00309326443523
"74",0.00174674713626112,0.00309328751473057
"75",0.00183630477702891,0.00309331177759484
