"","lambda","MSE"
"1",0.0000453999297624849,0.000605530130360703
"2",0.000047727633936802,0.000605530343280879
"3",0.0000501746820561753,0.000605530567117746
"4",0.0000527471930155139,0.00060553080243103
"5",0.0000554515994321769,0.00060553104980915
"6",0.0000582946637308688,0.000605531309870676
"7",0.0000612834950532221,0.000605531583265904
"8",0.0000644255670343554,0.000605531870678496
"9",0.0000677287364908539,0.000605532172827127
"10",0.0000712012630669027,0.000605532490467348
"11",0.0000748518298877006,0.000605532824393435
"12",0.0000786895652717947,0.000605533175440399
"13",0.0000827240655566322,0.000605533544486061
"14",0.0000869654190944029,0.000605533932453226
"15",0.0000914242314781733,0.000605534340312046
"16",0.0000961116520613947,0.000605534769082431
"17",0.000101039401837093,0.000605535219836521
"18",0.000106219802746459,0.000605535693701488
"19",0.000111665808490115,0.000605536191862261
"20",0.000117391036919118,0.000605536715564547
"21",0.00012340980408668,0.000605537266117917
"22",0.000129737160045754,0.000605537844899069
"23",0.000136388926482011,0.000605538453355321
"24",0.000143381736276293,0.000605539093008184
"25",0.000150733075095477,0.000605539765457172
"26",0.000158461325115751,0.000605540472383841
"27",0.000166585810987634,0.00060554121555593
"28",0.000175126848157658,0.000605541996831847
"29",0.000184105793667579,0.000605542818165286
"30",0.000193545099558094,0.000605543681610081
"31",0.000203468369010644,0.000605544589325441
"32",0.000213900415367661,0.000605545543581211
"33",0.000224867324178848,0.000605546546763682
"34",0.000236396518428641,0.000605547601381467
"35",0.000248516827107952,0.000605548710071826
"36",0.000261258557301668,0.000605549875607256
"37",0.000274653569972143,0.000605551100902387
"38",0.000288735359628203,0.000605552389021306
"39",0.000303539138078867,0.000605553743185247
"40",0.000319101922481203,0.000605555166780574
"41",0.000335462627902512,0.000605556663367328
"42",0.000352662164628256,0.00060555823668806
"43",0.000370743540459088,0.000605559890677281
"44",0.000389751968252755,0.000605561629471204
"45",0.000409734978979787,0.000605563457418168
"46",0.000430742540575688,0.000605565379089478
"47",0.000452827182886797,0.000605567399290858
"48",0.000476044129022269,0.000605569523074454
"49",0.000500451433440611,0.000605571755751502
"50",0.000526110127116064,0.000605574102905563
"51",0.000553084370147834,0.000605576570406571
"52",0.000581441612193756,0.000605579164425454
"53",0.000611252761129572,0.000605581891449572
"54",0.000642592360355558,0.000605584758299003
"55",0.000675538775193844,0.000605587772143564
"56",0.000710174388842549,0.000605590940520775
"57",0.00074658580837668,0.000605594271354677
"58",0.000784864081310932,0.000605597772975721
"59",0.000825104923265905,0.000605601454141565
"60",0.000867408957307003,0.000605605324059032
"61",0.000911881965554516,0.000605609392407109
"62",0.000958635153694021,0.000605613669361206
"63",0.00100778542904851,0.000605618165618613
"64",0.00105945569290761,0.000605622892425254
"65",0.0011137751478448,0.000605627861603892
"66",0.00117087962079117,0.000605633085583644
"67",0.00123091190267348,0.000605638577431184
"68",0.00129402210546585,0.000605644350883386
"69",0.00136036803754789,0.000605650420381755
"70",0.00143011559830787,0.000605656801108585
"71",0.00150343919297757,0.000605663509024963
"72",0.00158052216873622,0.000605670560910745
"73",0.00166155727317393,0.000605677974406569
"74",0.00174674713626112,0.000605685768058074
"75",0.00183630477702891,0.000605693961362312
"76",0.00193045413622771,0.000605702574816621
"77",0.00202943063629574,0.000605711629969949
"78",0.00213348177003771,0.000605721149476878
"79",0.0022428677194858,0.000605731157154354
"80",0.00235786200649023,0.000605741678041422
"81",0.00247875217666636,0.000605752738461934
"82",0.0026058405184085,0.000605764366090572
"83",0.00273944481876837,0.000605776590022204
"84",0.00287989915808824,0.00060578944084483
"85",0.00302755474537582,0.000605802950716328
"86",0.00318278079650967,0.000605817153445067
"87",0.00334596545747127,0.000605832084574695
"88",0.00351751677491213,0.000605847781473392
"89",0.00369786371648293,0.000605864283427525
"90",0.00388745724347613,0.000605881631740351
"91",0.00408677143846407,0.000605899869835613
"92",0.00429630469075234,0.00060591904336663
"93",0.00451658094261267,0.000605939200330859
"94",0.00474815099941148,0.000605960391190534
"95",0.00499159390691022,0.00060598266899939
"96",0.00524751839918138,0.000606006089535995
"97",0.00551656442076078,0.000606030711443964
"98",0.00579940472684215,0.000606056596379371
"99",0.00609674656551564,0.00060608380916584
"100",0.00640933344625638,0.000606112417957578
"101",0.00673794699908547,0.000776544655243188
"102",0.00708340892905213,0.000776552131733828
"103",0.00744658307092434,0.000776559991598774
"104",0.00782837754922577,0.000776568254498947
"105",0.00822974704902003,0.000776576941103788
