"","lambda","MSE"
"1",0.01,0.00384039511192025
"2",0.02,0.00383834385993116
"3",0.03,0.00424559521246864
"4",0.04,0.0040663542694238
"5",0.05,0.00406615906674768
"6",0.06,0.00406596386625627
"7",0.07,0.00406576866794976
"8",0.08,0.00406557347182826
"9",0.09,0.00406537827789197
"10",0.1,0.00406518308614098
"11",0.11,0.00423748977369869
"12",0.12,0.0042371766893267
"13",0.13,0.00423686361014874
"14",0.14,0.00423655053616538
"15",0.15,0.00423623746737723
"16",0.16,0.00423592440378483
"17",0.17,0.00423561134538876
"18",0.18,0.00423529829218962
"19",0.19,0.004234985244188
"20",0.2,0.00423467220138441
"21",0.21,0.00423435916377949
"22",0.22,0.00423404613137379
"23",0.23,0.0042337331041679
"24",0.24,0.00423342008216238
"25",0.25,0.00423310706535782
"26",0.26,0.0042327940537548
"27",0.27,0.00423248104735388
"28",0.28,0.00423216804615564
"29",0.29,0.00423185505016068
"30",0.3,0.00423154205936955
"31",0.31,0.00423122907378284
"32",0.32,0.00423091609340112
"33",0.33,0.00423060311822499
"34",0.34,0.004230290148255
"35",0.35,0.00422997718349173
"36",0.36,0.00422966422393578
"37",0.37,0.00422935126958769
"38",0.38,0.00422903832044807
"39",0.39,0.0042287253765175
"40",0.4,0.00422841243779653
"41",0.41,0.00422809950428576
"42",0.42,0.00422778657598575
"43",0.43,0.00422747365289708
"44",0.44,0.00422716073502034
"45",0.45,0.00422684782235611
"46",0.46,0.00422653491490495
"47",0.47,0.00422622201266746
"48",0.48,0.00422590911564419
"49",0.49,0.00422559622383573
"50",0.5,0.00422528333724268
"51",0.51,0.00422497045586558
"52",0.52,0.00422465757970501
"53",0.53,0.00422434470876159
"54",0.54,0.00422403184303586
"55",0.55,0.00422371898252841
"56",0.56,0.00422340612723983
"57",0.57,0.00422309327717066
"58",0.58,0.00422278043232151
"59",0.59,0.00422246759269297
"60",0.6,0.00422215475828558
"61",0.61,0.00422184192909993
"62",0.62,0.00422152910513662
"63",0.63,0.00422121628639621
"64",0.64,0.00422090347287928
"65",0.65,0.0042205906645864
