"","lambda","MSE"
"1",0.01,0.00281766438319366
"2",0.02,0.00281926029163819
"3",0.03,0.00282085645765656
"4",0.04,0.00282245288110748
"5",0.05,0.00282404956184978
"6",0.06,0.00282564649974225
"7",0.07,0.00282724369464379
"8",0.08,0.00282884114641329
"9",0.09,0.00212781053789248
"10",0.1,0.0021279637482487
"11",0.11,0.00212811696217064
"12",0.12,0.00212827017965813
"13",0.13,0.00246884160217499
"14",0.14,0.00212857662532897
"15",0.15,0.00212872985351196
"16",0.16,0.00276739451367968
"17",0.17,0.00276740218880893
"18",0.18,0.00276740986394432
"19",0.19,0.00276741753908584
"20",0.2,0.0027674252142335
"21",0.21,0.00276743288938727
"22",0.22,0.00267670480315613
"23",0.23,0.00267715069699866
"24",0.24,0.00257745619176259
"25",0.25,0.00263090086013601
"26",0.26,0.00263109683641808
"27",0.27,0.00263129281701157
"28",0.28,0.00237452469630458
"29",0.29,0.00237583115708829
"30",0.3,0.00237713784019795
"31",0.31,0.00237844474553492
"32",0.32,0.00237975187300066
"33",0.33,0.0023810592224966
"34",0.34,0.00238236679392423
"35",0.35,0.00238367458718505
"36",0.36,0.0023849826021806
"37",0.37,0.0023862908388124
"38",0.38,0.00238759929698207
"39",0.39,0.00238890797659119
"40",0.4,0.00239021687754144
"41",0.41,0.00263403699785776
"42",0.42,0.00263423304308791
"43",0.43,0.00239414490745545
"44",0.44,0.00239545469278692
"45",0.45,0.00239676469896807
"46",0.46,0.00239807492590067
"47",0.47,0.00239938537348653
"48",0.48,0.00240069604162749
"49",0.49,0.00240200693022543
"50",0.5,0.00240331803918224
"51",0.51,0.00240462936839984
"52",0.52,0.00240594091778018
"53",0.53,0.00240725268722522
"54",0.54,0.00240856467663699
"55",0.55,0.00240987688591747
"56",0.56,0.00241118931496875
"57",0.57,0.00241250196369288
"58",0.58,0.00241381483199197
"59",0.59,0.00241512791976815
"60",0.6,0.00241644122692358
"61",0.61,0.00241775475336042
"62",0.62,0.0024190684989809
"63",0.63,0.00242038246368724
"64",0.64,0.00242169664738169
"65",0.65,0.00242301104996655
"66",0.66,0.00242432567134411
"67",0.67,0.00242564051141674
"68",0.68,0.00242695557008676
"69",0.69,0.00263952789133143
"70",0.7,0.00263972405704331
"71",0.71,0.00243090205670531
"72",0.72,0.00243221798878911
"73",0.73,0.00243353413898251
"74",0.74,0.00256096280672359
"75",0.75,0.00256252131169575
"76",0.76,0.00256408010024202
"77",0.77,0.00256563917221192
"78",0.78,0.00256691461774758
"79",0.79,0.00256737804538703
"80",0.8,0.00256784149802697
"81",0.81,0.00256830497566346
"82",0.82,0.00256876847829255
"83",0.83,0.00256923200591029
"84",0.84,0.00256969555851275
"85",0.85,0.00257015913609597
"86",0.86,0.00257062273865601
"87",0.87,0.00257108636618894
"88",0.88,0.00257155001869081
"89",0.89,0.00257201369615767
"90",0.9,0.00257247739858558
"91",0.91,0.00257294112597061
"92",0.92,0.00206618257246676
"93",0.93,0.00206659499236418
"94",0.94,0.00206700743915205
"95",0.95,0.0020674199128266
"96",0.96,0.00206783241338407
"97",0.97,0.00206824494082067
"98",0.98,0.00233031682512591
"99",0.99,0.00233062967744664
"100",1,0.00208799360548849
"101",1.01,0.00208322574834835
"102",1.02,0.00233156831300253
"103",1.03,0.00233188121771444
"104",1.04,0.00233219413552066
"105",1.05,0.00233250706641981
"106",1.06,0.00233282001041049
"107",1.07,0.0023331329674913
"108",1.08,0.00233344593766088
"109",1.09,0.00233375892091782
"110",1.1,0.00233407191726073
"111",1.11,0.00233438492668823
"112",1.12,0.00233469794919894
"113",1.13,0.00233501098479143
"114",1.14,0.00233532403346434
"115",1.15,0.00233563709521626
"116",1.16,0.00233595017004582
"117",1.17,0.00233626325795164
"118",1.18,0.00233657635893231
"119",1.19,0.00233688947298645
"120",1.2,0.00208872339035802
"121",1.21,0.00208901287057783
"122",1.22,0.00208930236385267
"123",1.23,0.00208959187018124
"124",1.24,0.00208988138956227
"125",1.25,0.00209017092199448
"126",1.26,0.00209046046747655
"127",1.27,0.00209075002600724
"128",1.28,0.00209103959758523
"129",1.29,0.00209132918220925
"130",1.3,0.00209161877987802
"131",1.31,0.00209190839059023
"132",1.32,0.00209219801434461
"133",1.33,0.00209248765113988
"134",1.34,0.00209277730097476
"135",1.35,0.00209306696384794
"136",1.36,0.00209335663975815
"137",1.37,0.00209364632870411
"138",1.38,0.00209393603068451
"139",1.39,0.0020942257456981
"140",1.4,0.00209451547374358
"141",1.41,0.00209480521481966
"142",1.42,0.00209509496892506
"143",1.43,0.00209538473605849
"144",1.44,0.00209567451621867
"145",1.45,0.00209596430940432
"146",1.46,0.00209625411561415
"147",1.47,0.00209654393484688
"148",1.48,0.0020968337671012
"149",1.49,0.00209712361237588
"150",1.5,0.00209741347066957
"151",1.51,0.00209770334198105
