,lr_lnSE
0,-10.254563639569914
1,-6.098196823160885
2,-6.051127125822606
3,-4.104104045905511
4,-6.005193729099191
5,-6.505512881205522
6,-6.595724592350982
7,-6.734500170160974
8,-10.2749241955208
9,-12.21384680213436
10,-8.917988748553212
11,-6.8318600409403745
12,-13.037016110643611
13,-14.379797098834759
14,-8.109715296388204
15,-8.691236410023073
16,-6.867540993315801
17,-11.077603849320628
18,-6.42212775140784
19,-10.932408961821821
20,-3.102471535407792
21,-5.408939226752614
22,-5.694450790117401
23,-7.634952401692133
24,-8.777808581364111
25,-6.207421014738649
26,-5.626977528607207
27,-7.990636794066699
28,-7.014518233032833
29,-12.692060200507989
30,-8.771313182370633
31,-8.766455351071418
32,-6.606360919907585
33,-11.326014850367212
34,-7.9402435059513845
35,-7.533757827298597
36,-7.826504355055075
37,-5.657545333473897
38,-6.522953072938938
39,-11.057379886333987
40,-8.264058622285075
41,-7.479283702498329
42,-9.095484383222251
43,-6.162158215484048
44,-7.687701858413099
45,-8.487074412249054
46,-7.394309627989321
47,-8.388215667243644
48,-10.696191531985207
49,-8.040506502371148
50,-11.025592110109917
51,-11.367044023580531
52,-7.488679798834843
53,-7.365442258158602
54,-14.613109208568778
55,-8.485541949415897
56,-7.406871836793169
57,-9.479467036531114
58,-9.631220168200352
59,-11.27332389955526
60,-5.9965051690546645
61,-6.972498843734872
62,-11.863020063050865
63,-9.750070760149475
64,-10.500246629050958
65,-12.246972376525743
66,-11.19079470599985
67,-10.902306746248513
68,-7.65181675093215
69,-5.872432112778892
70,-6.168061449127137
71,-10.599400303535097
72,-14.123089946061832
73,-8.913775047924535
74,-9.456473858662116
75,-8.16834865834561
76,-9.39858174499012
77,-6.602523454274986
78,-7.89141607596153
79,-6.233213192215089
80,-9.339879097955405
81,-8.329209985128209
82,-9.3096212477256
83,-11.784447743558246
84,-8.41118916055743
85,-7.270409996538876
86,-8.687779398575449
87,-7.599285367607067
88,-12.877770263448248
89,-8.37696037110821
90,-9.419518764411317
91,-13.134294008765593
92,-9.740403809940943
93,-7.916748098982782
94,-12.003758870121322
95,-13.799908127109594
96,-9.711295536016982
97,-10.105443585403812
98,-7.5932481118035655
99,-10.021794051772636
100,-9.207617336035296
101,-6.922709305507357
102,-9.006126336431679
103,-10.132235388165963
104,-8.429039730152368
105,-16.0401687144878
106,-10.125746156368718
107,-8.945232324809812
108,-10.398481195708268
109,-8.249068175327274
110,-11.421497873259886
111,-7.875140367666195
112,-8.066812672760836
113,-8.577448728418384
114,-8.154636268507318
115,-12.06303360011532
116,-7.588201951558938
117,-8.057204165857586
118,-11.461584197047042
119,-8.050891059553553
120,-9.399206443866534
121,-10.604226295156398
122,-8.170618159961919
123,-15.744232396007204
124,-9.279639874747856
125,-9.04967073688005
126,-8.045761943703738
127,-12.359446429251575
128,-7.4818760908031745
129,-5.877462037287994
130,-7.438292599109056
131,-8.583207441603212
132,-11.435898576795303
133,-9.069064460377385
134,-13.074544806299377
135,-8.408500059124114
136,-8.042893237671455
137,-9.859724668180665
138,-9.035512190434236
139,-9.061843893866754
140,-9.437742178056235
141,-9.052980228991832
142,-7.843065504145693
143,-8.398051604625412
144,-11.183720248520403
145,-8.11780663083045
146,-7.836855865824768
147,-6.982724507733362
148,-7.772355486570131
149,-8.837169535407925
150,-9.721479936089391
151,-9.216008896396422
152,-6.780086195618809
153,-8.467099457765773
154,-8.94057935826908
155,-13.50752373447183
156,-6.330605629039975
157,-6.478254301031848
158,-7.820722529224392
159,-11.316446804020318
160,-7.368993077575236
161,-8.159380339611467
162,-9.7270056689429
163,-8.963501288946775
164,-6.90239624055693
165,-8.70523296973272
166,-10.828553096599858
167,-7.216783909566267
168,-8.095412387550377
169,-8.105395456532355
170,-7.495317240412444
171,-11.20576464839109
172,-6.261490960297946
173,-6.830846684691907
174,-7.305570218386106
175,-7.888359811891268
176,-7.243919032155306
177,-9.869776094422498
178,-9.085955991043576
179,-12.889760908553107
180,-14.368497773252281
181,-8.249750705759023
182,-8.9031023344796
183,-7.7225047151982364
184,-11.893876170734234
185,-9.69791884362252
186,-9.028165606187873
187,-9.636133964590103
188,-11.90053898615572
189,-8.336024281079188
190,-8.395875871942854
191,-12.693447587102472
192,-12.009761771295798
193,-7.212113298904865
194,-10.076856276621001
195,-6.925596141612875
196,-6.816227281700078
197,-6.13074704575019
198,-7.350250003680575
199,-8.513942519010646
200,-9.019814899283839
201,-13.753708964191684
202,-11.091118555954784
203,-8.678837836752157
204,-9.022851365922275
205,-9.093592966506165
206,-10.508640939357827
