,brr1_lnSE
0,-10.347774864941796
1,-6.173090306642616
2,-6.021775655677076
3,-4.108397402830831
4,-6.069776957224216
5,-6.62561530565876
6,-6.526592679815668
7,-7.045127929283111
8,-8.543350634254086
9,-9.511376465102357
10,-9.263019058833727
11,-7.592029519218037
12,-10.113321652035992
13,-12.631828685581128
14,-8.268982164599379
15,-8.827016804482339
16,-6.716830735116393
17,-10.45356941649721
18,-6.392701666572644
19,-12.137791504816729
20,-3.084985254584119
21,-5.41340227798085
22,-5.692428433236406
23,-7.444430814102145
24,-8.185970675461137
25,-6.018776194559683
26,-5.73664548210322
27,-7.530792377628319
28,-7.870947737219176
29,-9.571667914314125
30,-8.585521530118138
31,-8.663510475146563
32,-6.3704321903455075
33,-15.56624239066958
34,-7.991756393440525
35,-7.382014749799899
36,-7.945691984005384
37,-5.722165713870166
38,-6.654883178132605
39,-11.912969838998492
40,-8.132738491514877
41,-7.408307103572675
42,-9.82053208398302
43,-6.405350770911247
44,-7.439868572167131
45,-8.662321655181039
46,-7.82548207286611
47,-9.037066722795448
48,-10.688941160495137
49,-8.323174650935842
50,-10.160836484414977
51,-9.573622473944912
52,-7.866860550797703
53,-7.25881849326211
54,-16.864141090316974
55,-8.301325425964404
56,-7.4646521956023
57,-9.368701614432064
58,-9.369536237218554
59,-11.48831991725888
60,-5.983471548549817
61,-6.942983215470156
62,-11.637170037794595
63,-9.621896783046553
64,-10.347706591854466
65,-10.825112499775223
66,-15.288419054539352
67,-11.144605350487323
68,-7.6829196930694215
69,-5.886859223231884
70,-6.121461856383944
71,-10.427479140188382
72,-13.172250409153317
73,-8.856761698433816
74,-9.434294459596837
75,-8.276849944890579
76,-9.082988819461383
77,-6.670745228274514
78,-7.86628487213187
79,-6.28484299534176
80,-8.989979371234668
81,-8.09697908289068
82,-9.241157081276674
83,-10.662557685633903
84,-8.585584925107593
85,-7.435997361930098
86,-8.452914319937278
87,-7.6719656153074265
88,-14.809933584022057
89,-8.432026518304168
90,-9.62517698616373
91,-11.642878960586035
92,-9.743157957326037
93,-8.008945570644608
94,-12.445319768653361
95,-13.260614976244042
96,-10.254346317947123
97,-10.08709464969685
98,-7.692418560880564
99,-9.761801774625003
100,-9.126575262286291
101,-6.994074677074869
102,-8.812143066286769
103,-10.171385930690962
104,-8.520076025734957
105,-14.006428356370208
106,-10.631700662608651
107,-8.60099774985719
108,-10.298981146265437
109,-8.150284082748316
110,-12.19524891327152
111,-7.816359131526471
112,-7.942361738062165
113,-8.526805390770043
114,-8.162520947203609
115,-11.550003944987223
116,-7.5892990990257605
117,-8.241653039544651
118,-12.683761594979776
119,-8.011115647498858
120,-8.93284780930876
121,-11.707003182805847
122,-8.031768748076242
123,-13.546305927743266
124,-9.0477431925018
125,-9.316896255195358
126,-8.070481119312443
127,-11.877901757726253
128,-7.453887855406892
129,-5.896210398423686
130,-7.3555865832186855
131,-8.574948031280803
132,-11.962304436824253
133,-9.007781635054187
134,-12.421618273411836
135,-8.828761921836906
136,-8.150535860516268
137,-9.976917014332285
138,-8.91386437776468
139,-9.693106748227745
140,-10.225268264186225
141,-9.622575456027336
142,-8.062788978601889
143,-8.30868281181985
144,-11.097475482783562
145,-8.304609613124793
146,-8.12883086548417
147,-6.807938637069969
148,-7.6291686615086665
149,-8.807399582940496
150,-9.643942523022659
151,-9.437730423244265
152,-6.839931458507941
153,-8.730539048529394
154,-8.690899079685522
155,-11.431586407509139
156,-6.537969870277077
157,-6.2725546368298835
158,-7.586538910304787
159,-11.484195151919863
160,-7.3874885771071
161,-8.18052268643518
162,-9.73979459856089
163,-8.53487900630606
164,-7.125659529220734
165,-8.492253883312328
166,-10.444656619340394
167,-7.2842104017786875
168,-8.085365675911895
169,-8.195566628913722
170,-7.521912142567527
171,-11.340693180787056
172,-6.265158415383713
173,-6.914355046039474
174,-7.379837053410615
175,-7.7938224805482355
176,-7.287089581216433
177,-9.605073255390504
178,-8.835086514064642
179,-11.852766416508217
180,-11.348733638467174
181,-8.111836562243528
182,-8.4671673500085
183,-7.516417672750871
184,-12.397026222733514
185,-9.611881651558546
186,-8.830410538601411
187,-9.392806086213453
188,-11.455574765142087
189,-8.127775031812504
190,-8.3267700224042
191,-13.74961045764357
192,-12.902081143981407
193,-7.120062180549316
194,-9.471041039647968
195,-7.119077851250286
196,-6.976763444644747
197,-6.096966992470124
198,-7.392530471241251
199,-8.684535225773478
200,-9.022157661449205
201,-14.425611755894334
202,-10.657373392981986
203,-9.16959277014557
204,-9.778082377359295
205,-9.377000969773574
206,-10.322389854120159
207,-9.641786400803271
208,-9.325288328587748
209,-12.354737633668032
210,-6.769927083528944
211,-17.35168222474055
212,-9.398673982300293
213,-15.877841141130643
214,-7.983022010054207
215,-8.200092680835418
216,-12.111872214589848
217,-6.761818309111365
218,-8.971914024913302
219,-12.453650382879657
220,-15.042758818235253
221,-12.386018206732796
222,-7.779576404809243
