"","lambda","MSE"
"1",0.01,0.0000827523985877253
"2",0.06,0.000085575150794165
"3",0.11,0.000087776262603961
"4",0.16,0.0000895239437277876
"5",0.21,0.0000905795119838037
"6",0.26,0.0000907407942365493
"7",0.31,0.0000911431457685472
"8",0.36,0.0000917645764401713
"9",0.41,0.0000923879442530149
"10",0.46,0.0000930246488384027
"11",0.51,0.0000963293336610911
"12",0.56,0.000100157886863719
"13",0.61,0.000102966798506115
"14",0.66,0.000105661834290631
"15",0.71,0.000106368992896172
"16",0.76,0.000106554365202562
"17",0.81,0.000106739884489425
"18",0.86,0.000106925550720308
"19",0.91,0.000107203689703269
"20",0.96,0.000107538416671511
"21",1.01,0.000107873618556143
"22",1.06,0.000108209295145245
"23",1.11,0.000108545446226953
"24",1.16,0.000108882071589487
"25",1.21,0.000109219171021132
"26",1.26,0.00010955674431024
"27",1.31,0.000109894791245237
"28",1.36,0.00011023331161462
"29",1.41,0.000110572305206953
"30",1.46,0.000110911771810872
"31",1.51,0.00011125171121508
"32",1.56,0.000111592123208356
"33",1.61,0.000111933007579545
"34",1.66,0.000112274364117562
"35",1.71,0.000112616192611391
"36",1.76,0.00011295849285009
"37",1.81,0.000113301264622781
"38",1.86,0.000113644507718665
"39",1.91,0.000113988221927002
"40",1.96,0.000114332407037132
"41",3,0.000108086491735167
"42",4,0.000097237704306715
"43",5,0.0000942841905097744
"44",6,0.0000908976583627094
"45",7,0.0000875680812802792
"46",8,0.0000842957333400905
"47",9,0.0000810808896032535
"48",10,0.0000779238261175635
"49",11,0.0000748248199207417
"50",12,0.0000717624899419125
"51",13,0.000068711014762799
"52",14,0.0000656970203453136
"53",15,0.000062742011800703
"54",16,0.0000598505385715847
"55",17,0.0000570229132275589
"56",18,0.0000542594494940629
"57",19,0.0000515604622562995
"58",20,0.0000489262675631232
"59",21,0.0000463571826309653
"60",22,0.0000438535258477478
"61",23,0.0000414156167768758
"62",24,0.0000390437761611511
"63",25,0.00003673832592675
"64",26,0.0000344995891872392
"65",27,0.0000323278902475289
"66",28,0.0000302235546078965
"67",29,0.0000281869089680366
"68",30,0.0000262182812310653
"69",31,0.000024318000507579
"70",32,0.0000224863971197063
"71",33,0.0000207238026052094
"72",34,0.0000190305497215306
"73",35,0.0000174069724499591
"74",36,0.0000158534059996592
"75",37,0.0000142594274372954
"76",38,0.0000125094009826762
"77",39,0.000010870817568462
"78",40,0.00000934434532243885
"79",41,0.00000827843233847701
"80",42,0.00000746159651192166
"81",43,0.00000668628883877864
"82",44,0.00000595265895785687
"83",45,0.00000526085692275735
"84",46,0.00000461103320291697
"85",47,0.00000400333868469597
"86",48,0.00000343792467240485
"87",49,0.00000291494288938497
"88",50,0.00000243454547905198
"89",51,0.00000195010977394522
"90",52,0.00000146830190024678
"91",53,0.00000105418087190849
"92",54,0.000000708049862182315
"93",55,0.000000430213095276303
"94",56,0.000000220975849699731
"95",57,0.0000000806444616139353
"96",58,0.00000000952632819289297
"97",59,0.00000000792991099796077
"98",60,0.0000000761647393607173
"99",61,0.000000214541413776705
"100",62,0.000000423371609307164
"101",63,0.000000702968078997449
"102",64,0.00000105364465729678
"103",65,0.0000014757162634989
"104",66,0.00000196949890518312
"105",67,0.00000253530968167252
"106",68,0.00000317346678750646
"107",69,0.00000388428951590304
"108",70,0.00000466809826226303
"109",71,0.00000552521452766675
"110",72,0.00000645596092237517
"111",73,0.00000746066116934517
"112",74,0.00000853964010779235
"113",75,0.00000969322369669337
"114",76,0.0000109217390183691
"115",77,0.0000120717647745261
"116",78,0.0000125899421542709
"117",79,0.0000131193128586199
"118",80,0.0000136598956833971
"119",81,0.0000142117094493425
"120",82,0.0000147747730020542
"121",83,0.000015349105212072
"122",84,0.0000159347249748528
"123",85,0.0000165316512109017
"124",86,0.0000171399028656535
"125",87,0.0000177594989096655
"126",88,0.0000179191090956403
"127",89,0.0000174432375088531
"128",90,0.0000169739725293161
"129",91,0.0000165113057297467
"130",92,0.0000160552286912755
"131",93,0.0000156057330035804
"132",94,0.0000151628102647692
"133",95,0.0000147264520814284
"134",96,0.0000142966500685945
"135",97,0.0000132603568902605
"136",98,0.0000104371058899982
"137",99,0.00000656591416324457
"138",100,0.0000031049635403498
