"","lambda","MSE"
"1",0.01,0.000724925862586322
"2",0.06,0.000769673848857906
"3",0.11,0.000810820492766637
"4",0.16,0.000849473098135561
"5",0.21,0.000879948380052591
"6",0.26,0.000892680734849813
"7",0.31,0.000899464785137288
"8",0.36,0.000895385075377995
"9",0.41,0.000889886146149227
"10",0.46,0.000891367374977344
"11",0.51,0.000896652257200936
"12",0.56,0.000903897217087921
"13",0.61,0.000907204772685089
"14",0.66,0.000910243914725547
"15",0.71,0.000913287338192148
"16",0.76,0.000916335039290235
"17",0.81,0.000919387014227582
"18",0.86,0.000922799616068856
"19",0.91,0.000926700049641597
"20",0.96,0.000930607399017491
"21",1.01,0.000934521656377571
"22",1.06,0.000938442813909186
"23",1.11,0.00094237086380599
"24",1.16,0.000946305798267901
"25",1.21,0.000950247609501176
"26",1.26,0.000954196289718304
"27",1.31,0.000958151831138073
"28",1.36,0.000962114225985562
"29",1.41,0.00096608346649209
"30",1.46,0.000970059544895262
"31",1.51,0.00097404245343894
"32",1.56,0.000978032184373238
"33",1.61,0.000982028729954523
"34",1.66,0.000986032082445409
"35",1.71,0.000990042234114754
"36",1.76,0.000994059177237663
"37",1.81,0.000996983688330579
"38",1.86,0.000997488871260993
"39",1.91,0.000997994152805616
"40",1.96,0.000998499550194846
"41",3,0.000982565429145465
"42",4,0.000948446702470928
"43",5,0.000915765846323403
"44",6,0.000883568849598663
"45",7,0.000851860293863342
"46",8,0.000820644791608556
"47",9,0.00078992698643792
"48",10,0.000759711553256788
"49",11,0.000730003198462463
"50",12,0.000701104652353432
"51",13,0.000677454838516407
"52",14,0.000654465593594584
"53",15,0.000631822263964978
"54",16,0.000609527448768693
"55",17,0.00058758376130816
"56",18,0.000565993829116802
"57",19,0.000544760294029258
"58",20,0.000523885812251704
"59",21,0.000503373054432706
"60",22,0.000483224705734179
"61",23,0.000468950345894988
"62",24,0.000465192790722442
"63",25,0.00046144872916872
"64",26,0.000457718180222508
"65",27,0.000454001162892086
"66",28,0.000450297696205394
"67",29,0.000454048684976967
"68",30,0.000469700025757105
"69",31,0.000485587442900856
"70",32,0.000501709548772321
"71",33,0.000523176468241422
"72",34,0.00054636941321701
"73",35,0.000570005027265749
"74",36,0.000594079673743334
"75",37,0.000618589737854649
"76",38,0.000639456660632817
"77",39,0.000642428123009277
"78",40,0.000642054322250712
"79",41,0.000641680616256835
"80",42,0.000641307005039309
"81",43,0.000640933488609872
"82",44,0.000640560066980192
"83",45,0.000640186740162085
"84",46,0.00063981350816716
"85",47,0.000639440371007226
"86",48,0.000639067328693961
"87",49,0.00063869438123907
"88",50,0.000638321528654372
"89",51,0.000637948770951486
"90",52,0.000637576108142174
"91",53,0.000637203540238213
"92",54,0.00063683106725128
"93",55,0.000636458689193101
"94",56,0.000636086406075427
"95",57,0.000635714217910034
"96",58,0.000635342124708554
"97",59,0.000639141912254006
"98",60,0.000643467978885876
"99",61,0.000647806748405291
"100",62,0.000657536533469461
"101",63,0.00066591724206373
"102",64,0.000674344001085422
"103",65,0.000682816684387891
"104",66,0.000691335166075053
"105",67,0.00069989932050093
"106",68,0.000708509022269205
"107",69,0.000717164146232767
"108",70,0.000725864567493259
"109",71,0.000734610161400652
"110",72,0.000743400803552771
"111",73,0.000752236369794881
"112",74,0.00076111673621921
"113",75,0.000770041779164528
"114",76,0.000779011375215703
"115",77,0.000788025401203236
"116",78,0.000797083734202856
"117",79,0.000806186251535041
"118",80,0.000815332830764612
"119",81,0.000824523349700266
"120",82,0.000833540000814206
"121",83,0.000833540000814206
"122",84,0.000833540000814206
"123",85,0.000833540000814206
"124",86,0.000833540000814206
"125",87,0.000833540000814206
"126",88,0.000833540000814206
"127",89,0.000833540000814206
"128",90,0.000833540000814206
"129",91,0.000833540000814206
"130",92,0.000833540000814206
"131",93,0.000833540000814206
"132",94,0.000833540000814206
"133",95,0.000833540000814206
"134",96,0.000833540000814206
"135",97,0.000833540000814206
"136",98,0.000833540000814206
"137",99,0.000833540000814206
"138",100,0.000833540000814206
