,Dates,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
1,5/11/2008,-2.189517756,-1.894897335,-2.233944396,-2.156042869,-2.082922728,-2.241952755,-2.10620673,-2.028758691,-2.297450866,-2.441869158,-2.251589579,-2.366305344,-2.552461136,-2.433894629,-2.569818569,-2.138179854,-1.99150137,-2.028132068,-2.092064714,-1.70350285,-2.182902763
2,5/12/2008,-2.203046207,-2.189517756,-1.894897335,-2.378057265,-2.156042869,-2.082922728,-2.196787841,-2.10620673,-2.028758691,-2.318070038,-2.441869158,-2.251589579,-2.44168613,-2.552461136,-2.433894629,-2.13744788,-2.138179854,-1.99150137,-1.836903773,-2.092064714,-1.70350285
3,5/13/2008,-2.161598923,-2.203046207,-2.189517756,-2.275003664,-2.378057265,-2.156042869,-1.967287902,-2.196787841,-2.10620673,-2.350302121,-2.318070038,-2.441869158,-2.274100982,-2.44168613,-2.552461136,-2.076347449,-2.13744788,-2.138179854,-1.938066449,-1.836903773,-2.092064714
4,5/14/2008,-2.029934682,-2.161598923,-2.203046207,-2.120914113,-2.275003664,-2.378057265,-2.164801067,-1.967287902,-2.196787841,-2.382925341,-2.350302121,-2.318070038,-2.397434094,-2.274100982,-2.44168613,-2.193189602,-2.076347449,-2.13744788,-2.058114162,-1.938066449,-1.836903773
5,5/15/2008,-2.074711532,-2.029934682,-2.161598923,-2.204459324,-2.120914113,-2.275003664,-2.193979869,-2.164801067,-1.967287902,-2.372222128,-2.382925341,-2.350302121,-2.533934454,-2.397434094,-2.274100982,-2.060134816,-2.193189602,-2.076347449,-1.753494485,-2.058114162,-1.938066449
6,5/18/2008,-2.036021882,-2.074711532,-2.029934682,-2.198309135,-2.204459324,-2.120914113,-2.105960508,-2.193979869,-2.164801067,-2.393837472,-2.372222128,-2.382925341,-2.537141543,-2.533934454,-2.397434094,-2.046550452,-2.060134816,-2.193189602,-1.914340516,-1.753494485,-2.058114162
7,5/19/2008,-2.304281016,-2.036021882,-2.074711532,-2.454355258,-2.198309135,-2.204459324,-2.233402711,-2.105960508,-2.193979869,-2.479872358,-2.393837472,-2.372222128,-2.659638415,-2.537141543,-2.533934454,-2.202502033,-2.046550452,-2.060134816,-2.071586928,-1.914340516,-1.753494485
8,5/20/2008,-2.046448186,-2.304281016,-2.036021882,-2.291071988,-2.454355258,-2.198309135,-2.006843295,-2.233402711,-2.105960508,-2.243541986,-2.479872358,-2.393837472,-2.451641021,-2.659638415,-2.537141543,-1.988934736,-2.202502033,-2.046550452,-2.101117968,-2.071586928,-1.914340516
9,5/21/2008,-2.187349033,-2.046448186,-2.304281016,-2.20518433,-2.291071988,-2.454355258,-2.063225991,-2.006843295,-2.233402711,-2.156742913,-2.243541986,-2.479872358,-2.52451962,-2.451641021,-2.659638415,-2.002322604,-1.988934736,-2.202502033,-2.067562658,-2.101117968,-2.071586928
10,5/22/2008,-2.140577681,-2.187349033,-2.046448186,-2.381787602,-2.20518433,-2.291071988,-2.060399666,-2.063225991,-2.006843295,-2.408986398,-2.156742913,-2.243541986,-2.396088157,-2.52451962,-2.451641021,-2.078427559,-2.002322604,-1.988934736,-1.885094785,-2.067562658,-2.101117968
