"","lambda","MSE"
"1",4.53999297624849e-05,0.00240803472151255
"2",4.7727633936802e-05,0.00240803454827653
"3",5.01746820561753e-05,0.00240803436615851
"4",5.27471930155139e-05,0.00240803417470309
"5",5.54515994321769e-05,0.00240803397343155
"6",5.82946637308688e-05,0.00240803376184061
"7",6.12834950532221e-05,0.00240803353940117
"8",6.44255670343554e-05,0.00240803330555703
"9",6.77287364908539e-05,0.00240803305972345
"10",7.12012630669027e-05,0.00240803280128573
"11",7.48518298877006e-05,0.00240803252959762
"12",7.86895652717947e-05,0.00240803224397977
"13",8.27240655566322e-05,0.002408031943718
"14",8.69654190944029e-05,0.00240803162806149
"15",9.14242314781733e-05,0.00240803129622095
"16",9.61116520613947e-05,0.00240803094736659
"17",0.000101039401837093,0.0024080305806261
"18",0.000106219802746459,0.00240803019508243
"19",0.000111665808490115,0.00240802978977154
"20",0.000117391036919118,0.00240802936367995
"21",0.00012340980408668,0.00240802891574221
"22",0.000129737160045754,0.00240802844483823
"23",0.000136388926482011,0.00240802794979051
"24",0.000143381736276293,0.00240802742936119
"25",0.000150733075095477,0.00240802688224893
"26",0.000158461325115751,0.00240802630708567
"27",0.000166585810987634,0.0024080257024332
"28",0.000175126848157658,0.00240802506677959
"29",0.000184105793667579,0.00240802439853539
"30",0.000193545099558094,0.00240802369602962
"31",0.000203468369010644,0.00240802295750568
"32",0.000213900415367661,0.0024080221811169
"33",0.000224867324178848,0.0024080213649219
"34",0.000236396518428641,0.00240802050687977
"35",0.000248516827107952,0.002408019604845
"36",0.000261258557301668,0.00240801865656202
"37",0.000274653569972143,0.00240801765965966
"38",0.000288735359628203,0.00240801661164517
"39",0.000303539138078867,0.00240801550989798
"40",0.000319101922481203,0.00240801435166318
"41",0.000335462627902512,0.0024080131340446
"42",0.000352662164628256,0.00240801185399759
"43",0.000370743540459088,0.00240801050832141
"44",0.000389751968252755,0.00240800909365118
"45",0.000409734978979787,0.00240800760644954
"46",0.000430742540575688,0.00240800604299777
"47",0.000452827182886797,0.00240800439938645
"48",0.000476044129022269,0.00240800267150575
"49",0.000500451433440611,0.00240800085503516
"50",0.000526110127116064,0.00240799894543259
"51",0.000553084370147834,0.00240799693792311
"52",0.000581441612193756,0.002407994827487
"53",0.000611252761129572,0.00240799260884715
"54",0.000642592360355558,0.0024079902764559
"55",0.000675538775193844,0.00240798782448115
"56",0.000710174388842549,0.00240798524679184
"57",0.00074658580837668,0.00240798253694252
"58",0.000784864081310932,0.00240797968815728
"59",0.000825104923265905,0.00240797669331285
"60",0.000867408957307003,0.00240797354492076
"61",0.000911881965554516,0.00240797023510854
"62",0.000958635153694021,0.00240796675560018
"63",0.00100778542904851,0.00240796309769534
"64",0.00105945569290761,0.0024079592522476
"65",0.0011137751478448,0.00240795520964163
"66",0.00117087962079117,0.00240795095976916
"67",0.00123091190267348,0.00240794649200361
"68",0.00129402210546585,0.00240794179517368
"69",0.00136036803754789,0.00240793685753525
"70",0.00143011559830787,0.00240793166674215
"71",0.00150343919297757,0.00240792620981522
"72",0.00158052216873622,0.00240792047310989
"73",0.00166155727317393,0.00240791444228208
"74",0.00174674713626112,0.00240790810225226
"75",0.00183630477702891,0.00240790143716787
"76",0.00193045413622771,0.00240789443036362
"77",0.00202943063629574,0.00240788706431977
"78",0.00213348177003771,0.00240787932061852
"79",0.0022428677194858,0.00240787117989772
"80",0.00235786200649023,0.00240786262180265
"81",0.00247875217666636,0.00240785362493507
"82",0.0026058405184085,0.0024078441667997
"83",0.00273944481876837,0.00240783422374808
"84",0.00287989915808824,0.00240782377091934
"85",0.00302755474537582,0.00240781278217812
"86",0.00318278079650967,0.00240780123004925
"87",0.00334596545747127,0.00240778908564902
"88",0.00351751677491213,0.00240777631861301
"89",0.00369786371648293,0.00240776289702022
"90",0.00388745724347613,0.00240774878731323
"91",0.00408677143846407,0.00240773395421438
"92",0.00429630469075234,0.00240771836063753
"93",0.00451658094261267,0.00240770196759543
"94",0.00474815099941148,0.00240768473410227
"95",0.00499159390691022,0.00240766661707118
"96",0.00524751839918138,0.00240764757120666
"97",0.00551656442076078,0.00240762754889133
"98",0.00579940472684215,0.00240760650006686
"99",0.00609674656551564,0.00240758437210901
"100",0.00640933344625638,0.00240756110969604
"101",0.00673794699908547,0.00240753665467054
"102",0.00708340892905213,0.00240751094589401
"103",0.00744658307092434,0.00240748391909418
"104",0.00782837754922577,0.00240745550670446
"105",0.00822974704902003,0.00240742563769504
"106",0.00865169520312063,0.00240739423739549
"107",0.00909527710169582,0.00240736122730821
"108",0.00956160193054351,0.00240732652491234
"109",0.0100518357446336,0.00240729004345766
"110",0.0105672043838527,0.00240725169174788
"111",0.0111089965382423,0.00240721137391282
"112",0.0116785669703955,0.00240716898916911
"113",0.0122773399030684,0.00240712443156832
"114",0.0129068125804799,0.00240707758973257
"115",0.0135685590122009,0.00240702834657626
"116",0.0142642339089993,0.00240697657901387
"117",0.0149955768204777,0.00240692215765257
"118",0.0157644164848545,0.00240686494646924
"119",0.0165726754017613,0.00240680480247088
"120",0.0174223746394935,0.00240674157533782
"121",0.0183156388887342,0.00240667510704838
"122",0.0192547017753869,0.00240660523148471
"123",0.0202419114458044,0.00240653177401817
"124",0.0212797364383772,0.00240645455107366
"125",0.0223707718561656,0.00240637336967167
"126",0.0235177458560091,0.00240628802694691
"127",0.0247235264703394,0.00240619830964234
"128",0.0259911287787554,0.00240610399357737
"129",0.0273237224472926,0.00240600484308887
"130",0.0287246396542394,0.00240590061044371
"131",0.0301973834223185,0.00240579103522116
"132",0.031745636378068,0.00240567584366392
"133",0.0333732699603261,0.00240555474799599
"134",0.035084354100845,0.00240542744570563
"135",0.03688316740124,0.00240529361879188
"136",0.038774207831722,0.00240515293297269
"137",0.0407622039783662,0.00240500503685241
"138",0.0428521268670402,0.00240484956104724
"139",0.0450492023935578,0.00240468611726581
"140",0.0473589243911409,0.0024045142973431
"141",0.0497870683678639,0.0024043336722251
"142",0.0523397059484324,0.00240414379090182
"143",0.0550232200564073,0.00240394417928605
"144",0.0578443208748385,0.00240373433903501
"145",0.060810062625218,0.00240351374631224
"146",0.0639278612067076,0.0024032818504864
"147",0.0672055127397498,0.00240303807276415
"148",0.0706512130604296,0.00240278180475356
"149",0.0742735782143339,0.00240251240695467
"150",0.0780816660011532,0.0024022292071734
"151",0.0820849986238988,0.0024019314988553
"152",0.0862935864993706,0.00240161853933471
"153",0.0907179532894126,0.00240128954799534
"154",0.0953691622155497,0.00240094370433797
"155",0.100258843722804,0.0024005801459503
"156",0.105399224561864,0.00240019796637432
"157",0.110803158362334,0.00239979621286616
"158",0.116484157773497,0.00239937388404289
"159",0.122456428252982,0.00239892992741077
"160",0.128734903587804,0.00239846323676917
"161",0.135335283236613,0.00239797264948398
"162",0.142274071586514,0.0023974569436239
"163",0.149568619222635,0.00239691483495329
"164",0.157237166313628,0.00239634497377421
"165",0.165298888221587,0.00239574594161037
"166",0.173773943450445,0.00239511624772543
"167",0.182683524052735,0.00239445432546741
"168",0.192049908620754,0.00239375852843097
"169",0.201896517994655,0.0023930271264287
"170",0.212247973826743,0.00239225830126214
"171",0.22313016014843,0.00239145014228322
"172",0.234570288093798,0.00239060064173577
"173",0.246596963941606,0.00238970768986698
"174",0.259240260645892,0.00238876906979774
"175",0.272531793034013,0.00238778245214059
"176",0.28650479686019,0.00238674538935338
"177",0.301194211912202,0.00238565530981662
"178",0.316636769379053,0.0023845095116213
"179",0.33287108369808,0.00238330515605428
"180",0.349937749111156,0.00238203926076722
"181",0.367879441171442,0.0023807086926148
"182",0.386741023454502,0.0023793101601473
"183",0.406569659740599,0.00237784020574225
"184",0.427414931948727,0.00237629519735903
"185",0.449328964117222,0.00237467131990019
"186",0.472366552741015,0.00237296456616222
"187",0.49658530379141,0.00237117072735843
"188",0.522045776761016,0.00236928538319575
"189",0.548811636094027,0.00236730389148702
"190",0.576949810380487,0.0023652213772796
"191",0.606530659712633,0.00236303272148085
"192",0.637628151621774,0.00236073254896076
"193",0.67032004603564,0.0023583152161111
"194",0.704688089718714,0.00235577479784083
"195",0.740818220681719,0.00235310507398687
"196",0.778800783071405,0.00235029951511891
"197",0.818730753077982,0.00234735126771773
"198",0.860707976425059,0.00234425313870545
"199",0.90483741803596,0.0023409975793071
"200",0.951229424500715,0.00233757666822283
"201",1,0.00233398209409075
