"","lambda","MSE"
"1",4.53999297624849e-05,2.34254592086245e-08
"2",4.7727633936802e-05,2.34238657921668e-08
"3",5.01746820561753e-05,2.34221907380327e-08
"4",5.27471930155139e-05,2.34204298667104e-08
"5",5.54515994321769e-05,2.34185787849468e-08
"6",5.82946637308688e-05,2.34166328752014e-08
"7",6.12834950532221e-05,2.34145872837545e-08
"8",6.44255670343554e-05,2.34124369090176e-08
"9",6.77287364908539e-05,2.34101763887727e-08
"10",7.12012630669027e-05,2.34078000869541e-08
"11",7.48518298877006e-05,2.34053020797204e-08
"12",7.86895652717947e-05,2.34026761407836e-08
"13",8.27240655566322e-05,2.33999157260585e-08
"14",8.69654190944029e-05,2.33970139574816e-08
"15",9.14242314781733e-05,2.33939636063074e-08
"16",9.61116520613947e-05,2.33907570748678e-08
"17",0.000101039401837093,2.33873863781982e-08
"18",0.000106219802746459,2.33838431243707e-08
"19",0.000111665808490115,2.33801184936927e-08
"20",0.000117391036919118,2.33762032172844e-08
"21",0.00012340980408668,2.33720875541908e-08
"22",0.000129737160045754,2.33677612675541e-08
"23",0.000136388926482011,2.33632135996548e-08
"24",0.000143381736276293,2.33584332454241e-08
"25",0.000150733075095477,2.33534083250446e-08
"26",0.000158461325115751,2.33481263548255e-08
"27",0.000166585810987634,2.33425742169222e-08
"28",0.000175126848157658,2.33367381273512e-08
"29",0.000184105793667579,2.33306036024976e-08
"30",0.000193545099558094,2.33241554241129e-08
"31",0.000203468369010644,2.33173776023327e-08
"32",0.000213900415367661,2.3310253337121e-08
"33",0.000224867324178848,2.33027649777855e-08
"34",0.000236396518428641,2.32948939803461e-08
"35",0.000248516827107952,2.32866208630235e-08
"36",0.000261258557301668,2.32779251596431e-08
"37",0.000274653569972143,2.32687853705403e-08
"38",0.000288735359628203,2.32591789111898e-08
"39",0.000303539138078867,2.32490820586603e-08
"40",0.000319101922481203,2.3238469895014e-08
"41",0.000335462627902512,2.32273162485377e-08
"42",0.000352662164628256,2.32155936317564e-08
"43",0.000370743540459088,2.3203273176768e-08
"44",0.000389751968252755,2.31903245676308e-08
"45",0.000409734978979787,2.31767159693204e-08
"46",0.000430742540575688,2.31624139537009e-08
"47",0.000452827182886797,2.31473834217632e-08
"48",0.000476044129022269,2.31315875227308e-08
"49",0.000500451433440611,2.31149875690661e-08
"50",0.000526110127116064,2.30975429479454e-08
"51",0.000553084370147834,2.30792110286007e-08
"52",0.000581441612193756,2.30599470657118e-08
"53",0.000611252761129572,2.30397040983397e-08
"54",0.000642592360355558,2.30184328447617e-08
"55",0.000675538775193844,2.29960815925008e-08
"56",0.000710174388842549,2.29725960838582e-08
"57",0.00074658580837668,2.2947919396478e-08
"58",0.000784864081310932,2.2921991819108e-08
"59",0.000825104923265905,2.2894750722422e-08
"60",0.000867408957307003,2.28661304241077e-08
"61",0.000911881965554516,2.28360620492972e-08
"62",0.000958635153694021,2.2804473385149e-08
"63",0.00100778542904851,2.27712887299857e-08
"64",0.00105945569290761,2.27364287370146e-08
"65",0.0011137751478448,2.26998102522439e-08
"66",0.00117087962079117,2.26613461465667e-08
"67",0.00123091190267348,2.26209451425318e-08
"68",0.00129402210546585,2.2578511634954e-08
"69",0.00136036803754789,2.25339455062652e-08
"70",0.00143011559830787,2.24871419359494e-08
"71",0.00150343919297757,2.24379912047051e-08
"72",0.00158052216873622,2.23863784932958e-08
"73",0.00166155727317393,2.23321836763735e-08
"74",0.00174674713626112,2.22752811114389e-08
"75",0.00183630477702891,2.22155394234956e-08
"76",0.00193045413622771,2.215282128574e-08
"77",0.00202943063629574,2.20869831967913e-08
"78",0.00213348177003771,2.20178752553649e-08
"79",0.0022428677194858,2.19453409326102e-08
"80",0.00235786200649023,2.1869216843774e-08
"81",0.00247875217666636,2.1789332519602e-08
"82",0.0026058405184085,2.17055101789933e-08
"83",0.00273944481876837,2.16175645043439e-08
"84",0.00287989915808824,2.15253024211892e-08
"85",0.00302755474537582,2.14285228837727e-08
"86",0.00318278079650967,2.13270166692861e-08
"87",0.00334596545747127,2.12205661826173e-08
"88",0.00351751677491213,2.11089452746833e-08
"89",0.00369786371648293,2.0991919077502e-08
"90",0.00388745724347613,2.08692438595663e-08
"91",0.00408677143846407,2.07406669057907e-08
