"","lambda","MSE"
"1",4.53999297624849e-05,0.000929918231899782
"2",4.7727633936802e-05,0.000929918345809687
"3",5.01746820561753e-05,0.000929918465559881
"4",5.27471930155139e-05,0.0009299185914498
"5",5.54515994321769e-05,0.000929918723794247
"6",5.82946637308688e-05,0.000929918862924148
"7",6.12834950532221e-05,0.000929919009187398
"8",6.44255670343554e-05,0.000929919162949729
"9",6.77287364908539e-05,0.000929919324595644
"10",7.12012630669027e-05,0.000929919494529326
"11",7.48518298877006e-05,0.000929919673175715
"12",7.86895652717947e-05,0.000929919860981509
"13",8.27240655566322e-05,0.000929920058416328
"14",8.69654190944029e-05,0.000929920265973865
"15",9.14242314781733e-05,0.000929920484173129
"16",9.61116520613947e-05,0.000929920713559725
"17",0.000101039401837093,0.000929920954707252
"18",0.000106219802746459,0.000929921208218701
"19",0.000111665808490115,0.000929921474727986
"20",0.000117391036919118,0.000929921754901537
"21",0.00012340980408668,0.00092992204943992
"22",0.000129737160045754,0.000929922359079648
"23",0.000136388926482011,0.000929922684594993
"24",0.000143381736276293,0.000929923026799913
"25",0.000150733075095477,0.000929923386550108
"26",0.000158461325115751,0.000929923764745153
"27",0.000166585810987634,0.000929924162330736
"28",0.000175126848157658,0.00092992458030104
"29",0.000184105793667579,0.00092992501970122
"30",0.000193545099558094,0.000929925481630018
"31",0.000203468369010644,0.000929925967242502
"32",0.000213900415367661,0.000929926477752988
"33",0.000224867324178848,0.000929927014438027
"34",0.000236396518428641,0.000929927578639624
"35",0.000248516827107952,0.000929928171768602
"36",0.000261258557301668,0.000929928795308117
"37",0.000274653569972143,0.000929929450817366
"38",0.000288735359628203,0.000929930139935482
"39",0.000303539138078867,0.000929930864385655
"40",0.000319101922481203,0.000929931625979441
"41",0.000335462627902512,0.00092993242662123
"42",0.000352662164628256,0.000929933268313094
"43",0.000370743540459088,0.000929934153159751
"44",0.000389751968252755,0.00092993508337382
"45",0.000409734978979787,0.000929936061281383
"46",0.000430742540575688,0.000929937089327786
"47",0.000452827182886797,0.000929938170083736
"48",0.000476044129022269,0.000929939306251762
"49",0.000500451433440611,0.000929940500672958
"50",0.000526110127116064,0.0009299417563341
"51",0.000553084370147834,0.00092994307637508
"52",0.000581441612193756,0.00147335650537757
"53",0.000611252761129572,0.00147335701102801
"54",0.000642592360355558,0.00147335754260376
"55",0.000675538775193844,0.00147335810143406
"56",0.000710174388842549,0.00147335868891629
"57",0.00074658580837668,0.00147335930651946
"58",0.000784864081310932,0.00147335995578792
"59",0.000825104923265905,0.00147336063834521
"60",0.000867408957307003,0.00147336135589808
