"","lambda","MSE"
"1",4.53999297624849e-05,0.000388546621276777
"2",4.7727633936802e-05,0.000388546681679151
"3",5.01746820561753e-05,0.000388546745178433
"4",5.27471930155139e-05,0.000388546811933396
"5",5.54515994321769e-05,0.000388546882110968
"6",5.82946637308688e-05,0.000388546955886621
"7",6.12834950532221e-05,0.000388547033444845
"8",6.44255670343554e-05,0.000388547114979569
"9",6.77287364908539e-05,0.000388547200694677
"10",7.12012630669027e-05,0.0003885472908045
"11",7.48518298877006e-05,0.000388547385534363
"12",7.86895652717947e-05,0.000388547485121143
"13",8.27240655566322e-05,0.000388547589813858
"14",8.69654190944029e-05,0.000388547699874297
"15",9.14242314781733e-05,0.000388547815577669
"16",9.61116520613947e-05,0.000388547937213298
"17",0.000101039401837093,0.000388548065085335
"18",0.000106219802746459,0.000388548199513536
"19",0.000111665808490115,0.00038854834083404
"20",0.000117391036919118,0.000388548489400225
"21",0.00012340980408668,0.000388548645583589
"22",0.000129737160045754,0.000388548809774675
"23",0.000136388926482011,0.000388548982384052
"24",0.000143381736276293,0.000388549163843344
"25",0.000150733075095477,0.000388549354606288
"26",0.000158461325115751,0.000388549555149905
"27",0.000166585810987634,0.000388549765975664
"28",0.000175126848157658,0.000388549987610743
"29",0.000184105793667579,0.000388550220609358
"30",0.000193545099558094,0.000388550465554137
"31",0.000203468369010644,0.00038855072305758
"32",0.000213900415367661,0.00038855099376359
"33",0.000224867324178848,0.000388551278349083
"34",0.000236396518428641,0.00038855157752569
"35",0.000248516827107952,0.00038855189204152
"36",0.000261258557301668,0.000388552222683048
"37",0.000274653569972143,0.000388552570277064
"38",0.000288735359628203,0.000388552935692758
"39",0.000303539138078867,0.000388553319843881
"40",0.000319101922481203,0.000388553723691044
"41",0.000335462627902512,0.000388554148244096
"42",0.000352662164628256,0.000388554594564672
"43",0.000370743540459088,0.000388555063768846
"44",0.000389751968252755,0.000388555557029904
"45",0.000409734978979787,0.000388556075581304
"46",0.000430742540575688,0.00038855662071974
"47",0.000452827182886797,0.000388557193808397
"48",0.000476044129022269,0.000388557796280348
"49",0.000500451433440611,0.000388558429642149
"50",0.000526110127116064,0.00038855909547761
"51",0.000553084370147834,0.000388559795451737
"52",0.000581441612193756,0.000388560531314922
"53",0.000611252761129572,0.000388561304907297
"54",0.000642592360355558,0.000388562118163354
"55",0.000675538775193844,0.000388562973116766
"56",0.000710174388842549,0.000388563871905492
"57",0.00074658580837668,0.000388564816777114
"58",0.000784864081310932,0.000388565810094462
"59",0.000825104923265905,0.000388566854341517
"60",0.000867408957307003,0.000388567952129627
"61",0.000911881965554516,0.00038856910620405
"62",0.000958635153694021,0.000388570319450801
"63",0.00100778542904851,0.000388571594903894
"64",0.00105945569290761,0.000388572935752898
"65",0.0011137751478448,0.000388574345350959
"66",0.00117087962079117,0.000388575827223144
"67",0.00123091190267348,0.000388577385075292
"68",0.00129402210546585,0.000388579022803274
"69",0.00136036803754789,0.000388580744502726
"70",0.00143011559830787,0.000388582554479312
"71",0.00150343919297757,0.000388584457259486
"72",0.00158052216873622,0.000388586457601825
"73",0.00166155727317393,0.000388588560508924
"74",0.00174674713626112,0.000388590771239922
"75",0.00183630477702891,0.000388593095323643
"76",0.00193045413622771,0.000388595538572452
"77",0.00202943063629574,0.000388598107096797
"78",0.00213348177003771,0.000388600807320462
"79",0.0022428677194858,0.000388603645996694
"80",0.00235786200649023,0.000388606630225073
"81",0.00247875217666636,0.00038860976746927
"82",0.0026058405184085,0.000388613065575755
"83",0.00273944481876837,0.000388616532793404
"84",0.00287989915808824,0.000388620177794171
"85",0.00302755474537582,0.000388624009694776
"86",0.00318278079650967,0.00038862803807953
"87",0.00334596545747127,0.000388632273024323
"88",0.00351751677491213,0.000388636725121854
"89",0.00369786371648293,0.000388641405508148
"90",0.00388745724347613,0.000388646325890429
"91",0.00408677143846407,0.000388651498576445
"92",0.00429630469075234,0.000388656936505277
"93",0.00451658094261267,0.000388662653279741
"94",0.00474815099941148,0.000388668663200449
"95",0.00499159390691022,0.000388674981301647
"96",0.00524751839918138,0.000388681623388837
"97",0.00551656442076078,0.000388688606078402
"98",0.00579940472684215,0.000388695946839212
"99",0.00609674656551564,0.000388703664036402
"100",0.00640933344625638,0.000388711776977373
"101",0.00673794699908547,0.000388720305960192
"102",0.00708340892905213,0.000388729272324454
"103",0.00744658307092434,0.000388738698504773
"104",0.00782837754922577,0.000388748608087006
"105",0.00822974704902003,0.000388759025867423
"106",0.00865169520312063,0.00038876997791483
"107",0.00909527710169582,0.000388781491635978
"108",0.00956160193054351,0.000388793595844304
"109",0.0100518357446336,0.000388806320832191
"110",0.0105672043838527,0.000388819698447003
"111",0.0111089965382423,0.000388833762170957
"112",0.0116785669703955,0.000388848547205199
"113",0.0122773399030684,0.000388864090558147
"114",0.0129068125804799,0.000388880431138439
"115",0.0135685590122009,0.000388897609852602
"116",0.0142642339089993,0.000388915669707853
"117",0.0149955768204777,0.000388934655920127
"118",0.0157644164848545,0.000388954616027717
"119",0.0165726754017613,0.000388975600010774
"120",0.0174223746394935,0.000388997660416975
"121",0.0183156388887342,0.000389020852493695
"122",0.0192547017753869,0.000389045234326999
"123",0.0202419114458044,0.000389070866987821
"124",0.0212797364383772,0.000389097814685718
"125",0.0223707718561656,0.000389126144930573
"126",0.0235177458560091,0.000389155928702669
"127",0.0247235264703394,0.000389187240631568
"128",0.0259911287787554,0.000389220159184294
"129",0.0273237224472926,0.000389254766863224
"130",0.0287246396542394,0.000389291150414293
"131",0.0301973834223185,0.000389329401045984
"132",0.031745636378068,0.000389369614659716
"133",0.0333732699603261,0.00038941189209218
"134",0.035084354100845,0.000389456339370312
"135",0.03688316740124,0.000389503067979535
"136",0.038774207831722,0.000389552195145947
"137",0.0407622039783662,0.000389603844133294
"138",0.0428521268670402,0.000389658144555347
"139",0.0450492023935578,0.000389715232704688
"140",0.0473589243911409,0.000389775251898628
"141",0.0497870683678639,0.000389838352843242
"142",0.0523397059484324,0.000389904694016497
"143",0.0550232200564073,0.000389974442071442
"144",0.0578443208748385,0.000390047772260597
"145",0.060810062625218,0.000390124868882621
"146",0.0639278612067076,0.000390205925752509
"147",0.0672055127397498,0.000390291146696568
"148",0.0706512130604296,0.000390380746073491
"149",0.0742735782143339,0.000390474949323001
"150",0.0780816660011532,0.000390573993543485
"151",0.0820849986238988,0.00039067812810028
"152",0.0862935864993706,0.000390787615266256
"153",0.0907179532894126,0.000390902730896416
"154",0.0953691622155497,0.000391023765138482
"155",0.100258843722804,0.000391151023181393
"156",0.105399224561864,0.000391284826043801
"157",0.110803158362334,0.000391425511404855
"158",0.116484157773497,0.000391573434479538
"159",0.122456428252982,0.000391728968941168
"160",0.128734903587804,0.000391892507893605
"161",0.135335283236613,0.00039206446489603
"162",0.142274071586514,0.00039224527504326
"163",0.149568619222635,0.000392435396104769
"164",0.157237166313628,0.000392635309725761
"165",0.165298888221587,0.000392845522693862
"166",0.173773943450445,0.000393066568275222
"167",0.182683524052735,0.000393299007624039
"168",0.192049908620754,0.000393543431269841
"169",0.201896517994655,0.000393800460686971
"170",0.212247973826743,0.000394070749951247
"171",0.22313016014843,0.000394354987488886
"172",0.234570288093798,0.000394653897923193
"173",0.246596963941606,0.000394968244024907
"174",0.259240260645892,0.000395298828772439
"175",0.272531793034013,0.000395646497528648
"176",0.28650479686019,0.000396012140341329
"177",0.301194211912202,0.000396396694374954
"178",0.316636769379053,0.000437968183182941
"179",0.33287108369808,0.00043843490913796
"180",0.349937749111156,0.000438925804969225
"181",0.367879441171442,0.000439442135118385
"182",0.386741023454502,0.000439985231501366
"183",0.406569659740599,0.000440556497244772
"184",0.427414931948727,0.000441157410642672
"185",0.449328964117222,0.000441789529348257
"186",0.472366552741015,0.000442454494815601
"187",0.49658530379141,0.000443154037008073
