"","lambda","MSE"
"1",0.01,0.0024072939008809
"2",0.02,0.0024065497743858
"3",0.03,0.00240580572086953
"4",0.04,0.00240506174034923
"5",0.05,0.00240431783284203
"6",0.06,0.00240357399836507
"7",0.07,0.00240283023693547
"8",0.08,0.00240208654857039
"9",0.09,0.00240134293328696
"10",0.1,0.00240059939110231
"11",0.11,0.0023998559220336
"12",0.12,0.00239911252609799
"13",0.13,0.00239836920331261
"14",0.14,0.00239762595369463
"15",0.15,0.00239688277726118
"16",0.16,0.00239613967402946
"17",0.17,0.0023953966440166
"18",0.18,0.00239465368723977
"19",0.19,0.00239391080371613
"20",0.2,0.00239316799346287
"21",0.21,0.00239242525649713
"22",0.22,0.00239168259283611
"23",0.23,0.00239094000249697
"24",0.24,0.00239019748549688
"25",0.25,0.00238945504185305
"26",0.26,0.00238871267158264
"27",0.27,0.00238797037470283
"28",0.28,0.00238722815123082
"29",0.29,0.00238648600118381
"30",0.3,0.00238574392457896
"31",0.31,0.0023850019214335
"32",0.32,0.00238425999176461
"33",0.33,0.00238351813558949
"34",0.34,0.00238277635292536
"35",0.35,0.0023820346437894
"36",0.36,0.00238129300819883
"37",0.37,0.00238055144617084
"38",0.38,0.00237980995772266
"39",0.39,0.00237906854287153
"40",0.4,0.00237832720163462
"41",0.41,0.00237758593402918
"42",0.42,0.00237684474007242
"43",0.43,0.00237610361978156
"44",0.44,0.00237536257317384
"45",0.45,0.00237462160026649
"46",0.46,0.00237388070107672
"47",0.47,0.00237313987562178
"48",0.48,0.00237239912391892
"49",0.49,0.00237165844598535
"50",0.5,0.00237091784183833
"51",0.51,0.0023701773114951
"52",0.52,0.0023694368549729
"53",0.53,0.00236869647228899
"54",0.54,0.00236795616346063
"55",0.55,0.00236721592850504
"56",0.56,0.00236647576743951
"57",0.57,0.00236573568028128
"58",0.58,0.00236499566704762
"59",0.59,0.0023642557277558
"60",0.6,0.00236351586242305
"61",0.61,0.00236277607106669
"62",0.62,0.00236203635370394
"63",0.63,0.00236129671035212
"64",0.64,0.00236055714102848
"65",0.65,0.0023598176457503
"66",0.66,0.00235907822453488
"67",0.67,0.00235833887739947
"68",0.68,0.00235759960436139
"69",0.69,0.00235686040543789
"70",0.7,0.0023561212806463
"71",0.71,0.00235538223000389
"72",0.72,0.00235464325352796
"73",0.73,0.00235390435123581
"74",0.74,0.00235316552314473
"75",0.75,0.00235242676927206
"76",0.76,0.00235168808963506
"77",0.77,0.00235094948425104
"78",0.78,0.00235021095313736
"79",0.79,0.00234947249631129
"80",0.8,0.00234873411379013
"81",0.81,0.00234799580559124
"82",0.82,0.00234725757173193
"83",0.83,0.00234651941222949
"84",0.84,0.0023457813271013
"85",0.85,0.00234504331636464
"86",0.86,0.00234430538003685
"87",0.87,0.00234356751813528
"88",0.88,0.00234282973067726
"89",0.89,0.00234209201768011
"90",0.9,0.00234135437916119
"91",0.91,0.00234061681513783
"92",0.92,0.00233987932562738
"93",0.93,0.0023391419106472
"94",0.94,0.00233840457021461
"95",0.95,0.00233766730434699
"96",0.96,0.00233693011306167
"97",0.97,0.00233619299637604
"98",0.98,0.00233545595430742
"99",0.99,0.00233471898687321
"100",1,0.00233398209409075
"101",1.01,0.00233324527597739
"102",1.02,0.00233250853255055
"103",1.03,0.00233177186382757
"104",1.04,0.00233103526982583
"105",1.05,0.0023302987505627
"106",1.06,0.00232956230605558
"107",1.07,0.00232882593632183
"108",1.08,0.00232808964137884
"109",1.09,0.002327353421244
"110",1.1,0.0023266172759347
"111",1.11,0.00232594384000189
"112",1.12,0.00232603193788432
"113",1.13,0.00232612003683915
"114",1.14,0.00232620813686634
"115",1.15,0.00232629623796586
"116",1.16,0.0023263843401377
"117",1.17,0.0023264724433818
"118",1.18,0.00232656054769815
"119",1.19,0.00232664865308672
"120",1.2,0.00232673675954747
"121",1.21,0.00232682486708039
"122",1.22,0.00232691297568542
"123",1.23,0.00232700108536256
"124",1.24,0.00232708919611174
"125",1.25,0.00232717730793299
"126",1.26,0.00232726542082623
"127",1.27,0.00232735353479144
"128",1.28,0.00232744164982861
"129",1.29,0.00232752976593769
"130",1.3,0.00232761788311866
"131",1.31,0.00232770600137148
"132",1.32,0.00232779412069615
"133",1.33,0.00232788224109259
"134",1.34,0.00232797036256081
"135",1.35,0.00232805848510078
"136",1.36,0.00232814660871245
"137",1.37,0.00232823473339579
"138",1.38,0.00232832285915079
"139",1.39,0.00232841098597741
"140",1.4,0.00232849911387562
"141",1.41,0.00232858724284537
"142",1.42,0.00232867537288666
"143",1.43,0.00232876350399947
"144",1.44,0.00232885163618373
"145",1.45,0.00232893976943943
"146",1.46,0.00232902790376653
"147",1.47,0.00232911603916504
"148",1.48,0.00232920417563488
"149",1.49,0.00232929231317604
"150",1.5,0.0023293804517885
"151",1.51,0.00232946859147222
"152",1.52,0.00232955673222717
"153",1.53,0.00232964487405333
"154",1.54,0.00232973301695064
"155",1.55,0.00232982116091911
"156",1.56,0.0023299093059587
"157",1.57,0.00232999745206936
"158",1.58,0.00233008559925107
"159",1.59,0.00233017374750381
"160",1.6,0.00233026189682753
"161",1.61,0.00233035004722224
"162",1.62,0.00233043819868786
"163",1.63,0.00233052635122439
"164",1.64,0.00233061450483179
"165",1.65,0.00233070265951004
"166",1.66,0.00233079081525911
"167",1.67,0.00233087897207895
"168",1.68,0.00233096712996956
"169",1.69,0.00233105528893088
"170",1.7,0.0023311434489629
"171",1.71,0.00233123161006558
"172",1.72,0.00233131977223891
"173",1.73,0.00233140793548284
"174",1.74,0.00233149609979735
"175",1.75,0.0023315842651824
"176",1.76,0.00233167243163797
"177",1.77,0.00233176059916402
"178",1.78,0.00233184876776053
"179",1.79,0.00233193693742747
"180",1.8,0.00233202510816481
"181",1.81,0.0023321132799725
"182",1.82,0.00233220145285055
"183",1.83,0.0023322896267989
"184",1.84,0.00233237780181751
"185",1.85,0.00233246597790639
"186",1.86,0.00233255415506549
"187",1.87,0.00233264233329476
"188",1.88,0.0023327305125942
"189",1.89,0.00233281869296378
"190",1.9,0.00233290687440344
"191",1.91,0.00233299505691317
"192",1.92,0.00233308324049296
"193",1.93,0.00233317142514274
"194",1.94,0.0023332596108625
"195",1.95,0.00233334779765222
"196",1.96,0.00233343598551186
"197",1.97,0.00233352417444139
"198",1.98,0.00233361236444078
"199",1.99,0.00233370055551
"200",2,0.00233378874764903
"201",3,0.00234261335893686
"202",4,0.00235144863818829
"203",5,0.00246370833422828
"204",6,0.00247708425751203
"205",7,0.00249048286673016
"206",8,0.00250390406661966
"207",9,0.00251734776124934
"208",10,0.00253081385561053
"209",11,0.00254430225476016
"210",12,0.0025578128642208
"211",13,0.00257134558960394
"212",14,0.00258490033624654
"213",15,0.00259847701066095
"214",16,0.00261207551903941
"215",17,0.0026256957677277
"216",18,0.00263933766349027
"217",19,0.00265300111356129
"218",20,0.00266074956044294
"219",21,0.00266459511103991
"220",22,0.00266844234935599
"221",23,0.00267229127300559
"222",24,0.00267614187981546
"223",25,0.00267999416804624
"224",26,0.00268384813548388
"225",27,0.00268770377987152
"226",28,0.00269156109965376
"227",29,0.00269542009248353
"228",30,0.00269928075630144
"229",31,0.00270314308929955
"230",32,0.0027070070891675
"231",33,0.00271087275398729
"232",34,0.00271474008179798
"233",35,0.00271860907065674
"234",36,0.002722479717929
"235",37,0.00272635202228771
"236",38,0.00273022598135302
"237",39,0.00273410159353956
"238",40,0.0027379788562666
"239",41,0.0027418577676321
"240",42,0.00274573832578939
"241",43,0.00274962052854306
"242",44,0.00275350437415545
"243",45,0.00275738986080244
"244",46,0.00276127698505809
"245",47,0.00276516574689289
"246",48,0.00276905614303554
"247",49,0.0027729481718828
"248",50,0.00277684183110901
"249",51,0.00278073711905927
"250",52,0.00278463403314815
"251",53,0.00278853257231151
"252",54,0.00279243273380801
"253",55,0.00279633451639117
"254",56,0.00280023791714993
"255",57,0.0028041429345926
"256",58,0.00280804956648212
"257",59,0.00281195781077956
"258",60,0.0028158676665098
"259",61,0.0028197791302737
"260",62,0.00282369220103018
"261",63,0.0028276068756751
"262",64,0.00283152315322159
"263",65,0.00283544103151489
"264",66,0.00283936050815165
"265",67,0.0028432815819414
"266",68,0.00284720425010163
"267",69,0.00285112851113669
"268",70,0.00285505436266411
"269",71,0.00285898180258117
"270",72,0.00286291083024398
"271",73,0.0028668414420145
"272",74,0.00287077363704827
"273",75,0.00287470741199415
"274",76,0.00287864276664208
"275",77,0.00288257969849748
"276",78,0.00288651820482742
"277",79,0.00289045828366511
"278",80,0.00289439993448709
"279",81,0.00289834315310842
"280",82,0.00290228793981539
"281",83,0.00290623429120695
"282",84,0.00291018220569781
"283",85,0.00291413168156336
"284",86,0.00291808271628184
"285",87,0.002922035308848
"286",88,0.00292598945636049
"287",89,0.00292994515737606
"288",90,0.00293390240980151
"289",91,0.00293786121179973
"290",92,0.00294182156107305
"291",93,0.00294578345596925
"292",94,0.00294974689348615
"293",95,0.00295371187411849
"294",96,0.00295767839440488
"295",97,0.00296164645207391
"296",98,0.00296561604591478
"297",99,0.00296958717283436
"298",100,0.00297355983222646
"299",101,0.00297753402128799
"300",102,0.00298150973896994
"301",103,0.00298548698239495
"302",104,0.00298946575085638
"303",105,0.00299344604138637
"304",106,0.00299742785115362
"305",107,0.00300141117985349
"306",108,0.00300539602562646
"307",109,0.00300938238620987
"308",110,0.00301337025859135
"309",111,0.00301735964243406
"310",112,0.00302135053426506
"311",113,0.00302534293330562
"312",114,0.00302933683802734
"313",115,0.00303333224515327
"314",116,0.00303732915256282
"315",117,0.00304132756194666
"316",118,0.00304532746616932
"317",119,0.00304932886676643
"318",120,0.00305333175984675
"319",121,0.00305733614590163
"320",122,0.00306134202052291
"321",123,0.00306534938358395
"322",124,0.00306935823228133
"323",125,0.00307336856472743
"324",126,0.00307738037988248
"325",127,0.00308139367400745
"326",128,0.00308540844752905
"327",129,0.00308942469754897
"328",130,0.0030934424207861
"329",131,0.00309746161745308
"330",132,0.00310148228511734
"331",133,0.00310550442072376
"332",134,0.00310952802322201
"333",135,0.00311355309204354
"334",136,0.00311757962431768
"335",137,0.00312160761591358
"336",138,0.00312563706748989
"337",139,0.00312966797534664
"338",140,0.00313370034073776
"339",141,0.00313773415898285
"340",142,0.0031417694289066
"341",143,0.00314580614832398
"342",144,0.00314984431789599
"343",145,0.00315388393188876
"344",146,0.00315792499021705
"345",147,0.00316196749154946
"346",148,0.00316601143271378
"347",149,0.00317005681419818
"348",150,0.00317410363081855
"349",151,0.00317815188281391
"350",152,0.00318220156841381
"351",153,0.00318625268437138
"352",154,0.0031903052310668
"353",155,0.00319435920379965
"354",156,0.00319841460281824
"355",157,0.00320247142700283
"356",158,0.00320652967063826
"357",159,0.00321058933429092
"358",160,0.00321465041834485
"359",161,0.00321871291688198
"360",162,0.00322277683144443
"361",163,0.00322684215801998
"362",164,0.00323090889566665
"363",165,0.00323497704083423
"364",166,0.00323904659553898
"365",167,0.00324311755365909
"366",168,0.0032471899153047
"367",169,0.0032512636798886
"368",170,0.00325533884193829
"369",171,0.00325941540314689
"370",172,0.00326349336113259
"371",173,0.00326757271322408
"372",174,0.00327165345571165
"373",175,0.00327573559031568
"374",176,0.0032798191138484
"375",177,0.00328390402277095
"376",178,0.00328799031804628
"377",179,0.00329207799623432
"378",180,0.00329616705586327
"379",181,0.00330025749522439
"380",182,0.00330434931147202
"381",183,0.00330844250443636
"382",184,0.00331253707089083
"383",185,0.00331663300904956
"384",186,0.00332073031864025
"385",187,0.00332482899704608
"386",188,0.00332892904263163
"387",189,0.00333303045231857
"388",190,0.00333713322482309
"389",191,0.0033412373593154
"390",192,0.00334534285342196
"391",193,0.00334944970476038
"392",194,0.00335355791259077
"393",195,0.00335766747482189
"394",196,0.00336177838875282
"395",197,0.00336589065286412
"396",198,0.00337000426564327
"397",199,0.00337411922466558
"398",200,0.0033782355308115
"399",201,0.00338235317994502
"400",202,0.00338647217008406
"401",203,0.00339059249835041
"402",204,0.0033947141661714
"403",205,0.00339883716965345
"404",206,0.00340296150816153
"405",207,0.00340708717791116
"406",208,0.00341121417955633
"407",209,0.00341534250842439
"408",210,0.0034194721663531
"409",211,0.00342360314911781
"410",212,0.00342773545395251
"411",213,0.00343186908072128
"412",214,0.00343600402941641
"413",215,0.00344014029392998
"414",216,0.00344427787685808
"415",217,0.00344841677553511
"416",218,0.00345255698469885
"417",219,0.00345669850483898
"418",220,0.00346084133320056
"419",221,0.00346498547121917
"420",222,0.00346913091600516
"421",223,0.00347327766227681
"422",224,0.00347742571341411
"423",225,0.00348157506179395
"424",226,0.00348572571214467
"425",227,0.00348987765876056
"426",228,0.00349403089819475
"427",229,0.00349818543184143
"428",230,0.00350234125763834
"429",231,0.00350649837287255
"430",232,0.00351065677819498
"431",233,0.00351481646835531
"432",234,0.00351897744392264
"433",235,0.00352049018878581
"434",236,0.00352049018883079
"435",237,0.00352049018887576
"436",238,0.00352049018892074
"437",239,0.00352049018896571
"438",240,0.00352049018901068
"439",241,0.00352049018905566
"440",242,0.00352049018910064
"441",243,0.00352049018914561
"442",244,0.00352049018919058
"443",245,0.00352049018923555
"444",246,0.00352049018928053
"445",247,0.0035204901893255
"446",248,0.00352049018937048
"447",249,0.00352049018941545
"448",250,0.00352049018946043
"449",251,0.00352049018950541
"450",252,0.00352049018955038
"451",253,0.00352049018959535
"452",254,0.00352049018964032
"453",255,0.0035204901896853
"454",256,0.00352049018973027
"455",257,0.00352049019214803
"456",258,0.00352049018955429
"457",259,0.00352049019085578
"458",260,0.00352049018964064
"459",261,0.00352049018885037
"460",262,0.0035204901923729
"461",263,0.0035204901900451
"462",264,0.00352049019009007
"463",265,0.00352049019013504
"464",266,0.00352049019018002
"465",267,0.00352049019022499
"466",268,0.00352049019026997
"467",269,0.00352049019031494
"468",270,0.00352049019035991
"469",271,0.00352049019040489
"470",272,0.00352049019044987
"471",273,0.00352049019049484
"472",274,0.00352049019053981
"473",275,0.00352049019058479
"474",276,0.00352049019062976
"475",277,0.00352049019067473
"476",278,0.0035204901907197
"477",279,0.00352049019076468
"478",280,0.00352049019080966
"479",281,0.00352049019085463
"480",282,0.00352049019089961
"481",283,0.00352049019094458
"482",284,0.00352049019098956
"483",285,0.00352049019103453
"484",286,0.0035204901910795
"485",287,0.00352049019112448
"486",288,0.00352049019116945
"487",289,0.00352049019121443
"488",290,0.0035204901912594
"489",291,0.00352049019130438
"490",292,0.00352049019134935
"491",293,0.00352049019139433
"492",294,0.0035204901914393
"493",295,0.00352049019148427
"494",296,0.00352049019152925
"495",297,0.00352049019157422
"496",298,0.0035204901916192
"497",299,0.00352049019166417
