"","lambda","MSE"
"1",0.01,0.00235048708907523
"2",0.02,0.00169905804760302
"3",0.03,0.00170032679936384
"4",0.04,0.00165645012510141
"5",0.05,0.00165853498283217
"6",0.06,0.0016606207586457
"7",0.07,0.00166270745187521
"8",0.08,0.00166479506185423
"9",0.09,0.0016668835879166
"10",0.1,0.00166897302939646
"11",0.11,0.00167106338562826
"12",0.12,0.0016731546559468
"13",0.13,0.00167524683968712
"14",0.14,0.00167733993618465
"15",0.15,0.00167943394477507
"16",0.16,0.0016815288647944
"17",0.17,0.00193579729834261
"18",0.18,0.00168572143646538
"19",0.19,0.00203805516472292
"20",0.2,0.00203928902436811
"21",0.21,0.00204052312910687
"22",0.22,0.00204175747883612
"23",0.23,0.00222227832132568
"24",0.24,0.00222287451057069
"25",0.25,0.00239941441367634
"26",0.26,0.00240015147476653
"27",0.27,0.00240088860559232
"28",0.28,0.00240162580613621
"29",0.29,0.00240236307638076
"30",0.3,0.00240310041630854
"31",0.31,0.00240383782590212
"32",0.32,0.00240457530514401
"33",0.33,0.00240525680519886
"34",0.34,0.00240588839770202
"35",0.35,0.00240652004123579
"36",0.36,0.00240715173578926
"37",0.37,0.00241551221791787
"38",0.38,0.00241607393980704
"39",0.39,0.0024166357018166
"40",0.4,0.0024171975039389
"41",0.41,0.00241775934616628
"42",0.42,0.00241832122849109
"43",0.43,0.00241888315090571
"44",0.44,0.00223480895831179
"45",0.45,0.00223540621304933
"46",0.46,0.0022360035184116
"47",0.47,0.0022366008743883
"48",0.48,0.00223719828096919
"49",0.49,0.002237795738144
"50",0.5,0.00242281772967931
"51",0.51,0.00242337997253684
"52",0.52,0.00242394225541534
"53",0.53,0.00242450457830718
"54",0.54,0.00242506694120468
"55",0.55,0.00242562934410023
"56",0.56,0.00224197935413563
"57",0.57,0.00224257721569249
"58",0.58,0.00196985543234815
"59",0.59,0.00197021800981822
"60",0.6,0.00197058060945294
"61",0.61,0.00197094323124956
"62",0.62,0.00197130587520533
"63",0.63,0.00197166854131751
"64",0.64,0.00197203122958336
"65",0.65,0.00197239394000013
"66",0.66,0.00197275667256507
"67",0.67,0.00197311942727544
"68",0.68,0.0019734822041285
"69",0.69,0.0019738450031215
"70",0.7,0.0019742078242517
"71",0.71,0.00197457066751636
"72",0.72,0.00219653307838954
"73",0.73,0.00219702534308548
"74",0.74,0.00219751764300905
"75",0.75,0.00219800997815438
"76",0.76,0.00219850234851553
"77",0.77,0.00219899475408666
"78",0.78,0.00219948719486186
"79",0.79,0.00219997967083524
"80",0.8,0.00220047218200094
"81",0.81,0.00220096472835304
"82",0.82,0.00220145730988569
"83",0.83,0.00220194992659296
"84",0.84,0.00197928964294431
"85",0.85,0.00197965279580338
"86",0.86,0.00198001597075577
"87",0.87,0.00198037916779874
"88",0.88,0.00198074238692957
"89",0.89,0.0019811056281455
"90",0.9,0.00198146889144381
"91",0.91,0.00198183217682174
"92",0.92,0.00198219548427656
"93",0.93,0.00198255881380552
"94",0.94,0.0019829221654059
"95",0.95,0.00198328553907496
"96",0.96,0.00198364893480996
"97",0.97,0.00198401235260813
"98",0.98,0.00198437579246677
"99",0.99,0.00198473925438314
"100",1,0.00221032978663732
"101",1.01,0.0022108230354825
"102",1.02,0.00221131631939062
"103",1.03,0.0022118096383558
"104",1.04,0.00221230299237218
"105",1.05,0.00221279638143386
"106",1.06,0.00221328980553502
"107",1.07,0.00221378326466976
"108",1.08,0.00221427675883219
"109",1.09,0.00221477028801647
"110",1.1,0.00221526385221672
"111",1.11,0.00221575745142706
"112",1.12,0.00221625108564165
"113",1.13,0.00221674475485459
"114",1.14,0.00208067877817547
"115",1.15,0.00208090077430743
"116",1.16,0.00208112277815778
"117",1.17,0.00208134478972592
"118",1.18,0.00208138668323098
"119",1.19,0.00223193420256701
"120",1.2,0.00199237704511436
"121",1.21,0.00199274099160841
"122",1.22,0.00208763951622214
"123",1.23,0.00199558555168028
"124",1.24,0.00199510708004342
"125",1.25,0.00199462864635597
"126",1.26,0.00199456105394619
"127",1.27,0.00199492513236812
"128",1.28,0.00199528923276849
"129",1.29,0.00199565335514454
"130",1.3,0.00199601749949356
"131",1.31,0.00221801448075511
"132",1.32,0.00221815692395423
"133",1.33,0.0022214756299376
"134",1.34,0.00222711988256474
"135",1.35,0.00222761432025856
"136",1.36,0.00222810879281597
"137",1.37,0.00222860330023112
"138",1.38,0.00222909784249814
"139",1.39,0.00222959241961117
"140",1.4,0.0022300870315644
"141",1.41,0.00223058167835196
"142",1.42,0.00223107635996799
"143",1.43,0.00223157107640664
"144",1.44,0.00223206582766208
"145",1.45,0.00223256061372845
"146",1.46,0.00223305543459991
"147",1.47,0.00223355029027058
"148",1.48,0.00223404518073467
"149",1.49,0.0022345401059863
"150",1.5,0.00223503506601961
"151",1.51,0.0022355300608288
"152",1.52,0.00223602509040798
"153",1.53,0.00223652015475133
"154",1.54,0.00223701525385302
"155",1.55,0.00223751038770718
"156",1.56,0.00223800555630798
"157",1.57,0.00223850075964959
"158",1.58,0.00223899599772615
"159",1.59,0.00223949127053183
"160",1.6,0.00200695203385286
"161",1.61,0.00200731685801016
"162",1.62,0.00200768170405316
"163",1.63,0.00200804657197909
"164",1.64,0.00200841146178525
"165",1.65,0.00200877637346893
"166",1.66,0.00200914130702738
"167",1.67,0.00200950626245789
"168",1.68,0.00200987123975774
"169",1.69,0.00201132610237608
"170",1.7,0.00201161364637361
"171",1.71,0.00201190120392761
"172",1.72,0.00201133136759601
"173",1.73,0.0020116964542017
"174",1.74,0.00201206156266039
"175",1.75,0.00201242669296934
"176",1.76,0.00201279184512587
"177",1.77,0.00201315701912723
"178",1.78,0.00210333470459889
"179",1.79,0.00210315949037411
"180",1.8,0.00224990001154199
"181",1.81,0.00225039604691206
"182",1.82,0.00225089211687709
"183",1.83,0.00225138822143126
"184",1.84,0.00225188436056876
"185",1.85,0.00225238053428374
"186",1.86,0.00225287674257042
"187",1.87,0.00225337298542292
"188",1.88,0.00225386926283545
"189",1.89,0.00225436557480219
"190",1.9,0.0022548619213173
"191",1.91,0.00225535830237499
"192",1.92,0.00225585471796942
"193",1.93,0.00225635116809476
"194",1.94,0.00225684765274519
"195",1.95,0.00225734417191492
"196",1.96,0.00202009947205452
"197",1.97,0.00202046508238151
"198",1.98,0.00202083071449622
"199",1.99,0.00202119636839597
"200",2,0.00202156204407804
"201",3,0.00220352816869347
"202",4,0.00272885090010716
"203",5,0.00273117104816899
"204",6,0.00273349176771243
"205",7,0.00273581305780142
"206",8,0.00273813491936647
"207",9,0.00274045735037256
"208",10,0.00274278035111703
"209",11,0.0027451039214056
"210",12,0.00274742806089912
"211",13,0.00274975276780495
"212",14,0.00275207804273448
"213",15,0.00275440388492231
"214",16,0.00275673029476179
"215",17,0.00275905726976754
"216",18,0.00276138481195918
"217",19,0.0027637129194323
"218",20,0.00276604159239348
"219",21,0.00276837083044901
"220",22,0.002770700631655
"221",23,0.00277303099690644
"222",24,0.00277536192618304
"223",25,0.00277769341730378
"224",26,0.00278002547259779
"225",27,0.00278235808707786
"226",28,0.00278469126540726
"227",29,0.00278702500355927
"228",30,0.00278935930466338
"229",31,0.00279169416397064
"230",32,0.00279402958321837
"231",33,0.00279636556234659
"232",34,0.00279870209939454
"233",35,0.00280127748664517
"234",36,0.00280413817781008
"235",37,0.00280699970152211
"236",38,0.00280986206399289
"237",39,0.00281272525521463
"238",40,0.00281549369940278
"239",41,0.00281815206738418
"240",42,0.00282081115294874
"241",43,0.00282347095157972
"242",44,0.00282613146186565
"243",45,0.00282958052152504
"244",46,0.00283598763626694
"245",47,0.00284239887131177
"246",48,0.00284881421173277
"247",49,0.00285523364884602
"248",50,0.00286165717531354
"249",51,0.00286808477970999
"250",52,0.00287451645523081
"251",53,0.00288095219190436
"252",54,0.00288739198435909
"253",55,0.00289383581992398
"254",56,0.00290028368840705
"255",57,0.00290673558253291
"256",58,0.00291319149600617
"257",59,0.00291965141376247
"258",60,0.0029261153293135
"259",61,0.00293258323786363
"260",62,0.00293905512651207
"261",63,0.00294553098703029
"262",64,0.00295201081347656
"263",65,0.00295849459179854
"264",66,0.00296498231366234
"265",67,0.00297147397556542
"266",68,0.00297283713230494
"267",69,0.00297391173123239
"268",70,0.00297498643759233
"269",71,0.00297606125261531
"270",72,0.00297713617234768
"271",73,0.00297821120425147
"272",74,0.00297928634095013
"273",75,0.0029803615833015
"274",76,0.00298143693526497
"275",77,0.00298251239143202
"276",78,0.0029837641179815
"277",79,0.00298514997661411
"278",80,0.00298653601628869
"279",81,0.00298792222477463
"280",82,0.00298930861860713
"281",83,0.00299069518481441
"282",84,0.00299208193283029
"283",85,0.00299346885682938
"284",86,0.00299485595347435
"285",87,0.00299624322964871
"286",88,0.00299763068124622
"287",89,0.00299901831397934
"288",90,0.00300040612066934
"289",91,0.00300179410621749
"290",92,0.00300318226308268
"291",93,0.00300457059965497
"292",94,0.0030059591125676
"293",95,0.0030073478020301
"294",96,0.00300873667046662
"295",97,0.00301012571093835
"296",98,0.00301151493083175
"297",99,0.00301290432341987
"298",100,0.00301429389574298
"299",101,0.00301568364161969
"300",102,0.00301707356029197
"301",103,0.00301846365979708
"302",104,0.00301985393021499
"303",105,0.00302124438451376
"304",106,0.00302263500486636
"305",107,0.00302402580528387
"306",108,0.00302541678061397
"307",109,0.00302680792773948
"308",110,0.00302819925562058
"309",111,0.00302959075422091
"310",112,0.00303098242963705
"311",113,0.00303237427721562
"312",114,0.00303376630433841
"313",115,0.00303515850213111
"314",116,0.00303655087422001
"315",117,0.00303794342089738
"316",118,0.00303933614795108
"317",119,0.00304072904371688
"318",120,0.00304522243261743
"319",121,0.0030498706230619
"320",122,0.00305452074321702
"321",123,0.00305917279808014
"322",124,0.00306382677233548
"323",125,0.00306848266681571
"324",126,0.0030731404823689
"325",127,0.00307780021307318
"326",128,0.00308246186175185
"327",129,0.00308712541824216
"328",130,0.00309179087445373
"329",131,0.00309645823853055
"330",132,0.00310112750430135
"331",133,0.00310579866775013
"332",134,0.00311047171967166
"333",135,0.00311514667191391
"334",136,0.00311982350257609
"335",137,0.00312450222661787
"336",138,0.00312918282574524
"337",139,0.00313386530643865
"338",140,0.00313854966629274
"339",141,0.00314323589579697
"340",142,0.00314792399078796
"341",143,0.00315261395770005
"342",144,0.00315730578167215
"343",145,0.00316199947678943
"344",146,0.00316669502053597
"345",147,0.00317139242164803
"346",148,0.00317609166973665
"347",149,0.00318079277136581
"348",150,0.00318549570817748
"349",151,0.00319020049477834
"350",152,0.00319490712353557
"351",153,0.00319961558152048
"352",154,0.00320432587996428
"353",155,0.00320903799885002
"354",156,0.00321375194020761
"355",157,0.00321846771970924
"356",158,0.00322318531718851
"357",159,0.00322790472873637
"358",160,0.0032326259473992
"359",161,0.00323734899100264
"360",162,0.00324207383947722
"361",163,0.00324680048752958
"362",164,0.00325152894707151
"363",165,0.00325625920260949
"364",166,0.0032609912453114
"365",167,0.00326572509466732
"366",168,0.00327046072512658
"367",169,0.00327519814692839
"368",170,0.00327993735750299
"369",171,0.00328467834879634
"370",172,0.00328942111176793
"371",173,0.00329416564817363
"372",174,0.00329891196806682
"373",175,0.00330366005129078
"374",176,0.00330840990416287
"375",177,0.00331316151663667
"376",178,0.00331791489430524
"377",179,0.00332267002240175
"378",180,0.00332742690999474
"379",181,0.00333218554955767
"380",182,0.00333694594527463
"381",183,0.00334170807045097
"382",184,0.00334647195128823
"383",185,0.00335123756884114
"384",186,0.00335600493264307
"385",187,0.00336077400895076
"386",188,0.00336554482254565
"387",189,0.00337031736993475
"388",190,0.00337509164517614
"389",191,0.00337986764243844
"390",192,0.00338464535171634
"391",193,0.00338942477645578
"392",194,0.00339420592521314
"393",195,0.00339898877964721
"394",196,0.00340377333354862
"395",197,0.00340855959715147
"396",198,0.00341334757275067
"397",199,0.00341813723737531
"398",200,0.00342014738485349
"399",201,0.00342014738486251
"400",202,0.00342014738487153
"401",203,0.00342014738488054
"402",204,0.00342014738488956
"403",205,0.00342014738489857
"404",206,0.00342014738490759
"405",207,0.0034201473849166
"406",208,0.00342014738492562
"407",209,0.00342014738493464
"408",210,0.00342014738494365
"409",211,0.00342014738495267
"410",212,0.00342014738496169
"411",213,0.0034201473849707
"412",214,0.00342014738497971
"413",215,0.00342014738498874
"414",216,0.00342014738499775
"415",217,0.00342014738500676
"416",218,0.00342014738501578
"417",219,0.0034201473850248
"418",220,0.00342014738503381
"419",221,0.00342014738504282
"420",222,0.003420147386145
"421",223,0.00342014738615894
"422",224,0.00342014738617288
"423",225,0.00342014738618682
"424",226,0.00342014738620075
"425",227,0.00342014738621469
"426",228,0.00342014738622864
"427",229,0.00342014738624258
"428",230,0.00342014738625652
"429",231,0.00342014738627046
"430",232,0.0034201473862844
"431",233,0.00342014738629834
"432",234,0.00342014738631228
"433",235,0.00342014738632622
"434",236,0.00342014738634016
"435",237,0.0034201473863541
"436",238,0.00342014738636804
"437",239,0.00342014738638198
"438",240,0.00342014738639592
"439",241,0.00342014738640986
"440",242,0.0034201473864238
"441",243,0.00342014738643775
"442",244,0.00342014738645168
"443",245,0.00342014738646562
"444",246,0.00342014738647957
"445",247,0.00342014738649351
"446",248,0.00342014738650744
"447",249,0.00342014738652138
"448",250,0.00342014738653533
"449",251,0.00342014738654926
"450",252,0.00342014738656321
"451",253,0.00342014738657714
"452",254,0.00342014738659109
"453",255,0.00342014738660503
"454",256,0.00342014738661896
"455",257,0.0034201473864047
"456",258,0.00342014738744895
"457",259,0.00342014738731566
"458",260,0.00342014738677889
"459",261,0.00342014738669851
"460",262,0.00342014738681662
"461",263,0.00342014738671655
"462",264,0.00342014738673048
"463",265,0.00342014738674442
"464",266,0.00342014738675836
"465",267,0.0034201473867723
"466",268,0.00342014738678625
"467",269,0.00342014738680019
"468",270,0.00342014738681413
"469",271,0.00342014738682807
"470",272,0.003420147386842
"471",273,0.00342014738685594
"472",274,0.00342014738686989
"473",275,0.00342014738688383
"474",276,0.00342014738689777
"475",277,0.0034201473869117
"476",278,0.00342014738692565
"477",279,0.00342014738693959
"478",280,0.00342014738695352
"479",281,0.00342014738696746
"480",282,0.00342014738698141
"481",283,0.00342014738699535
"482",284,0.00342014738700929
"483",285,0.00342014738702323
"484",286,0.00342014738703717
"485",287,0.00342014738705111
"486",288,0.00342014738706505
"487",289,0.00342014738707898
"488",290,0.00342014738709293
