"","lambda","MSE"
"1",0.0000453999297624849,0.00384243731732683
"2",0.000047727633936802,0.00384243683976282
"3",0.0000501746820561753,0.00384243633771359
"4",0.0000527471930155139,0.00384243580992375
"5",0.0000554515994321769,0.00384243525507358
"6",0.0000582946637308688,0.00384243467177564
"7",0.0000612834950532221,0.00384243405857142
"8",0.0000644255670343554,0.00384243341392756
"9",0.0000677287364908539,0.00384243273623214
"10",0.0000712012630669027,0.00384243202379055
"11",0.0000748518298877006,0.00384243127482133
"12",0.0000786895652717947,0.00384243048745169
"13",0.0000827240655566322,0.00384242965971281
"14",0.0000869654190944029,0.00384242878953483
"15",0.0000914242314781733,0.00384242787474197
"16",0.0000961116520613947,0.00384242691304674
"17",0.000101039401837093,0.00384242590204438
"18",0.000106219802746459,0.00384242483920689
"19",0.000111665808490115,0.00384242372187664
"20",0.000117391036919118,0.00384242254725975
"21",0.00012340980408668,0.00384242131241904
"22",0.000129737160045754,0.0038424200142668
"23",0.000136388926482011,0.00384241864955698
"24",0.000143381736276293,0.00384241721487715
"25",0.000150733075095477,0.00384241570663982
"26",0.000158461325115751,0.00384241412107366
"27",0.000166585810987634,0.00384241245421398
"28",0.000175126848157658,0.00384241070189275
"29",0.000184105793667579,0.00384240885972831
"30",0.000193545099558094,0.00384240692311433
"31",0.000203468369010644,0.00384240488720826
"32",0.000213900415367661,0.00384240274691932
"33",0.000224867324178848,0.00384240049689578
"34",0.000236396518428641,0.0038423981315114
"35",0.000248516827107952,0.00384239564485155
"36",0.000261258557301668,0.00384239303069832
"37",0.000274653569972143,0.00384239028251508
"38",0.000288735359628203,0.00384238739343
"39",0.000303539138078867,0.00384238435621891
"40",0.000319101922481203,0.00384238116328733
"41",0.000335462627902512,0.00384237780665131
"42",0.000352662164628256,0.00384237427791768
"43",0.000370743540459088,0.00384237056826289
"44",0.000389751968252755,0.00384236666841096
"45",0.000409734978979787,0.00384236256861037
"46",0.000430742540575688,0.00384235825860968
"47",0.000452827182886797,0.00384235372763176
"48",0.000476044129022269,0.00384234896434709
"49",0.000500451433440611,0.00384234395684514
"50",0.000526110127116064,0.00384233869260478
"51",0.000553084370147834,0.00384233315846295
"52",0.000581441612193756,0.00384232734058172
"53",0.000611252761129572,0.00384232122441366
"54",0.000642592360355558,0.00384231479466548
"55",0.000675538775193844,0.00384230803525994
"56",0.000710174388842549,0.00384230092929539
"57",0.00074658580837668,0.00384229345900371
"58",0.000784864081310932,0.00384228560570578
"59",0.000825104923265905,0.00384227734976493
