"","lambda","MSE"
"1",0.0000453999297624849,0.00164383638822429
"2",0.000047727633936802,0.0016438364709011
"3",0.0000501746820561753,0.00164383655781681
"4",0.0000527471930155139,0.0016438366491888
"5",0.0000554515994321769,0.00164383674524551
"6",0.0000582946637308688,0.0016438368462272
"7",0.0000612834950532221,0.00164383695238631
"8",0.0000644255670343554,0.00164383706398834
"9",0.0000677287364908539,0.00164383718131232
"10",0.0000712012630669027,0.00164383730465162
"11",0.0000748518298877006,0.00164383743431469
"12",0.0000786895652717947,0.00164383757062572
"13",0.0000827240655566322,0.00164383771392559
"14",0.0000869654190944029,0.00164383786457258
"15",0.0000914242314781733,0.00164383802294345
"16",0.0000961116520613947,0.00164383818943416
"17",0.000101039401837093,0.00164383836446105
"18",0.000106219802746459,0.00164383854846176
"19",0.000111665808490115,0.00164383874189642
"20",0.000117391036919118,0.00164383894524869
"21",0.00012340980408668,0.00164383915902709
"22",0.000129737160045754,0.00164383938376614
"23",0.000136388926482011,0.00164383962002784
"24",0.000143381736276293,0.00164383986840295
"25",0.000150733075095477,0.00164384012951255
"26",0.000158461325115751,0.00164384040400956
"27",0.000166585810987634,0.00164384069258036
"28",0.000175126848157658,0.00164384099594654
"29",0.000184105793667579,0.00164384131486668
"30",0.000193545099558094,0.00164384165013824
"31",0.000203468369010644,0.00164384200259958
"32",0.000213900415367661,0.00164384237313206
"33",0.000224867324178848,0.00164384276266221
"34",0.000236396518428641,0.00164384317216405
"35",0.000248516827107952,0.00164384360266157
"36",0.000261258557301668,0.00164384405523123
"37",0.000274653569972143,0.00164384453100475
"38",0.000288735359628203,0.00164384503117178
"39",0.000303539138078867,0.00164384555698302
"40",0.000319101922481203,0.0016438461097533
"41",0.000335462627902512,0.00164384669086484
"42",0.000352662164628256,0.00164384730177076
"43",0.000370743540459088,0.00164384794399862
"44",0.000389751968252755,0.0016438486191544
"45",0.000409734978979787,0.00164384932892634
"46",0.000430742540575688,0.00164385007508927
"47",0.000452827182886797,0.00164385085950903
"48",0.000476044129022269,0.00164385168414711
"49",0.000500451433440611,0.00164385255106556
"50",0.000526110127116064,0.00164385346243218
"51",0.000553084370147834,0.00164385442052592
"52",0.000581441612193756,0.00164385542774254
"53",0.000611252761129572,0.0016438564866007
"54",0.000642592360355558,0.00164385759974813
"55",0.000675538775193844,0.00164385876996837
"56",0.000710174388842549,0.00164386000018765
"57",0.00074658580837668,0.00164386129348224
"58",0.000784864081310932,0.00164386265308617
