"","lambda","MSE"
"1",0.0000453999297624849,0.000105159989784478
"2",0.000047727633936802,0.000105160217938808
"3",0.0000501746820561753,0.000105160457791112
"4",0.0000527471930155139,0.000105160709941182
"5",0.0000554515994321769,0.000105160975019565
"6",0.0000582946637308688,0.000105161253689148
"7",0.0000612834950532221,0.000105161546646799
"8",0.0000644255670343554,0.000105161854625119
"9",0.0000677287364908539,0.000105162178394278
"10",0.0000712012630669027,0.00010516251876394
"11",0.0000748518298877006,0.000105162876585283
"12",0.0000786895652717947,0.000105163252753135
"13",0.0000827240655566322,0.000105163648208196
"14",0.0000869654190944029,0.00010516406393943
"15",0.0000914242314781733,0.000105164500986485
"16",0.0000961116520613947,0.000105164960442336
"17",0.000101039401837093,0.000105165443456004
"18",0.000106219802746459,0.000105165951235432
"19",0.000111665808490115,0.000105166485050502
"20",0.000117391036919118,0.000105167046236224
"21",0.00012340980408668,0.000105167636196058
"22",0.000129737160045754,0.000105168256405453
"23",0.000136388926482011,0.000105168908415502
"24",0.000143381736276293,0.000105169593856862
"25",0.000150733075095477,0.000105170314443799
"26",0.000158461325115751,0.00010517107197851
"27",0.000166585810987634,0.000105171868355608
"28",0.000175126848157658,0.000105172705566869
"29",0.000184105793667579,0.000105173585706227
"30",0.000193545099558094,0.000105174510975011
"31",0.000203468369010644,0.000105175483687444
"32",0.000213900415367661,0.000105176506276439
"33",0.000224867324178848,0.000105177581299701
"34",0.000236396518428641,0.00010517871144613
"35",0.000248516827107952,0.000105179899542522
"36",0.000261258557301668,0.000105181148560676
"37",0.000274653569972143,0.000105182461624845
"38",0.000288735359628203,0.000105183842019511
"39",0.000303539138078867,0.000105185293197658
"40",0.000319101922481203,0.000105186818789388
"41",0.000335462627902512,0.000105188422611025
"42",0.000352662164628256,0.000105190108674685
"43",0.000370743540459088,0.000105191881198299
"44",0.000389751968252755,0.000105193744616192
"45",0.000409734978979787,0.000105195703590203
"46",0.000430742540575688,0.000105197763021341
"47",0.000452827182886797,0.000105199928062097
"48",0.000476044129022269,0.000105202204129319
"49",0.000500451433440611,0.000105204596917817
"50",0.000526110127116064,0.000105207112414635
"51",0.000553084370147834,0.000105209756914051
"52",0.000581441612193756,0.000105212537033346
"53",0.000611252761129572,0.00010521545972943
"54",0.000642592360355558,0.000105218532316264
"55",0.000675538775193844,0.000105221762483212
"56",0.000710174388842549,0.000105225158314338
"57",0.00074658580837668,0.000105228728308684
"58",0.000784864081310932,0.000105232481401593
"59",0.000825104923265905,0.000105236426987154
"60",0.000867408957307003,0.00010524057494176
"61",0.000911881965554516,0.000105244935648948
"62",0.000958635153694021,0.000105249520025433
"63",0.00100778542904851,0.000105254339548563
"64",0.00105945569290761,0.000105259406285146
"65",0.0011137751478448,0.000105264732921794
"66",0.00117087962079117,0.000105270332796781
"67",0.00123091190267348,0.000105276219933626
"68",0.00129402210546585,0.00010528240907635
"69",0.00136036803754789,0.00010528891572658
"70",0.00143011559830787,0.000105295756182544
"71",0.00150343919297757,0.000105302947580152
