"","lambda","MSE"
"1",0.0000453999297624849,0.000640114364424561
"2",0.000047727633936802,0.000640114340554353
"3",0.0000501746820561753,0.000640114315460289
"4",0.0000527471930155139,0.000640114289079632
"5",0.0000554515994321769,0.000640114261346411
"6",0.0000582946637308688,0.000640114232191269
"7",0.0000612834950532221,0.000640114201541317
"8",0.0000644255670343554,0.000640114169319906
"9",0.0000677287364908539,0.000640114135446471
"10",0.0000712012630669027,0.000640114099836307
"11",0.0000748518298877006,0.000640114062400378
"12",0.0000786895652717947,0.000640114023045057
"13",0.0000827240655566322,0.000640113981671959
"14",0.0000869654190944029,0.000640113938177607
"15",0.0000914242314781733,0.000640113892453271
"16",0.0000961116520613947,0.000640113844384581
"17",0.000101039401837093,0.000640113793851366
"18",0.000106219802746459,0.000640113740727262
"19",0.000111665808490115,0.00064011368487942
"20",0.000117391036919118,0.000640113626168206
"21",0.00012340980408668,0.000640113564446808
"22",0.000129737160045754,0.000640113499560891
"23",0.000136388926482011,0.000640113431348198
"24",0.000143381736276293,0.000640113359638167
"25",0.000150733075095477,0.000640113284251489
"26",0.000158461325115751,0.000640113204999666
"27",0.000166585810987634,0.000640113121684517
"28",0.000175126848157658,0.000640113034097709
"29",0.000184105793667579,0.000640112942020234
"30",0.000193545099558094,0.000640112845221853
"31",0.000203468369010644,0.000640112743460526
"32",0.000213900415367661,0.000640112636481791
"33",0.000224867324178848,0.000640112524018139
"34",0.000236396518428641,0.000640112405788369
"35",0.000248516827107952,0.000640112281496837
"36",0.000261258557301668,0.000640112150832753
"37",0.000274653569972143,0.000640112013469384
"38",0.000288735359628203,0.000640111869063268
"39",0.000303539138078867,0.000640111717253302
"40",0.000319101922481203,0.000640111557659893
"41",0.000335462627902512,0.000640111389883967
"42",0.000352662164628256,0.00064011121350601
"43",0.000370743540459088,0.000640111028084981
"44",0.000389751968252755,0.000640110833157242
"45",0.000409734978979787,0.00064011062823537
"46",0.000430742540575688,0.000640110412806953
"47",0.000452827182886797,0.000640110186333324
"48",0.000476044129022269,0.000640109948248185
"49",0.000500451433440611,0.000640109697956187
"50",0.000526110127116064,0.0006401094348315
"51",0.000553084370147834,0.00064010915821617
"52",0.000581441612193756,0.000640108867418521
"53",0.000611252761129572,0.000640108561711412
"54",0.000642592360355558,0.00064010824033045
"55",0.000675538775193844,0.00064010790247199
"56",0.000710174388842549,0.00064010754729125
"57",0.00074658580837668,0.00064010717390009
"58",0.000784864081310932,0.000640106781364858
"59",0.000825104923265905,0.000640106368704016
"60",0.000867408957307003,0.000640105934885741
"61",0.000911881965554516,0.000640105478825244
"62",0.000958635153694021,0.000640104999382188
"63",0.00100778542904851,0.000640104495357724
"64",0.00105945569290761,0.000640103965491555
"65",0.0011137751478448,0.000640103408458763
"66",0.00117087962079117,0.000640102822866514
"67",0.00123091190267348,0.000640102207250561
"68",0.00129402210546585,0.000640101560071572
"69",0.00136036803754789,0.0006401008797113
"70",0.00143011559830787,0.000640100164468551
"71",0.00150343919297757,0.000640099412554894
"72",0.00158052216873622,0.000640098622090207
"73",0.00166155727317393,0.000640097791097964
"74",0.00174674713626112,0.000640096917500345
"75",0.00183630477702891,0.000559801236270636
"76",0.00193045413622771,0.000559800492774027
"77",0.00202943063629574,0.000559799711157995
"78",0.00213348177003771,0.000559798889468153
"79",0.0022428677194858,0.000559798025649943
"80",0.00235786200649023,0.000559797117543442
"81",0.00247875217666636,0.000559796162878002
"82",0.0026058405184085,0.000559795159266591
"83",0.00273944481876837,0.000559794104199755
"84",0.00287989915808824,0.000559792995039414
"85",0.00302755474537582,0.000559791829012225
"86",0.00318278079650967,0.000559790603202684
"87",0.00334596545747127,0.000559789314545792
"88",0.00351751677491213,0.00055978795981943
"89",0.00369786371648293,0.000559786535636288
"90",0.00388745724347613,0.000559785038435405
"91",0.00408677143846407,0.00055978346447326
"92",0.00429630469075234,0.000559781809814409
"93",0.00451658094261267,0.000559780070321668
"94",0.00474815099941148,0.000559778241645738
"95",0.00499159390691022,0.000559776319214383
"96",0.00524751839918138,0.000559774298220929
"97",0.00551656442076078,0.000559772173612332
"98",0.00579940472684215,0.000640055359246613
"99",0.00609674656551564,0.000640052310179787
"100",0.00640933344625638,0.000640049104790659
"101",0.00673794699908547,0.000640045735065091
"102",0.00708340892905213,0.00064004219257817
"103",0.00744658307092434,0.000640038468473085
"104",0.00782837754922577,0.00055975391777873
"105",0.00822974704902003,0.000302424131347581
"106",0.00865169520312063,0.00030242534268444
"107",0.00909527710169582,0.000302426616130231
"108",0.00956160193054351,0.000302427954869594
"109",0.0100518357446336,0.000215848201887033
"110",0.0105672043838527,0.000215851472991847
"111",0.0111089965382423,0.000215854911834377
"112",0.0116785669703955,0.000132836716490803
"113",0.0122773399030684,0.000132856851616327
"114",0.0129068125804799,0.000132878020635454
"115",0.0135685590122009,0.000132900276719369
"116",0.0142642339089993,0.000134406956630189
"117",0.0149955768204777,0.000134412867769534
"118",0.0157644164848545,0.000134419082110909
"119",0.0165726754017613,0.000198814040237948
"120",0.0174223746394935,0.000134432483436259
"121",0.0183156388887342,0.000134439703977596
"122",0.0192547017753869,0.000134447294920087
"123",0.0202419114458044,0.000134455275275223
"124",0.0212797364383772,0.000134463665031405
"125",0.0223707718561656,0.000198849412681312
"126",0.0235177458560091,0.000134481757889566
"127",0.0247235264703394,0.000134491506318882
"128",0.0259911287787554,0.000134501754918127
"129",0.0273237224472926,0.000134512529369129
"130",0.0287246396542394,0.000198888179054969
"131",0.0301973834223185,0.000134535765225303
"132",0.031745636378068,0.000134548284873623
"133",0.0333732699603261,0.000198916543601962
"134",0.035084354100845,0.000198926984594071
"135",0.03688316740124,0.000198937961180091
"136",0.038774207831722,0.000198949500849207
"137",0.0407622039783662,0.000198961632503021
"138",0.0428521268670402,0.00019897438652826
"139",0.0450492023935578,0.000198987794873322
"140",0.0473589243911409,0.000199001891128706
"141",0.0497870683678639,0.000199016710611621
"142",0.0523397059484324,0.000199032290455004
"143",0.0550232200564073,0.000199048669701147
"144",0.0578443208748385,0.000199065889400131
"145",0.060810062625218,0.000199083992713471
"146",0.0639278612067076,0.000199103025023009
"147",0.0672055127397498,0.000199123034045566
"148",0.0706512130604296,0.000199144069953546
"149",0.0742735782143339,0.0000991165140369463
"150",0.0780816660011532,0.0000991529172763604
"151",0.0820849986238988,0.000424887199350719
"152",0.0862935864993706,0.000424880932771645
"153",0.0907179532894126,0.000424874344942233
"154",0.0953691622155497,0.000362363092357409
"155",0.100258843722804,0.000362365299147489
"156",0.105399224561864,0.000362367619088595
"157",0.110803158362334,0.000362370057982781
"158",0.116484157773497,0.00036237262192965
"159",0.122456428252982,0.000362375317341629
"160",0.128734903587804,0.000362378150959996
"161",0.135335283236613,0.000362381129871761
"162",0.142274071586514,0.000362384261527393
"163",0.149568619222635,0.000362387553759483
"164",0.157237166313628,0.000362391014802336
"165",0.165298888221587,0.000362394653312574
"166",0.173773943450445,0.000362398478390825
"167",0.182683524052735,0.000362402499604483
"168",0.192049908620754,0.000362406727011673
"169",0.201896517994655,0.000362411171186422
"170",0.212247973826743,0.000822426192685377
"171",0.22313016014843,0.000823045930249846
"172",0.234570288093798,0.000823697651491708
"173",0.246596963941606,0.000824383018182662
"174",0.259240260645892,0.000825103779593513
"175",0.272531793034013,0.000825861777220633
"176",0.28650479686019,0.000618445747140663
"177",0.301194211912202,0.000618394292024117
"178",0.316636769379053,0.000618340200724217
"179",0.33287108369808,0.000618283338288908
"180",0.349937749111156,0.000618223562868881
"181",0.367879441171442,0.000618160725366211
"182",0.386741023454502,0.000618094669065326
"183",0.406569659740599,0.000618025229245181
