"","lambda","MSE"
"1",0.0000453999297624849,0.000791441863103317
"2",0.000047727633936802,0.000791442355199901
"3",0.0000501746820561753,0.000791442872526954
"4",0.0000527471930155139,0.000791443416378105
"5",0.0000554515994321769,0.000791443988113263
"6",0.0000582946637308688,0.000791444589162113
"7",0.0000612834950532221,0.000791445221027581
"8",0.0000644255670343554,0.000791445885289745
"9",0.0000677287364908539,0.000791446583609603
"10",0.0000712012630669027,0.000791447317733362
"11",0.0000748518298877006,0.000791448089496769
"12",0.0000786895652717947,0.000791448900829693
"13",0.0000827240655566322,0.000791449753760908
"14",0.0000869654190944029,0.00079145065042328
"15",0.0000914242314781733,0.000791451593058983
"16",0.0000961116520613947,0.000791452584025185
"17",0.000101039401837093,0.000791453625799847
"18",0.000106219802746459,0.000791454720988101
"19",0.000111665808490115,0.000791455872328557
"20",0.000117391036919118,0.000791457082700251
"21",0.00012340980408668,0.000791458355129901
"22",0.000129737160045754,0.00079145969279935
"23",0.000136388926482011,0.000791461099053622
"24",0.000143381736276293,0.000791462577409264
"25",0.000150733075095477,0.000791464131563065
"26",0.000158461325115751,0.000791465765401469
"27",0.000166585810987634,0.000791467483010105
"28",0.000175126848157658,0.000791469288684136
"29",0.000184105793667579,0.00079147118693898
"30",0.000193545099558094,0.000791473182521511
"31",0.000203468369010644,0.000791475280422062
"32",0.000213900415367661,0.000791477485886847
"33",0.000224867324178848,0.000791479804431082
"34",0.000236396518428641,0.000791482241852752
"35",0.000248516827107952,0.000791484804247156
"36",0.000261258557301668,0.000791487498022161
"37",0.000274653569972143,0.00079149032991421
"38",0.000288735359628203,0.000791493307005124
"39",0.000303539138078867,0.000791496436739946
"40",0.000319101922481203,0.0007914997269454
"41",0.000335462627902512,0.000791503185849619
"42",0.000352662164628256,0.000791506822102632
"43",0.000370743540459088,0.000791510644798018
"44",0.000389751968252755,0.000791514663495721
"45",0.000409734978979787,0.000791518888245877
"46",0.000430742540575688,0.000791523329614011
"47",0.000452827182886797,0.000791527998707468
"48",0.000476044129022269,0.000791532907203167
"49",0.000500451433440611,0.00079153806737689
"50",0.000526110127116064,0.000791543492133891
"51",0.000553084370147834,0.000791549195041306
"52",0.000581441612193756,0.000791555190362001
"53",0.000611252761129572,0.000791561493090315
"54",0.000642592360355558,0.000791568118989589
"55",0.000675538775193844,0.000791575084631585
"56",0.000710174388842549,0.000791582407437985
"57",0.00074658580837668,0.00079159010572396
"58",0.000784864081310932,0.000791598198744052
"59",0.000825104923265905,0.000791606706740355
"60",0.000867408957307003,0.000791615650993172
"61",0.000911881965554516,0.000791625053874278
"62",0.000958635153694021,0.000791634938902968
"63",0.00100778542904851,0.00079164533080489
"64",0.00105945569290761,0.000791656255573993
"65",0.0011137751478448,0.000791667740537561
"66",0.00117087962079117,0.000791679814424741
"67",0.00123091190267348,0.000791692507438327
"68",0.00129402210546585,0.000791705851330586
"69",0.00136036803754789,0.000791719879482649
"70",0.00143011559830787,0.00079173462698819
"71",0.00150343919297757,0.000791750130741289
"72",0.00158052216873622,0.000791766429528957
"73",0.00166155727317393,0.000791783564128201
"74",0.00174674713626112,0.000791801577408314
"75",0.00183630477702891,0.000791820514438195
"76",0.00193045413622771,0.000791840422599411
"77",0.00202943063629574,0.000791861351704942
"78",0.00213348177003771,0.000791883354123968
"79",0.0022428677194858,0.000791906484913352
"80",0.00235786200649023,0.000791930801955518
"81",0.00247875217666636,0.000791956366103768
"82",0.0026058405184085,0.000791983241334827
"83",0.00273944481876837,0.000792011494909397
"84",0.00287989915808824,0.000792041197540953
"85",0.00302755474537582,0.000792072423573179
"86",0.00318278079650967,0.000872258934272021
"87",0.00334596545747127,0.000918430925144497
"88",0.00351751677491213,0.000918467208481255
"89",0.00369786371648293,0.000918505352756191
"90",0.00388745724347613,0.000918545453450207
"91",0.00408677143846407,0.000918587610946763
"92",0.00429630469075234,0.000918631930784116
"93",0.00451658094261267,0.000918678523920351
"94",0.00474815099941148,0.000918727507012227
"95",0.00499159390691022,0.000918779002708377
"96",0.00524751839918138,0.000918833139957633
"97",0.00551656442076078,0.000918890054333351
"98",0.00579940472684215,0.000918949888374291
"99",0.00609674656551564,0.000787380902564648
"100",0.00640933344625638,0.000787421547868432
"101",0.00673794699908547,0.000787464278070489
"102",0.00708340892905213,0.000787509200167713
"103",0.00744658307092434,0.000787556426653591
"104",0.00782837754922577,0.000787606075801114
"105",0.00822974704902003,0.000787658271960325
