"","lambda","MSE"
"1",0.0000453999297624849,0.000135807417738951
"2",0.000047727633936802,0.000135807544769799
"3",0.0000501746820561753,0.000135807678313712
"4",0.0000527471930155139,0.000135807818704636
"5",0.0000554515994321769,0.000135807966293634
"6",0.0000582946637308688,0.000135808121449761
"7",0.0000612834950532221,0.000135808284561004
"8",0.0000644255670343554,0.000135808456035241
"9",0.0000677287364908539,0.000135808636301254
"10",0.0000712012630669027,0.000135808825809831
"11",0.0000748518298877006,0.00013580902503485
"12",0.0000786895652717947,0.000135809234474509
"13",0.0000827240655566322,0.000135809454652529
"14",0.0000869654190944029,0.000135809686119503
"15",0.0000914242314781733,0.000135809929454241
"16",0.0000961116520613947,0.00013581018526524
"17",0.000101039401837093,0.000135810454192194
"18",0.000106219802746459,0.0001358107369076
"19",0.000111665808490115,0.000135811034118435
"20",0.000117391036919118,0.000135811346567925
"21",0.00012340980408668,0.00013581167503741
"22",0.000129737160045754,0.000135812020348291
"23",0.000136388926482011,0.000135812383364084
"24",0.000143381736276293,0.000135812764992588
"25",0.000150733075095477,0.000135813166188153
"26",0.000158461325115751,0.000135813587954061
"27",0.000166585810987634,0.00013581403134503
"28",0.000175126848157658,0.00013581449746988
"29",0.000184105793667579,0.000135814987494275
"30",0.000193545099558094,0.000135815502643661
"31",0.000203468369010644,0.000135816044206316
"32",0.000213900415367661,0.000135816613536579
"33",0.000224867324178848,0.000135817212058249
"34",0.000236396518428641,0.00013581784126812
"35",0.000248516827107952,0.000135818502739754
"36",0.000261258557301668,0.000135819198127406
"37",0.000274653569972143,0.000135819929170162
"38",0.000288735359628203,0.000135820697696281
"39",0.000303539138078867,0.000135821505627794
"40",0.000319101922481203,0.00013582235498529
"41",0.000335462627902512,0.000135823247892977
"42",0.000352662164628256,0.000135824186584012
"43",0.000370743540459088,0.000135825173406064
"44",0.000389751968252755,0.00013582621082722
"45",0.000409734978979787,0.000135827301442133
"46",0.000430742540575688,0.000135828447978522
"47",0.000452827182886797,0.000135829653304023
"48",0.000476044129022269,0.000135830920433327
"49",0.000500451433440611,0.000135832252535759
"50",0.000526110127116064,0.000135833652943197
"51",0.000553084370147834,0.000135835125158414
"52",0.000581441612193756,0.000135836672863838
"53",0.000611252761129572,0.000135838299930804
"54",0.000642592360355558,0.000135840010429198
"55",0.000675538775193844,0.000135841808637688
