,brr1_lnSE
0,-10.337778577470672
1,-6.173373652928846
2,-6.021514277160895
3,-4.108601801971267
4,-6.068225047445067
5,-6.625431856888086
6,-6.5284527344476695
7,-7.043535975740169
8,-8.542347700571346
9,-9.509251465634787
10,-9.263321657121843
11,-7.592536441451477
12,-10.110522982531378
13,-12.631606274577292
14,-8.269363954716137
15,-8.826121374836688
16,-6.716742568837533
17,-10.456155619784235
18,-6.392423798468775
19,-12.126700636380471
20,-3.085044651450047
21,-5.41173596209712
22,-5.692402186959808
23,-7.446963043194009
24,-8.187921193930881
25,-6.018936458185649
26,-5.736320673519055
27,-7.5319238196735645
28,-7.8691031942419905
29,-9.570531736755239
30,-8.584866506150252
31,-8.663043911337036
32,-6.370500056550522
33,-15.50642328580605
34,-7.992328757873623
35,-7.381762132948412
36,-7.944995788097144
37,-5.722201262243066
38,-6.655935627669874
39,-11.925965216163073
40,-8.13232033937529
41,-7.409102094376804
42,-9.817236193092857
43,-6.405435935648661
44,-7.438544775185011
45,-8.662042471279078
46,-7.826539929209729
47,-9.038675164070547
48,-10.690227356654619
49,-8.32349313067745
50,-10.163212718096313
51,-9.574881766582916
52,-7.866582950440382
53,-7.258409997021686
54,-16.910301281950158
55,-8.30065921188978
56,-7.464313445529834
57,-9.369805132627729
58,-9.37095559175183
59,-11.490996349189897
60,-5.983391324178362
61,-6.9420299245583275
62,-11.634877672305116
63,-9.620229111874359
64,-10.347361927624872
65,-10.825576693345255
66,-15.279515634403909
67,-11.143931374665152
68,-7.682893808751969
69,-5.886621383933656
70,-6.1210065772449775
71,-10.430226365914935
72,-13.186267464465159
73,-8.856934119028036
74,-9.433631236091946
75,-8.27704240930963
76,-9.084061181438905
77,-6.6705464390822735
78,-7.8674051923305335
79,-6.284284907423297
80,-8.988081203989886
81,-8.096354206058457
82,-9.242606339206914
83,-10.659541404306301
84,-8.585745764291593
85,-7.435801744223671
86,-8.452212302883254
87,-7.672117620803737
88,-14.842521892893883
89,-8.431453648827818
90,-9.62641296817583
91,-11.639322409740146
92,-9.743482046567399
93,-8.009539777446088
94,-12.437225502198102
95,-13.263920416976958
96,-10.254696019766968
97,-10.086555153606486
98,-7.692609610435042
99,-9.759529892344231
100,-9.126942001655243
101,-6.993976888760898
102,-8.810973756429506
103,-10.171422540141666
104,-8.520934381685034
105,-14.020913027953862
106,-10.630575017316138
107,-8.600674438529582
108,-10.300053483142767
109,-8.149744085999338
110,-12.192390704145255
111,-7.8162300604501445
112,-7.943122483770664
113,-8.528124770558238
114,-8.1617120007319
115,-11.547289427406135
116,-7.589551303091339
117,-8.241102814711045
118,-12.688658546003738
119,-8.011753378852202
120,-8.93397552694803
121,-11.702926670061068
122,-8.031760972598141
123,-13.538652581840013
124,-9.047229173800039
125,-9.316281327802075
126,-8.070726496857267
127,-11.883685442974711
128,-7.454257327978592
129,-5.8959267311889665
130,-7.354689486538073
131,-8.574974471122715
132,-11.969780896039776
133,-9.006981867387998
134,-12.419088809503716
135,-8.829018326858296
136,-8.150756260136584
137,-9.975724222868704
138,-8.914293576506989
139,-9.691387568932056
140,-10.224998254846392
141,-9.623303435302452
142,-8.06310732356643
143,-8.308109567017558
144,-11.099901798741799
145,-8.30388906982089
146,-8.129224691200234
147,-6.807473095637971
148,-7.629891643034465
149,-8.805411616633034
150,-9.644014456751629
151,-9.439196782372914
152,-6.840201328631585
153,-8.729211037953476
154,-8.690468220750544
155,-11.43259432134811
156,-6.537946793716794
157,-6.272094648965727
158,-7.587227187353034
159,-11.475908779816272
160,-7.387623155495244
161,-8.181081438028045
162,-9.741458515083956
163,-8.534364519026294
164,-7.125406313438576
165,-8.491422654727051
166,-10.444226841663054
167,-7.283952480480722
168,-8.086234632009402
169,-8.194460776740183
170,-7.5217118131293175
171,-11.338647723982843
172,-6.265042246628603
173,-6.913537649491169
174,-7.380236092085381
175,-7.795101330299006
176,-7.286316242281416
177,-9.603626006205102
178,-8.834406588131323
179,-11.848814886318223
180,-11.346846416833724
181,-8.111817868577646
182,-8.466483896263224
183,-7.516666678805797
184,-12.38678207396255
185,-9.612823759814415
186,-8.830646578886673
187,-9.393678852866284
188,-11.45283741944398
189,-8.12765824806204
190,-8.327441696907394
191,-13.761186277778158
192,-12.901492293560349
193,-7.12027688174209
194,-9.47337835014688
195,-7.118572227449499
196,-6.977325560092984
197,-6.09632721483531
198,-7.393436967376204
199,-8.686915391803652
200,-9.02358522220134
201,-14.433326566677188
202,-10.65708614929687
203,-9.169814083416146
204,-9.77938891552882
205,-9.378089601940589
206,-10.32394771510675
207,-9.641010698337382
208,-9.324988995934994
209,-12.356938573318432
210,-6.769719839658382
211,-17.259962114745385
212,-9.397938890704612
213,-15.90895798172122
214,-7.983490899888278
215,-8.200935274010305
216,-12.11811692781772
217,-6.761675736566034
218,-8.970022247579523
219,-12.452629389911127
220,-15.023554299237242
221,-12.382989592137168
222,-7.779658655243805
223,-14.352832362720457
224,-9.06720615132469
225,-10.038422532737421
226,-7.491242706739401
227,-10.059831039044596
228,-9.16479512475466
229,-9.965169470687522
230,-10.793337905950235
231,-10.125305598575515
232,-10.81762175109473
233,-7.745404153424539
234,-9.81335297578729
235,-10.162525882356539
236,-9.017417888098672
237,-13.695606880378868
238,-12.040472638143422
239,-8.979004810367568
240,-8.283005035064248
241,-9.552921254344522
242,-8.068224585493212
243,-9.220975997854335
244,-10.54808554131683
245,-10.47742881796731
246,-11.487055787799124
247,-16.303746693725735
248,-9.325307634834004
249,-7.890291032836997
250,-11.812910232943622
251,-10.785347321566153
252,-8.35062037010756
253,-11.416141850622747
254,-11.62098638701641
255,-9.074387304715515
256,-9.77040772701963
257,-9.023493966561313
258,-7.574447227038344
259,-8.19875023979272
260,-11.200496441404637
261,-11.397680824072218
262,-13.561574289971027
263,-8.640618470674069
264,-7.173320483057609
265,-12.020118223422397
266,-10.084412330720575
267,-10.122301958557602
268,-7.379778437506761
269,-10.351219334390752
270,-10.696043972688871
271,-10.756496990898714
272,-11.504257750502497
273,-8.561354339869041
274,-9.432729867382038
275,-8.09702178633755
276,-7.986186550166869
277,-9.387446401391506
278,-10.297505951033127
279,-10.429508483710684
280,-13.081431401894653
281,-10.257838869554615
282,-11.946749923757153
283,-10.988392013341736
284,-13.709515737752687
285,-8.578324046304578
286,-10.045526421827562
287,-7.678885952335266
288,-8.059457592453118
289,-9.92483765506191
290,-9.945968557022752
291,-9.573955530569638
292,-13.013180930458656
293,-12.144346897777124
294,-10.763118763605695
295,-11.063007068973928
296,-11.063149603375818
297,-9.837660515823034
298,-7.965444861679094
299,-6.414013296764974
300,-9.164441976412185
301,-9.245911940760616
302,-9.675008442274777
303,-8.739152927967977
304,-7.0226005965365355
305,-7.096835404117693
306,-9.845510968155601
307,-13.929860165646469
308,-8.905136607127607
309,-10.562895889351216
310,-10.527513442534744
311,-12.20178938148395
312,-8.513223147023705
313,-11.730272292486173
314,-12.312061428418959
315,-9.910881797951488
316,-9.750072731389249
317,-9.638379228398758
318,-7.597358996905377
319,-8.969235534387272
320,-9.556539954295316
321,-10.972843867191791
322,-12.268365503462592
323,-9.779643441121712
324,-12.289936500115466
325,-10.399684811774845
326,-12.70429523902951
327,-7.214018257159375
328,-7.557156920881332
329,-9.724563103438989
330,-14.51189525625191
331,-8.957306985588541
332,-9.575797844213557
333,-9.864892240333335
334,-11.253195416174462
335,-10.365431212967016
336,-9.011421479523968
337,-14.82379929255188
338,-8.043627789846987
339,-12.961274649687834
340,-9.410103906301915
341,-10.294788203123627
342,-8.427171976137197
343,-14.749250236978833
344,-10.91054345994373
345,-10.613950475942062
346,-9.657715290589799
347,-8.203256959758797
348,-9.071397645246662
349,-11.844918267019239
350,-8.1683226271183
351,-12.442003923150187
352,-8.529482370515625
353,-7.2118711133302975
354,-10.227582704285387
355,-10.695565983981979
356,-6.320077778325736
357,-6.818823393261129
358,-12.763382130452678
359,-9.164087284411835
360,-10.565500768665869
361,-9.202500086372789
362,-7.661664956386993
363,-11.581944733080016
364,-9.376751439420996
365,-9.495393111664349
366,-11.142487232806205
367,-7.972789046427368
368,-11.954844524704535
369,-9.672264805777722
370,-9.727777465339704
371,-7.489469777388426
372,-11.026161133012112
373,-10.220767511130404
374,-13.11994692825937
375,-9.558023121065109
376,-12.494058920278839
377,-9.772957744672388
378,-6.357152494711167
379,-10.941853278254484
380,-11.038557765333676
381,-10.705704397363753
382,-8.332342645189536
383,-9.582229226176901
384,-16.45409435665962
385,-8.82179434388513
386,-7.796445703866049
387,-9.866356471853166
388,-8.513490263669555
389,-12.166147575377293
390,-8.048329951734987
