,pap_lnSE
0,-6.862483954858956
1,-6.378028806940087
2,-4.96973550155377
3,-4.526344861707393
4,-4.8555589472422955
5,-8.027948241703031
6,-6.382222601102454
7,-5.582329704357712
8,-9.137960530659525
9,-9.90080814580493
10,-8.977315824674822
11,-7.680041094301633
12,-7.628012073858156
13,-11.323431184891936
14,-7.94469353892935
15,-7.723053685436776
16,-6.512084371857794
17,-9.158520613091683
18,-6.277719513988659
19,-7.837823461390532
20,-3.0633920755055692
21,-3.2219647078973574
22,-6.799783177807595
23,-9.165149747387423
24,-14.09068255922819
25,-7.238511600104912
26,-5.186013472192484
27,-10.429580365990466
28,-7.134220779268212
29,-9.127685487893078
30,-10.40421996403953
31,-8.852223018707905
32,-6.667055270725351
33,-8.2262504679772
34,-8.263992156002207
35,-6.548014235780437
36,-6.977938944370659
37,-6.014220758670833
38,-8.58421311618237
39,-8.516402644762783
40,-7.256806102413702
41,-7.714939642171754
42,-7.620897230662506
43,-6.3864321128658865
44,-6.412094011739005
45,-10.131839572143235
46,-7.593982533134309
47,-12.588662162358169
48,-10.265091842981105
49,-8.295687642612046
50,-12.892618746291273
51,-12.210036261440155
52,-7.266967961908104
53,-6.750474831597831
54,-8.91932936348084
55,-8.340741790322978
56,-7.165823297599722
57,-11.156697223307043
58,-9.971296280984324
59,-10.56786490749727
60,-5.806399845666682
61,-5.762098679434169
62,-8.163939538017097
63,-11.510556096334229
64,-10.669466686904736
65,-11.909050676003654
66,-19.967897321008703
67,-10.143230842038136
68,-7.652961377950682
69,-5.531527751684331
70,-5.248061874463932
71,-8.25653294894138
72,-14.147551485795855
73,-9.92882020380013
74,-7.873117478412698
75,-9.389657275709764
76,-10.15884925063239
77,-6.364430009536135
78,-10.400794080694162
79,-5.846574916700665
80,-7.268914728094781
81,-9.462909913246756
82,-9.707246537945418
83,-9.107293442967569
84,-9.300895607586925
85,-6.899701064058922
86,-7.298805272472363
87,-8.540463833846374
88,-9.508239796526524
89,-8.101227374984447
90,-9.911970131912268
91,-9.842916315276414
92,-9.589414855033223
93,-8.50703059421998
94,-8.722348070626019
95,-13.9280294138508
96,-9.313776931989972
97,-9.438751578500078
98,-7.965296668975602
99,-8.009946437562778
100,-8.917370675849218
101,-6.48255854494168
102,-7.2192872938294075
103,-14.980620738891837
104,-8.886242742979073
105,-9.920600398703591
106,-9.194565046654741
107,-8.486937459691413
108,-13.176306649413831
109,-7.877862114872933
110,-9.858623963478868
