,pap_lnSE
0,-7.2070546971665586
1,-9.121681749101947
2,-9.29201054465578
3,-4.426772414147789
4,-5.437342735368057
5,-7.773925078619465
6,-10.710784766753882
7,-7.860568916198053
8,-12.495522954518025
9,-13.117480165493527
10,-7.789168403154836
11,-9.08355747065758
12,-7.475590830104518
13,-10.216589967133551
14,-9.45539884332703
15,-11.062682370715866
16,-6.957526113468137
17,-7.413249238034735
18,-10.336364927123856
19,-9.6918462729996
20,-5.002399527274995
21,-4.893337592882184
22,-6.748588551845066
23,-6.630071944115206
24,-9.082914108044871
25,-7.077032721160469
26,-6.451457476427677
27,-9.471788510454882
28,-7.65877330476842
29,-13.964369999974096
30,-12.616482687814143
31,-11.87883197280975
32,-8.480490164730142
33,-9.204573113366127
34,-9.39632210920335
35,-7.636361176877146
36,-6.768907017039378
37,-9.904741299746869
38,-15.66681663454111
39,-11.394694587694381
40,-7.820718229266952
41,-9.533956752855063
42,-8.554661042699927
43,-7.82592703360299
44,-10.238668118716287
45,-9.928992056803894
46,-8.603093265920261
47,-13.954206589643103
48,-10.950653925487714
49,-7.389467845322746
50,-8.587155596119635
51,-10.010310036283894
52,-8.458530725306092
53,-7.021979296846759
54,-8.192301556217402
55,-13.54337471070515
56,-8.726881069664662
57,-12.308383009127692
58,-11.839102086127214
59,-11.857816511800678
60,-8.290524023814108
61,-7.806958483403231
62,-9.640901324702597
63,-11.227112093342363
64,-10.484523509268174
65,-9.15127743241583
66,-11.555108487211811
67,-8.025865942369157
68,-9.229362882666605
69,-10.209509308390786
70,-8.172614182457915
71,-8.576012226044261
72,-9.13285946130982
73,-14.07049805623755
74,-9.484899371490737
75,-10.647284744112842
76,-8.397004106095617
77,-7.440933350054534
78,-8.95303604659553
79,-8.675433802524783
80,-8.011918888403436
81,-12.42831880659312
82,-10.940116070439581
83,-8.816290309607101
84,-11.134330211291045
85,-9.11559050285574
86,-8.53421380272395
87,-8.449080773603681
88,-8.905258008091673
89,-10.47860126477658
90,-10.528905489633754
91,-9.561607882540102
92,-11.032276978095888
93,-8.150537802558357
94,-8.365814607054846
95,-12.157165647536711
96,-11.02825963768431
97,-8.465706582834086
98,-13.562331538826147
99,-7.174623633541558
100,-7.703271526432609
101,-8.42558487675537
102,-11.558561757923206
103,-11.292251181269405
104,-9.116850520005578
