,pap_lnSE
0,-7.194040647909954
1,-7.5143070091346384
2,-7.6940288987901235
3,-3.9920509753678197
4,-4.103480371168267
5,-7.697997842319591
6,-7.594940814065251
7,-8.30857584294441
8,-11.440999762079755
9,-12.36711368386831
10,-12.05042775608981
11,-20.04589396165186
12,-11.612569741157051
13,-8.507633233732836
14,-7.253032758840034
15,-10.758400703814203
16,-10.863960180215896
17,-8.830875261392503
18,-8.609810919626115
19,-10.895063587384126
20,-5.236973554840192
21,-5.420007144506393
22,-10.975848011425791
23,-7.651826697196697
24,-14.276463549260615
25,-9.120948767747777
26,-7.951046470640525
27,-8.941723714662535
28,-8.529504054052186
29,-8.077191008782632
30,-15.565162896740683
31,-7.48464796669746
32,-5.726180221504897
33,-8.979038584752356
34,-7.327716923478541
35,-8.022360224357058
36,-6.9808983451650715
37,-8.121821640904047
38,-8.773208165922632
39,-9.57845140893577
40,-6.448496080032129
41,-8.490054106453524
42,-11.891520420619727
43,-8.942613377628863
44,-8.134665477993341
45,-9.631600586318847
46,-8.866828714570877
47,-8.723417976901331
48,-15.193745398650536
49,-11.391801374698547
50,-8.298099935066107
51,-9.528304228950587
52,-6.976951527854889
53,-6.195617165010838
54,-7.358153215528974
55,-7.686238005142794
56,-6.824181219589678
57,-9.350124098986543
58,-8.724967625935863
59,-10.924261481274657
60,-7.9315666764097
61,-8.139218441423523
62,-7.894983383403373
63,-6.660559003304912
64,-8.586707447345965
65,-8.91189808091905
66,-9.662492783663046
67,-12.702353953744556
68,-14.232158701419536
69,-10.516406173175323
70,-8.072475385809748
71,-6.754870991408215
72,-6.512868608516045
73,-12.500627933415245
74,-9.33893076303477
75,-10.089446512654762
76,-10.10939948295114
77,-7.652862250704912
78,-10.400319393357933
79,-6.525700787536375
80,-6.619438493854347
81,-9.600521701757657
82,-10.950424302268882
83,-10.374519823977682
84,-12.753158889811289
85,-7.522712800220221
86,-7.355483460842027
87,-9.831007223804722
88,-9.592274435903752
89,-9.526133024084562
90,-20.492241203147508
91,-10.55653585104312
92,-10.776544475505816
93,-8.751817235269407
94,-7.890216858255464
95,-7.9964735112764735
96,-8.15619381744614
97,-16.427826806307344
98,-8.468054950125971
99,-13.09253769536271
100,-10.500916267800052
101,-9.56232372032189
102,-16.15712245947731
103,-9.27612883126981
104,-8.603038662056598
105,-11.651731734024798
106,-15.770308020274388
107,-9.432361944474387
108,-8.878403100089027
109,-7.135888544580235
110,-8.992257470070058
111,-12.981394970940462
112,-8.058708084086376
113,-10.721133375991393
114,-7.569611254140615
115,-8.967319669484835
116,-9.718080581974249
117,-7.961510984160336
118,-7.623948913022593
119,-7.728187027585158
120,-9.049336961088546
121,-11.83578587505285
122,-8.780996202078875
123,-9.929803447131054
124,-8.387345782734965
125,-8.018239175040778
126,-8.948186365859401
127,-11.364976217315558
128,-7.551540437836063
129,-7.617577422762905
130,-10.830491971425934
131,-9.567968873178394
132,-9.485076737765024
133,-6.757928173272342
134,-8.003042077750303
135,-9.491805498362842
136,-8.345883320713805
137,-20.768930524113557
138,-11.066748633274162
139,-7.737133705819588
140,-9.548894022501381
141,-8.892473620370884
142,-8.418676839596195
143,-8.877882757380126
144,-11.678531202353396
145,-7.824697207897283
146,-9.784802220256427
147,-8.832167244978105
148,-7.628294131842228
149,-9.622219341120779
150,-9.908275239276628
151,-10.753981417404276
152,-7.11987003406533
153,-6.972362163310656
154,-10.556704045616051
155,-8.686364074473822
156,-10.616383503353552
157,-8.199152190470256
158,-4.626396988769899
159,-5.163031332936728
160,-7.289443029873593
161,-9.863096900955602
162,-7.363941265395958
163,-6.362285232976768
164,-8.36338147236552
165,-10.107612668107956
166,-8.477732149207514
167,-7.8087248933622275
168,-8.526804323019622
169,-7.8600846837378535
170,-7.200734678847739
171,-6.751293202690042
172,-5.5465984151861765
