,pap_lnSE
0,-6.746644893220223
1,-6.1957459082551765
2,-5.758940111794787
3,-4.658725631939383
4,-5.03419067819809
5,-7.754029527622354
6,-8.67186602253311
7,-7.308905646869375
8,-17.584852343613132
9,-11.97828057154002
10,-9.481802142460378
11,-9.953251015667892
12,-7.705188063405171
13,-11.518217817480997
14,-8.092750708355567
15,-8.421269797119514
16,-7.009884400861519
17,-8.95414668329425
18,-7.8159145171583075
19,-14.937396870098869
20,-4.702047697915602
21,-4.688251276177088
22,-7.94342575048699
23,-19.093540437779318
24,-8.472909544892161
25,-11.929239507821917
26,-6.925542943870248
27,-10.462968523123587
28,-13.115488449103852
29,-8.014367299590347
30,-8.802762171207897
31,-9.005420674211285
32,-7.697001291871318
33,-9.238188878510785
34,-9.30792256952947
35,-6.832120101950577
36,-8.755326491131562
37,-6.77079990215125
38,-7.7909297363295575
39,-12.483129298038321
40,-6.680394422570737
41,-7.837266623315207
42,-8.32209689238221
43,-7.346636608455922
44,-7.145895322564664
45,-11.438287986701752
46,-7.51928125071384
47,-8.434278117298211
48,-12.92906600337726
49,-9.912513835928246
50,-8.71126028427148
51,-11.452880222061733
52,-7.0501673517345145
53,-6.354896292958628
54,-8.498034590921941
55,-7.476222594006016
56,-7.150768270824258
57,-10.737088149297449
58,-11.042542972255207
59,-8.500468994958977
60,-9.768546385117002
61,-7.361289418775933
62,-7.369541645121585
63,-7.055941795087328
64,-8.823173859061976
65,-7.67823743034855
66,-10.835284087811061
67,-11.142685515685395
68,-10.075105521097983
69,-11.17785881841118
70,-8.299045697901546
71,-8.226594268980653
72,-7.354717291430917
73,-15.259049812864406
74,-9.180299963696845
75,-8.813002949117195
76,-15.7399757638422
77,-7.418379890106086
78,-11.929763043082861
79,-5.675033310162189
80,-5.732702078900479
81,-10.449964701957162
82,-8.630779666640958
83,-8.647164817505455
84,-12.069265753174514
85,-9.00668682189253
86,-9.183345869664718
87,-9.494062017343104
88,-9.095726465636359
89,-8.34850771857393
90,-11.770423992488556
91,-8.744157435728242
92,-11.959167741457989
93,-9.385201242249947
94,-10.296031182411253
95,-11.454790096875747
96,-9.659523212015381
97,-9.126723850431464
98,-8.196206505805353
99,-11.514519735477727
100,-12.653873187000539
101,-10.21437869741864
102,-11.527274725520243
103,-10.607827877681911
104,-7.999593279188166
105,-9.490745058886782
106,-12.32845509241252
107,-9.608090025218624
108,-7.920213325494056
109,-7.23234498609649
110,-9.364239941626343
111,-7.906111165187636
112,-14.160592557862554
113,-9.90009678457375
114,-8.054358922381253
115,-9.19514445999291
116,-10.44347243302858
117,-9.658941824131084
118,-7.053862907414028
119,-7.3412858789758975
120,-8.280384637769519
121,-9.521055019521551
122,-10.719464190135408
123,-8.776736294629748
124,-14.466090641105412
125,-7.282526306429796
126,-7.559302418011088
127,-8.252436795425508
128,-6.941280341532173
129,-8.213745719465312
130,-8.21987999675532
131,-7.635059171557008
132,-17.961841474668738
133,-7.1151865094308695
134,-8.50640383704438
135,-10.884028892912681
136,-9.142270823679553
137,-14.18662841604291
138,-14.159306991506702
139,-8.842839311473183
140,-8.035475334537447
141,-9.886787701421467
142,-11.096383740726147
143,-8.341729297983216
144,-9.940779471615777
145,-8.772779755206372
146,-10.482709725391176
147,-8.729708432198981
148,-8.541329537527744
149,-10.209445808770736
150,-9.090162526907921
151,-14.877181186936877
152,-6.658350652915823
153,-6.56056106338681
154,-12.724043491903396
155,-25.15043491405907
156,-8.794892828566411
157,-7.813465825338958
158,-4.458289017998559
159,-4.829085029148583
160,-8.440458881256454
161,-14.635470560305484
162,-8.192558009629227
163,-6.7562098350005995
164,-7.386163619808183
165,-7.052878318393379
166,-9.628982625891823
167,-7.413569745218085
168,-8.403532795319318
169,-7.457138479723248
170,-7.624240647891589
171,-7.958743539321586
172,-5.404550068597601
173,-5.046190462383059
174,-10.82211879214949
175,-9.994078288222992
176,-6.669929006220918
177,-7.268324968012068
178,-10.899721131318591
179,-9.917554472497157
180,-9.580191544881334
181,-13.410548192728294
182,-9.103555854919087
183,-8.850718481166925
184,-7.874575943987276
185,-9.15045685210605
186,-12.557616999573277
187,-12.076003704256237
188,-12.278468828850688
189,-12.042515127317023
190,-7.744235949840058
191,-8.400380763542275
192,-7.251881730105562
193,-5.39068308905885
194,-8.216387141628655
195,-9.912913103197063
196,-5.3228281241661515
197,-5.510111939655695
198,-8.476775546469216
199,-7.309430582470838
200,-12.476599579297332
201,-8.850135684612392
202,-9.297566590743871
203,-15.801850878382853
204,-10.78788000324188
205,-9.788184735953159
206,-11.392166068184077
207,-9.44337851531659
208,-11.58007443095427
209,-9.891692275094728
210,-11.023223409393209
211,-8.957200005356354
212,-9.300115825067058
213,-7.389482917544802
214,-8.985918356185602
215,-10.229450738223584
216,-19.646306129180196
217,-6.215788685110501
218,-5.869234031001142
219,-8.130514758606203
220,-8.29220745566878
221,-10.30884750237638
222,-9.725134067692334
223,-7.215984880075763
224,-9.133955856285633
225,-7.458358994394214
226,-8.853935174279822
227,-7.5622807857832175
228,-17.634055892540317
229,-15.104929167024784
230,-10.365551871752245
231,-9.156662222045256
232,-7.699049360248349
233,-7.422053032853452
234,-10.876099255014237
235,-11.446696339730392
236,-10.72405514066797
237,-13.250687292889218
238,-12.004797180202207
239,-8.775462145536597
240,-14.77358896410809
241,-9.678961009523418
242,-8.125693621882876
243,-11.970947315384745
244,-8.04641840893843
245,-10.966018768313463
246,-10.223605669676939
247,-10.012005577092177
248,-10.520546613349358
249,-10.397634323066825
250,-8.619211462081147
251,-9.68629744365974
252,-10.51106642173481
253,-15.0425166071197
254,-11.598586653324077
255,-8.623124528954614
256,-10.449850823208934
257,-10.152446597742141
258,-8.328404762970274
259,-13.167480679368479
260,-14.87816038820906
261,-12.934569358338145
262,-8.023197020307945
263,-9.130834010595027
264,-14.02695378894601
265,-7.606765634290429
266,-8.95127496553182
267,-9.333172131832074
268,-9.021700014308584
269,-8.880112137286536
270,-13.56346086958206
271,-10.504129690141992
272,-10.503295133150774
273,-10.945475516186372
274,-7.738052166566241
275,-8.668527203483773
276,-9.116031023463265
277,-10.043296358012755
278,-9.967332319964777
279,-8.703604010236631
280,-9.312911354833174
281,-12.394715107035
282,-9.588120313429293
283,-10.958509838468542
284,-9.365239039404381
285,-10.210995348286215
286,-7.962438784458234
287,-9.963928073409136
288,-8.1185150105033
289,-11.653845849180644
290,-11.09955225927375
291,-8.928434561233352
292,-10.4342214889493
293,-9.920815798504732
294,-7.939798011502634
295,-8.879677503815577
296,-7.828859260294449
297,-11.60805113471658
298,-6.88568610242384
299,-9.028382999457875
300,-11.560837352621293
301,-9.822827051803271
302,-14.092180174397072
303,-8.212763495338454
304,-5.913511312080317
305,-5.31137246392387
306,-8.163375607518626
307,-9.027306888987958
308,-10.432497663041893
309,-14.954925001627988
310,-8.959301961078346
311,-7.93293463833174
312,-10.401433183763118
313,-8.224897097379937
314,-7.118987361456226
315,-9.419949897434776
316,-9.078515875649629
317,-8.631807511033195
318,-6.663740879335097
319,-6.427819971015601
320,-8.9240467510545
321,-11.15488172240285
322,-10.701616436902556
323,-9.116532674976941
324,-10.1561247663893
325,-14.252921484272177
326,-9.670845931715403
327,-6.820086443064147
328,-8.12721857045819
329,-7.270829333468621
330,-7.673488050991385
331,-8.371428608830525
332,-8.299193238101916
333,-9.967847232442178
334,-8.768405675350504
335,-9.52144544242602
336,-12.54690850392394
337,-9.2192455896688
338,-7.224433363007544
339,-16.888929704419056
340,-6.982375495153255
341,-10.970643246726285
342,-9.654985290765365
343,-6.705707786318444
344,-9.140437603656272
345,-6.904779322259695
346,-8.4811452022768
347,-9.376757368679813
348,-8.252205968037037
349,-9.97351804219751
350,-8.698613654937754
351,-7.050439916578524
352,-7.41218463568496
353,-5.955113940061434
354,-9.117542122901655
355,-8.443467159459344
356,-9.863976427572217
357,-8.650069983142727
358,-4.198340850749109
359,-5.035671336423391
360,-6.9122168542576485
361,-9.051196187746655
362,-12.049279144809413
363,-6.446052368414706
364,-6.370075596835537
365,-9.404940934918065
366,-12.191735185641878
367,-7.549950460186548
368,-14.168950426032383
369,-8.612140224467911
370,-9.672421459535752
371,-5.48045315180127
372,-8.22938585629228
373,-6.56672125423877
374,-8.673477649024974
375,-8.637824890561935
376,-10.518275962896372
377,-9.312911495561655
378,-16.029565538716042
379,-7.591208652456358
380,-13.904473792865277
381,-9.256087368931324
382,-9.841021402817448
383,-7.969395347764883
384,-7.082907259100061
385,-8.249037120886797
386,-12.603949573349395
387,-17.784112028707003
