"","lambda","MSE"
"1",0.01,0.00147351626410093
"2",0.02,0.00147368589215401
"3",0.03,0.00147385552725866
"4",0.04,0.00147402516941443
"5",0.05,0.00147419481862092
"6",0.06,0.0014743644748777
"7",0.07,0.00147453413818434
"8",0.08,0.00147470380854042
"9",0.09,0.00147487348594551
"10",0.1,0.00147504317039919
"11",0.11,0.00147521286190103
"12",0.12,0.00147538256045061
"13",0.13,0.0014755522660475
"14",0.14,0.00147572197869128
"15",0.15,0.00147589169838153
"16",0.16,0.00147606142511782
"17",0.17,0.00147623115889972
"18",0.18,0.00147640089972682
"19",0.19,0.00147657064759868
"20",0.2,0.00147674040251488
"21",0.21,0.00147691016447501
"22",0.22,0.00147707993347862
"23",0.23,0.0014772497095253
"24",0.24,0.00147741949261463
"25",0.25,0.00147758928274618
"26",0.26,0.00147775907991952
"27",0.27,0.00147792888413423
"28",0.28,0.00147809869538989
"29",0.29,0.00147826851368607
"30",0.3,0.00147843833902235
"31",0.31,0.0014786081713983
"32",0.32,0.00147877801081351
"33",0.33,0.00147894785726753
"34",0.34,0.00147911771075996
"35",0.35,0.00147928757129036
"36",0.36,0.00147949198109987
"37",0.37,0.00147997638938079
"38",0.38,0.00148046085486764
"39",0.39,0.00148094537755059
"40",0.4,0.0014814299574198
"41",0.41,0.00148191459446543
"42",0.42,0.00148239928867766
"43",0.43,0.00148288404004667
"44",0.44,0.00148336884856261
"45",0.45,0.00148385371421567
"46",0.46,0.00148433863699602
"47",0.47,0.00148482361689383
"48",0.48,0.00148530865389927
"49",0.49,0.00148579374800255
"50",0.5,0.00148627889919381
"51",0.51,0.00148676410746325
"52",0.52,0.00148724937280104
"53",0.53,0.00148773469519737
"54",0.54,0.00148822007464242
"55",0.55,0.00148870551112638
"56",0.56,0.00148919100463943
"57",0.57,0.00148967655517175
"58",0.58,0.00149016216271354
"59",0.59,0.00149064782725498
"60",0.6,0.00149113354878626
"61",0.61,0.00149161932729757
"62",0.62,0.00149210516277911
"63",0.63,0.00149259105522106
"64",0.64,0.00149307700461362
"65",0.65,0.00149356301094699
"66",0.66,0.00149404907421136
"67",0.67,0.00149453519439693
"68",0.68,0.0014950213714939
"69",0.69,0.00149550760549246
"70",0.7,0.00149599389638283
"71",0.71,0.00149648024415519
"72",0.72,0.00149696664879975
"73",0.73,0.00149745311030671
"74",0.74,0.0014979396286663
"75",0.75,0.00149842620386869
"76",0.76,0.00149891283590411
"77",0.77,0.00149939952476277
"78",0.78,0.00149988627043486
"79",0.79,0.00150037307291061
"80",0.8,0.00150085993218022
"81",0.81,0.00150134684823391
"82",0.82,0.00150183382106189
"83",0.83,0.00150232085065437
"84",0.84,0.00150280793700158
"85",0.85,0.00150329508009372
"86",0.86,0.00150378227992102
"87",0.87,0.0015042695364737
"88",0.88,0.00150475684974197
"89",0.89,0.00150524421971606
"90",0.9,0.0015057316463862
"91",0.91,0.00150621912974259
"92",0.92,0.00150670666977548
"93",0.93,0.00150719426647508
"94",0.94,0.00150768191983163
"95",0.95,0.00150816962983534
"96",0.96,0.00150865739647645
"97",0.97,0.0015091452197452
"98",0.98,0.0015096330996318
"99",0.99,0.0015101210361265
"100",1,0.00151060902921953
"101",1.01,0.00151109707890112
"102",1.02,0.0015115851851615
"103",1.03,0.00151207334799092
"104",1.04,0.00151256156737962
"105",1.05,0.00151304984331783
"106",1.06,0.00151353817579578
"107",1.07,0.00151402656480374
"108",1.08,0.00151451501033193
"109",1.09,0.0015150035123706
"110",1.1,0.00151549207090999
"111",1.11,0.00151598068594035
"112",1.12,0.00151646935745193
"113",1.13,0.00151695808543498
"114",1.14,0.00151744686987974
"115",1.15,0.00151793571077646
"116",1.16,0.0015184246081154
"117",1.17,0.0015189135618868
"118",1.18,0.00151940257208093
"119",1.19,0.00151989163868804
"120",1.2,0.00152038076169837
"121",1.21,0.00152086994110219
"122",1.22,0.00152135917688976
"123",1.23,0.00152184846905133
"124",1.24,0.00152233781757717
"125",1.25,0.00152282722245753
"126",1.26,0.00152331668368268
"127",1.27,0.00152380620124288
"128",1.28,0.0015242957751284
"129",1.29,0.0015247854053295
"130",1.3,0.00152527509183644
"131",1.31,0.0015257648346395
"132",1.32,0.00152625463372894
"133",1.33,0.00152674448909505
"134",1.34,0.00152723440072807
"135",1.35,0.00152772436861829
"136",1.36,0.00152821439275598
"137",1.37,0.00152870447313141
"138",1.38,0.00106992416836501
"139",1.39,0.00107024193074295
"140",1.4,0.00107055972957383
"141",1.41,0.00107087756485322
"142",1.42,0.00107119543657673
"143",1.43,0.00107151334473993
"144",1.44,0.00107183128933839
"145",1.45,0.00107214927036773
"146",1.46,0.00107246728782352
"147",1.47,0.00107278534170135
"148",1.48,0.00107310343199679
"149",1.49,0.00107342155870546
"150",1.5,0.00107373972182293
"151",1.51,0.00107405792134479
"152",1.52,0.00107437615726663
"153",1.53,0.00107469442958404
"154",1.54,0.00107501273829262
"155",1.55,0.00107533108338793
"156",1.56,0.0010756494648656
"157",1.57,0.00107596788272119
"158",1.58,0.00107628633695031
"159",1.59,0.00107660482754855
"160",1.6,0.00107692335451149
"161",1.61,0.00107724191783474
"162",1.62,0.00107756051751387
"163",1.63,0.00107787915354449
"164",1.64,0.00107819782592219
"165",1.65,0.00107851653464257
