"","lambda","MSE"
"1",0.01,0.0196017091313188
"2",0.02,0.0195986443635411
"3",0.03,0.0195955799675278
"4",0.04,0.019592515943242
"5",0.05,0.0195894522906473
"6",0.06,0.0195863890097068
"7",0.07,0.0195833261003839
"8",0.08,0.0195802635626419
"9",0.09,0.0195772013964441
"10",0.1,0.0195741396017539
"11",0.11,0.0195710781785345
"12",0.12,0.0193658382447092
"13",0.13,0.0193598674331405
"14",0.14,0.0193538980484509
"15",0.15,0.0193479300903634
"16",0.16,0.0193419635586008
"17",0.17,0.0193359984528862
"18",0.18,0.0193300347729426
"19",0.19,0.0193240725184929
"20",0.2,0.0193181116892603
"21",0.21,0.019312152284968
"22",0.22,0.019306194305339
"23",0.23,0.0193002377500967
"24",0.24,0.0192942826189645
"25",0.25,0.00582140837082899
"26",0.26,0.00768387274425225
"27",0.27,0.00768278525276972
"28",0.28,0.00768169787173075
"29",0.29,0.00768061060112729
"30",0.3,0.00767952344095112
"31",0.31,0.00767843639119418
"32",0.32,0.00767734945184829
"33",0.33,0.00767626262290531
"34",0.34,0.00767517590435712
"35",0.35,0.00767408929619557
"36",0.36,0.00767300279841251
"37",0.37,0.00767191641099984
"38",0.38,0.00767083013394939
"39",0.39,0.00766974396725306
"40",0.4,0.00766865791090272
"41",0.41,0.00766757196489017
"42",0.42,0.00766648612920736
"43",0.43,0.00766540040384607
"44",0.44,0.00766431478879823
"45",0.45,0.00766322928405576
"46",0.46,0.0076621438896104
"47",0.47,0.00766105860545407
"48",0.48,0.00579586221744482
"49",0.49,0.00579475329985425
"50",0.5,0.00579364453087583
"51",0.51,0.00765671857155672
"52",0.52,0.00579142743870025
"53",0.53,0.0057903191154754
"54",0.54,0.00578921094080739
"55",0.55,0.00578810291468241
"56",0.56,0.00578699503708659
"57",0.57,0.00578588730800619
"58",0.58,0.00578477972742729
"59",0.59,0.00578367229533611
"60",0.6,0.00578256501171879
"61",0.61,0.00578145787656153
"62",0.62,0.00578035088985055
"63",0.63,0.00577924405157195
"64",0.64,0.00577813736171197
"65",0.65,0.00577703082025675
"66",0.66,0.00577592442719248
"67",0.67,0.00577481818250539
"68",0.68,0.0057737120861816
"69",0.69,0.00577260613820735
"70",0.7,0.00577150033856878
"71",0.71,0.0057703946872521
"72",0.72,0.0057692891842435
"73",0.73,0.00576818382952918
"74",0.74,0.00576707862309527
"75",0.75,0.00576597356492808
"76",0.76,0.00576486865501368
"77",0.77,0.00576376389333835
"78",0.78,0.00576265927988827
"79",0.79,0.00576155481464961
"80",0.8,0.00576045049760858
"81",0.81,0.00575934632875138
"82",0.82,0.00575824230806422
"83",0.83,0.00575713843553328
"84",0.84,0.00575603471114478
"85",0.85,0.00575493113488495
"86",0.86,0.00575382770673995
"87",0.87,0.00575272442669598
"88",0.88,0.00575162129473929
"89",0.89,0.00575051831085607
"90",0.9,0.00574941547503249
"91",0.91,0.00574831278725483
"92",0.92,0.0057472102475093
"93",0.93,0.00574610785578207
"94",0.94,0.00574500561205935
"95",0.95,0.00574390351632739
"96",0.96,0.0057428015685724
"97",0.97,0.00574169976878055
"98",0.98,0.00574059811693816
"99",0.99,0.00573949661303131
"100",1,0.00573839525704638
"101",1.01,0.00573729404896949
"102",1.02,0.00573619298878687
"103",1.03,0.00573509207648478
"104",1.04,0.0057339913120494
"105",1.05,0.00573289069546701
"106",1.06,0.00573179022672379
"107",1.07,0.00573068990580604
"108",1.08,0.00572958973269989
"109",1.09,0.00572848970739165
"110",1.1,0.00572738982986753
"111",1.11,0.00572629010011374
"112",1.12,0.00572519051811657
"113",1.13,0.0057240910838622
"114",1.14,0.00572299179733688
"115",1.15,0.00572189265852685
"116",1.16,0.00572079366741841
"117",1.17,0.00571969482399772
"118",1.18,0.00571859612825104
"119",1.19,0.00571749758016465
"120",1.2,0.00571639917972477
"121",1.21,0.00571530092691761
"122",1.22,0.00571420282172949
"123",1.23,0.00571310486414661
"124",1.24,0.00571200705415519
"125",1.25,0.00571090939174158
"126",1.26,0.00570981187689191
"127",1.27,0.00570871450959251
"128",1.28,0.00570761728982963
"129",1.29,0.00570652021758951
"130",1.3,0.00570542329285843
"131",1.31,0.00570432651562256
"132",1.32,0.00570322988586827
"133",1.33,0.00570213340358174
"134",1.34,0.00570103706874929
"135",1.35,0.00569994088135714
"136",1.36,0.00569884484139156
"137",1.37,0.00569774894883882
"138",1.38,0.00569665320368518
"139",1.39,0.00569555760591688
"140",1.4,0.00569446215552025
"141",1.41,0.00569336685248155
"142",1.42,0.00569227169678697
"143",1.43,0.0056911766884229
"144",1.44,0.0056900818273755
"145",1.45,0.00568898711363112
"146",1.46,0.00568789254717596
"147",1.47,0.00568679812799639
"148",1.48,0.00568570385607862
"149",1.49,0.00568460973140893
"150",1.5,0.00568351575397364
"151",1.51,0.00568242192375896
"152",1.52,0.00568132824075125
"153",1.53,0.00568023470493673
"154",1.54,0.00567914131630172
"155",1.55,0.0056780480748325
"156",1.56,0.00567695498051537
"157",1.57,0.00567586203333654
"158",1.58,0.00567476923328239
"159",1.59,0.00567367658033921
"160",1.6,0.00567258407449318
"161",1.61,0.00567149171573068
"162",1.62,0.00567039950403801
"163",1.63,0.00566930743940146
"164",1.64,0.00566821552180727
"165",1.65,0.00566712375124177
"166",1.66,0.00566603212769129
"167",1.67,0.00566494065114206
"168",1.68,0.00566384932158044
"169",1.69,0.00566275813899269
"170",1.7,0.00752840714050234
"171",1.71,0.00752733546935396
"172",1.72,0.0075262639074826
"173",1.73,0.00565839487810663
"174",1.74,0.00752412111153866
"175",1.75,0.00752304987744999
"176",1.76,0.00752197875260606
"177",1.77,0.00752090773699885
"178",1.78,0.00751983683062027
"179",1.79,0.00751876603346231
"180",1.8,0.00751769534551685
"181",1.81,0.00751662476677592
"182",1.82,0.00751555429723139
"183",1.83,0.0075144839368752
"184",1.84,0.00751341368569932
"185",1.85,0.00751234354369571
"186",1.86,0.00751127351085627
"187",1.87,0.00751020358717299
"188",1.88,0.00750913377263777
"189",1.89,0.0075080640672426
"190",1.9,0.00750699447097939
"191",1.91,0.00750592498384011
"192",1.92,0.00750485560581673
"193",1.93,0.00750378633690112
"194",1.94,0.00750271717708533
"195",1.95,0.00750164812636119
"196",1.96,0.00750057918472082
"197",1.97,0.00749951035215601
"198",1.98,0.00563117771605066
"199",1.99,0.0056300909363149
"200",2,0.00562900430312894
"201",3,0.00739000330073209
"202",4,0.00728478451116528
"203",5,0.0148920417063254
"204",6,0.0148216562522654
"205",7,0.0147515233927913
"206",8,0.0146816424114053
"207",9,0.0146120125934832
"208",10,0.0145426332262697
"209",11,0.014473503598874
"210",12,0.0144046230022651
"211",13,0.0143359907292663
"212",14,0.0142676060745518
"213",15,0.014199468334641
"214",16,0.0141315768082377
"215",17,0.0140639307941257
"216",18,0.0139965295969479
"217",19,0.0139293725191741
"218",20,0.0138624588625847
"219",21,0.0137957879413663
"220",22,0.0137293590641668
"221",23,0.0136631715370654
"222",24,0.0135972246740484
"223",25,0.0135315177931656
"224",26,0.0134660502103974
"225",27,0.0134008212430441
"226",28,0.0133358302066331
"227",29,0.0132710764342069
"228",30,0.0132065592364985
"229",31,0.0131422779483173
"230",32,0.0130782318945379
"231",33,0.0130144204037073
"232",34,0.0129508428021505
"233",35,0.0128874984299695
"234",36,0.0128243866169138
"235",37,0.0127615067001483
"236",38,0.0126988580130688
"237",39,0.0126364399034198
"238",40,0.0125742517057263
"239",41,0.0125122927658893
"240",42,0.0124505624241432
"241",43,0.0123890600391773
"242",44,0.0123277849462871
"243",45,0.0122667364969085
"244",46,0.0122059140426349
"245",47,0.0121453169429054
"246",48,0.0120849445509955
"247",49,0.0120247962183448
"248",50,0.0119648713020702
"249",51,0.0119051691679794
"250",52,0.0118456891795923
"251",53,0.0117864306892229
"252",54,0.0117273930778267
"253",55,0.0116685756956419
"254",56,0.0116099779221877
"255",57,0.0115515991229169
"256",58,0.0114934386688785
"257",59,0.0114354959349914
"258",60,0.011377770296149
"259",61,0.0113202611297817
"260",62,0.0112629678118626
"261",63,0.0112058897245383
"262",64,0.0111490262430344
"263",65,0.0110923767669807
"264",66,0.0110359406581944
"265",67,0.0109797173184604
"266",68,0.0109237061295858
"267",69,0.0108679064889167
"268",70,0.0108123177804723
"269",71,0.0107569393946649
"270",72,0.0107017707302997
"271",73,0.0106468111817861
"272",74,0.0105920601493753
"273",75,0.0105375170253871
"274",76,0.0104831812141383
"275",77,0.0104290521306187
"276",78,0.0103751291638701
"277",79,0.0103214117153625
"278",80,0.0102678992099502
"279",81,0.0102145910396354
"280",82,0.0101614866157253
"281",83,0.0101085853578378
"282",84,0.0100558866805066
"283",85,0.0100033899922508
"284",86,0.00995109471369166
"285",87,0.00989900024852132
"286",88,0.00984710603517774
