"","lambda","MSE"
"1",0.01,0.00286933168757873
"2",0.02,0.00287593533601213
"3",0.03,0.00288254421527497
"4",0.04,0.00288915831809077
"5",0.05,0.00317723800844513
"6",0.06,0.00381799081794275
"7",0.07,0.00382188382653381
"8",0.08,0.00382577807293659
"9",0.09,0.0040267870982571
"10",0.1,0.00424260661137561
"11",0.11,0.00424176642371182
"12",0.12,0.00424092628562671
"13",0.13,0.00424008619712887
"14",0.14,0.00424499436285558
"15",0.15,0.00424392660457965
"16",0.16,0.00424285892631562
"17",0.17,0.00424179132808123
"18",0.18,0.0042407238098942
"19",0.19,0.00423965637177224
"20",0.2,0.00423858901373313
"21",0.21,0.00423752173579462
"22",0.22,0.00423645453797438
"23",0.23,0.00423538742029022
"24",0.24,0.00423432038275989
"25",0.25,0.00423325342540111
"26",0.26,0.00423218654823164
"27",0.27,0.00423111975126922
"28",0.28,0.00423005303453162
"29",0.29,0.00422898639803661
"30",0.3,0.00422791984180196
"31",0.31,0.00422685336584541
"32",0.32,0.00422578697018476
"33",0.33,0.0042247206548377
"34",0.34,0.00422365441982208
"35",0.35,0.00422258826515561
"36",0.36,0.00412518555377814
"37",0.37,0.00412445691727575
"38",0.38,0.00412372831962741
"39",0.39,0.00412299976083893
"40",0.4,0.0041222712409162
"41",0.41,0.00412154275986509
"42",0.42,0.0041208143176915
"43",0.43,0.00412008591440122
"44",0.44,0.0041193575500002
"45",0.45,0.00411862922449428
"46",0.46,0.00411790093788926
"47",0.47,0.00411717269019114
"48",0.48,0.00411644448140571
"49",0.49,0.00423639485197717
"50",0.5,0.00411498818059639
"51",0.51,0.0041142600885843
"52",0.52,0.0041135320355084
"53",0.53,0.00411280402137454
"54",0.54,0.00411207604618862
"55",0.55,0.00411134810995651
"56",0.56,0.00422912964627188
"57",0.57,0.00410990953553346
"58",0.58,0.00410919354478399
"59",0.59,0.00410847759175488
"60",0.6,0.00410776167645165
"61",0.61,0.004223942491949
"62",0.62,0.00422290528912939
"63",0.63,0.00422186816236297
"64",0.64,0.0042208311116661
"65",0.65,0.00421979413705513
"66",0.66,0.00421875723854645
"67",0.67,0.00421772041615644
"68",0.68,0.00421668366990141
"69",0.69,0.0041013201373125
"70",0.7,0.00410060459957631
"71",0.71,0.00409988909962763
"72",0.72,0.00409919025841168
"73",0.73,0.00409968824562122
"74",0.74,0.00410018625114121
"75",0.75,0.00410068427496983
"76",0.76,0.00420839244268804
"77",0.77,0.00420735638238549
"78",0.78,0.00420632039838182
"79",0.79,0.00420528449069343
"80",0.8,0.00420424865933671
"81",0.81,0.00420321290432812
"82",0.82,0.00420217722568401
"83",0.83,0.00410466912448094
"84",0.84,0.00410516731300182
"85",0.85,0.00410566551981235
"86",0.86,0.00410616374491071
"87",0.87,0.00410666198829504
"88",0.88,0.00410716024996336
"89",0.89,0.00410765852991385
"90",0.9,0.00410815682814461
"91",0.91,0.00410865514465373
"92",0.92,0.00410915347943937
"93",0.93,0.00418712605960959
"94",0.94,0.0041855934854347
"95",0.95,0.00418406107948246
"96",0.96,0.00418252884180632
"97",0.97,0.00418099677245973
"98",0.98,0.00417946487149625
"99",0.99,0.0041779331389693
"100",1,0.00417640157493242
"101",1.01,0.00417487017943912
"102",1.02,0.00417333895254287
"103",1.03,0.00417180789429727
"104",1.04,0.00417027700475584
"105",1.05,0.00416874628397208
"106",1.06,0.00416721573199962
"107",1.07,0.00416568534889199
"108",1.08,0.00416415513470277
"109",1.09,0.00416262508948563
"110",1.1,0.00416109521329404
"111",1.11,0.0041595655061817
"112",1.12,0.00415803596820222
"113",1.13,0.00415650659940921
"114",1.14,0.00411808344232243
"115",1.15,0.0041184788266226
"116",1.16,0.00411887422238865
"117",1.17,0.0041192696296196
"118",1.18,0.00411966504831459
"119",1.19,0.00412006047847256
"120",1.2,0.00412045592009273
"121",1.21,0.00412085137317399
"122",1.22,0.00412124683771553
"123",1.23,0.00412164231371637
"124",1.24,0.00412203780117559
"125",1.25,0.00412243330009219
"126",1.26,0.00413645120479979
"127",1.27,0.00413490315238346
"128",1.28,0.00413335527469282
"129",1.29,0.00413180757178387
"130",1.3,0.00413026004371276
"131",1.31,0.00412871269053549
"132",1.32,0.00412716551230818
"133",1.33,0.00412281508865274
"134",1.34,0.0041218082861227
"135",1.35,0.00412080155784338
"136",1.36,0.00412097855002037
"137",1.37,0.00411943224738439
"138",1.38,0.00411788612003507
"139",1.39,0.00411677538754305
"140",1.4,0.00411576903074963
"141",1.41,0.00411476274829992
"142",1.42,0.00411375654020937
"143",1.43,0.00399413610813178
"144",1.44,0.00399417958636638
"145",1.45,0.00399422306474591
"146",1.46,0.00399426654327036
"147",1.47,0.00399431002193976
"148",1.48,0.00399435350075408
"149",1.49,0.00399439697971334
"150",1.5,0.00399444045881753
"151",1.51,0.00399448393806662
"152",1.52,0.00399452741746067
"153",1.53,0.00399457089699961
"154",1.54,0.00399461437671132
"155",1.55,0.00399465785655708
"156",1.56,0.003994701336392
"157",1.57,0.00399474481665467
"158",1.58,0.00399478829681222
"159",1.59,0.00399483177741837
"160",1.6,0.00399487525796762
"161",1.61,0.00399491873858385
"162",1.62,0.00399496221929858
"163",1.63,0.00399500570029229
"164",1.64,0.00399504918156138
"165",1.65,0.00399509266286998
"166",1.66,0.00399513614441451
"167",1.67,0.00399517962580821
"168",1.68,0.00399522310759969
"169",1.69,0.00399526658927119
"170",1.7,0.00399531007124563
"171",1.71,0.00399535355348768
"172",1.72,0.00399539703570594
"173",1.73,0.00399544051832339
"174",1.74,0.00399548400058281
"175",1.75,0.00399552748366687
"176",1.76,0.00399557096654934
"177",1.77,0.00399561444932837
"178",1.78,0.00399565793264245
"179",1.79,0.00399570141587436
"180",1.8,0.00399574489931194
"181",1.81,0.00399578838296634
"182",1.82,0.00399583186666516
"183",1.83,0.00399587535061167
"184",1.84,0.00399591883483334
"185",1.85,0.00399596231887589
"186",1.86,0.00399600580327971
"187",1.87,0.00399604928770385
"188",1.88,0.00399609277252735
"189",1.89,0.00399613625688955
"190",1.9,0.00399617974200951
"191",1.91,0.0039962232269705
"192",1.92,0.00399626671231083
"193",1.93,0.00399631019735722
"194",1.94,0.0039963536829958
"195",1.95,0.00399639716842124
"196",1.96,0.00399644065452098
"197",1.97,0.00399648414020892
"198",1.98,0.00399652762631675
"199",1.99,0.00399657111270937
"200",2,0.00399661459892931
"201",3,0.0040009639653129
"202",4,0.00400531477858907
"203",5,0.00400966703811656
"204",6,0.00401402074237191
"205",7,0.00401837589010258
"206",8,0.00402273247998987
"207",9,0.00402933982269219
"208",10,0.0040343759675391
"209",11,0.0040375483573156
"210",12,0.00404072150707628
"211",13,0.00404272971228836
"212",14,0.00404211494693602
"213",15,0.0040415002098911
"214",16,0.00404088549982276
"215",17,0.00404027082157013
"216",18,0.0040396561697914
"217",19,0.00403904154686797
"218",20,0.00403842695100392
