,Dates,1,2,3,4,5,6,7,8,9
1,5/8/2008,-2.189517756,-2.156042869,-2.10620673,-2.441869158,-2.552461136,-1.839768326,-2.138179854,-2.092064714,-2.129038066
2,5/11/2008,-2.203046207,-2.378057265,-2.196787841,-2.318070038,-2.44168613,-1.869105936,-2.13744788,-1.836903773,-1.917094923
3,5/12/2008,-2.161598923,-2.275003664,-1.967287902,-2.350302121,-2.274100982,-1.751555858,-2.076347449,-1.938066449,-1.989561395
4,5/13/2008,-2.029934682,-2.120914113,-2.164801067,-2.382925341,-2.397434094,-1.928365997,-2.193189602,-2.058114162,-2.11795961
5,5/14/2008,-2.074711532,-2.204459324,-2.193979869,-2.372222128,-2.533934454,-1.822145764,-2.060134816,-1.753494485,-2.083347919
6,5/15/2008,-2.036021882,-2.198309135,-2.105960508,-2.393837472,-2.537141543,-1.742372427,-2.046550452,-1.914340516,-1.90927054
7,5/18/2008,-2.304281016,-2.454355258,-2.233402711,-2.479872358,-2.659638415,-1.890127718,-2.202502033,-2.071586928,-2.133322279
8,5/19/2008,-2.046448186,-2.291071988,-2.006843295,-2.243541986,-2.451641021,-1.729921224,-1.988934736,-2.101117968,-1.974984202
9,5/20/2008,-2.187349033,-2.20518433,-2.063225991,-2.156742913,-2.52451962,-1.91280792,-2.002322604,-2.067562658,-1.845624884
10,5/21/2008,-2.140577681,-2.381787602,-2.060399666,-2.408986398,-2.396088157,-1.792443241,-2.078427559,-1.885094785,-2.071137642
11,5/22/2008,-2.396329353,-2.363718549,-2.263755846,-2.5860945,-2.673843761,-1.880502421,-2.097030124,-2.080932266,-2.162177309
12,5/25/2008,-2.592116973,-2.589950372,-2.678557009,-3.008955726,-2.950101839,-2.533301296,-2.44592031,-2.46640463,-2.249568797
13,5/26/2008,-2.32772004,-2.247827065,-2.339916066,-2.511912912,-2.524248418,-2.070503753,-2.243840636,-2.037659779,-2.063578444
14,5/27/2008,-2.291624022,-2.464162827,-2.130997058,-2.392952846,-2.572276772,-1.798362977,-2.104193775,-2.025639663,-2.057836946
15,5/28/2008,-2.120989453,-2.339681314,-2.107525998,-2.424897399,-2.543794227,-1.902258484,-2.080176987,-2.102095743,-2.074964502
16,5/29/2008,-2.266058155,-2.121565131,-2.192115211,-2.417610741,-2.610242304,-1.972819672,-1.969349007,-2.134899531,-2.005381119
17,6/1/2008,-2.200610238,-2.349783839,-2.118015356,-2.492079757,-2.412497218,-1.779557316,-2.306843218,-2.135770049,-2.074259375
18,6/2/2008,-2.09082011,-2.228719327,-1.786592675,-2.233428592,-2.460684357,-1.754131161,-1.966446896,-2.122524962,-1.828016296
19,6/3/2008,-1.990160099,-2.242299486,-2.013160025,-2.447906319,-2.558189965,-1.770082133,-2.121172785,-2.132175338,-2.032101992
20,6/4/2008,-2.068496114,-2.067841768,-1.891237861,-2.101046038,-2.546577064,-1.825517927,-1.963100391,-1.531066501,-2.017824857
21,6/5/2008,-2.080921631,-2.28721331,-1.858151662,-2.052547386,-2.234486387,-1.848756446,-1.920144456,-2.099089969,-1.903807481
22,6/8/2008,-2.181494214,-2.332449123,-1.886039411,-2.182581957,-2.47631338,-1.705712212,-2.006648839,-2.031862332,-2.023960063
23,6/9/2008,-1.941457418,-1.830707665,-1.977064254,-2.152461714,-2.461840393,-1.779598267,-1.858612407,-1.786635997,-1.887317536
24,6/10/2008,-2.252973012,-2.224033617,-2.066576406,-2.301255364,-2.44122243,-1.839013214,-2.114436754,-2.070936864,-1.969725191
25,6/11/2008,-1.920313795,-2.319684966,-2.042991596,-2.299102785,-2.537897275,-1.969809191,-1.925528694,-2.130747857,-1.939844632
26,6/12/2008,-2.153765933,-2.506038628,-1.994628589,-2.235513247,-2.400609398,-1.874264548,-1.958484635,-1.946476495,-1.925266238
27,6/15/2008,-2.417420238,-2.35277914,-2.142146126,-2.38006297,-2.573416206,-1.952740394,-2.103949116,-2.103555714,-2.028093165
28,6/16/2008,-2.267964847,-2.232096217,-2.170216701,-2.384808847,-2.531167086,-1.956382549,-2.083537875,-2.127487102,-1.980602485
29,6/17/2008,-2.480742402,-2.519285157,-2.436401139,-2.655922072,-2.714761258,-1.979552343,-2.425296128,-2.115232145,-2.115787136
30,6/18/2008,-2.411625275,-2.245502726,-2.153752267,-2.484794912,-2.419604159,-2.105019844,-2.268681427,-2.113364328,-2.04696645
31,6/19/2008,-2.405556,-2.289524157,-2.265081082,-2.634460962,-2.682044208,-2.107190002,-2.3117025,-2.063139468,-2.19471171
32,6/22/2008,-2.397735418,-2.409279751,-2.164351844,-2.570386121,-2.689512141,-1.982774377,-2.164134045,-2.240511562,-2.138875243
33,6/23/2008,-2.477148912,-2.490369748,-2.191667792,-2.611079615,-2.706881984,-1.957871978,-2.307978348,-2.085451711,-2.068239406
34,6/24/2008,-2.302908367,-2.230891291,-2.109948769,-2.440201729,-2.698771478,-1.907895254,-1.964992231,-2.135980089,-1.975863115
35,6/25/2008,-2.248432574,-2.357936369,-2.160763241,-2.429385152,-2.560916914,-1.927666635,-2.375205554,-2.003795498,-2.21384381
36,6/26/2008,-2.332247509,-2.423455953,-2.085540807,-2.654061082,-2.572516478,-1.82915929,-2.302198794,-1.868198129,-2.192955822
37,6/29/2008,-2.159313006,-2.139701669,-2.103574125,-2.573835463,-2.639618404,-1.862077529,-2.174254687,-1.95968777,-2.068128431
38,6/30/2008,-2.1516201,-2.278886443,-2.07370356,-2.438456736,-2.540211027,-1.681462204,-2.284980225,-1.973479402,-2.103118483
39,7/1/2008,-2.195711274,-2.123618701,-2.194853209,-2.468460715,-2.56267848,-1.826430442,-2.30271561,-2.184279897,-1.965703781
40,7/2/2008,-2.316626808,-2.210789267,-1.90551941,-2.118606289,-2.433753575,-1.788162122,-2.175495672,-1.982726036,-1.887220205
41,7/3/2008,-2.536188016,-2.330949007,-2.439118016,-2.69119004,-2.764764054,-2.076366719,-2.267282418,-2.1263541,-2.101650041
42,7/6/2008,-2.209289155,-2.269191736,-2.173984148,-2.391528089,-2.669008838,-1.874139637,-2.168158575,-2.033244068,-2.057478022
43,7/7/2008,-2.234613683,-2.334760716,-2.179218652,-2.447249003,-2.612440857,-1.835247957,-2.176233091,-1.994473103,-2.147645043
44,7/8/2008,-2.159678308,-2.39396966,-2.228390358,-2.567656637,-2.675884435,-1.920675394,-2.143832617,-2.045088461,-1.995346494
45,7/9/2008,-2.067467959,-2.384762286,-2.175027294,-2.587039352,-2.656990846,-1.840921505,-2.165231565,-2.045323329,-2.173714439
46,7/10/2008,-2.141391632,-2.092636368,-1.971437838,-2.346725387,-2.526433702,-1.858795438,-2.112763474,-1.895316836,-1.976857479
47,7/13/2008,-2.302661424,-2.341128584,-2.037247989,-2.328347776,-2.494077373,-1.827640773,-2.118647273,-2.116858366,-1.834342848
48,7/14/2008,-2.116485541,-2.215555349,-1.724375013,-2.222910569,-2.361852393,-1.666396033,-1.951666289,-1.853721495,-1.898635586
49,7/15/2008,-2.122989691,-2.352656507,-1.852933885,-2.359761131,-2.489675639,-1.674151349,-2.090698792,-2.046748644,-2.035594239
50,7/16/2008,-2.303587243,-2.348829748,-1.984210093,-2.408323008,-2.497899399,-1.638829012,-2.095480122,-1.991534564,-2.020930948
51,7/17/2008,-2.334386054,-2.338948333,-2.212890697,-2.588800237,-2.580207551,-1.761207871,-2.321871327,-2.068230635,-2.209123296
52,7/20/2008,-2.391064179,-2.474908501,-2.399967825,-2.703614944,-2.817494745,-1.958706919,-2.308444251,-2.17356391,-2.055764802
53,7/21/2008,-2.322366792,-2.137919068,-2.106819914,-2.395571613,-2.638501748,-1.874958047,-2.271391263,-2.133461474,-2.10242902
54,7/22/2008,-2.094318112,-2.364384353,-2.148388781,-2.531663085,-2.629784257,-1.841672215,-2.132229887,-1.979975339,-2.143508971
55,7/23/2008,-2.065754824,-2.359585323,-2.330278848,-2.430794706,-2.469973972,-1.97515488,-2.282637803,-1.582400737,-2.165276342
56,7/24/2008,-2.138936169,-2.216749156,-2.276933517,-2.407309452,-2.494745994,-1.942751186,-2.217712514,-1.916467206,-2.078999775
57,7/27/2008,-2.386195947,-2.391057169,-2.339352884,-2.722229242,-2.752022985,-1.943237912,-2.329449519,-2.186588394,-2.219128539
58,7/28/2008,-2.481733483,-2.434725833,-2.270633551,-2.591427794,-2.696288203,-1.999098999,-2.289016819,-1.975129473,-2.005028208
59,7/29/2008,-2.151618647,-2.459470424,-2.30669899,-2.569848102,-2.677596042,-2.011596701,-2.339285092,-1.899303083,-2.069772878
60,7/30/2008,-2.073490947,-2.452484911,-2.134057326,-2.43719706,-2.452410485,-2.046354649,-2.18572075,-1.867340871,-2.057863266
61,7/31/2008,-2.180723384,-2.261632581,-2.167288126,-2.474275285,-2.642530786,-1.960412987,-2.300569266,-1.780245882,-2.008215745
62,8/3/2008,-2.321423365,-2.278369435,-2.419934793,-2.614720685,-2.669847411,-2.112912044,-2.332126461,-2.097986783,-2.133852921
63,8/4/2008,-2.052161197,-2.163963334,-2.285313079,-2.618656051,-2.641260609,-1.893035006,-2.264249196,-1.974675399,-2.160359679
64,8/5/2008,-2.19257087,-2.388701625,-2.437617717,-2.616448941,-2.692194893,-2.027274198,-2.293130612,-2.093510321,-2.110291435
65,8/6/2008,-1.972273094,-2.442998495,-2.122415961,-2.348265152,-2.524192654,-1.928513919,-2.166620412,-1.964750057,-1.981079145
66,8/7/2008,-1.635907471,-1.895177506,-1.843928233,-2.027594474,-2.232096943,-1.858479276,-1.819142622,-1.479371426,-1.781475539
67,8/10/2008,-1.745389778,-2.14498492,-1.851037993,-1.982637511,-2.268533003,-1.829514602,-1.712355195,-1.69198156,-1.640887025
68,8/11/2008,-1.729140383,-2.106716252,-1.970080915,-2.082405006,-2.151351934,-1.89655412,-1.893715593,-1.624830029,-1.86120603
69,8/12/2008,-1.45112682,-2.00484918,-2.010141681,-2.164457662,-1.900919171,-1.616733608,-1.917118006,-1.331437229,-1.887008819
70,8/13/2008,-1.633977335,-2.153318278,-2.059996483,-2.139229593,-2.154227184,-1.847140443,-2.030268747,-1.646895176,-1.911822754
71,8/14/2008,-1.715436919,-2.084958898,-2.161731458,-2.352889298,-2.227741551,-1.841750621,-2.113015098,-1.581892554,-2.005857814
72,8/17/2008,-1.960619216,-2.286106608,-2.213153942,-2.362942304,-2.296432877,-2.101789474,-2.212637254,-1.832619309,-2.046081312
73,8/18/2008,-1.927074649,-2.423047709,-2.210821257,-2.248412148,-2.290527244,-2.028788168,-2.202833901,-1.855327923,-2.066465217
74,8/19/2008,-2.037030046,-2.186066102,-2.244331873,-2.320348989,-2.481106167,-1.977323011,-2.186762607,-1.925585033,-2.041504699
75,8/20/2008,-1.858031579,-2.13965637,-2.1358085,-2.263430509,-2.301274862,-1.88836453,-2.126277036,-1.858347193,-2.097618005
76,8/21/2008,-2.079892023,-2.376309309,-2.246523718,-2.422775611,-2.311595296,-1.926518733,-2.0818111,-2.026633644,-2.017798278
77,8/24/2008,-2.008576866,-2.327179054,-2.333998662,-2.488527407,-2.379394206,-1.917700008,-2.326326039,-1.957165083,-2.118311632
78,8/25/2008,-1.814261762,-2.07442095,-2.078748617,-2.075534092,-2.207316497,-1.927360252,-2.083060688,-1.753178869,-1.778370738
79,8/26/2008,-1.951300056,-2.264119679,-2.101552232,-2.192340737,-2.282465495,-1.868593804,-1.983630413,-1.808782651,-1.969121117
80,8/27/2008,-1.787797422,-2.311096677,-2.117502177,-2.157316711,-2.21559114,-1.803062617,-2.161193253,-1.808717488,-1.968591365
81,8/28/2008,-1.963799143,-2.287420077,-2.103612687,-2.330120293,-2.36305911,-1.801407187,-2.144204552,-1.955409257,-2.003502208
